42.219.145.151,6
42.219.152.127,1466
42.219.152.238,8756
42.219.152.246,21
42.219.153.115,45
42.219.153.170,390
42.219.153.174,38
42.219.153.190,24687
42.219.153.220,845
42.219.153.221,63
42.219.153.238,66
42.219.153.241,7070
42.219.153.250,2
42.219.153.36,127
42.219.153.47,5
42.219.153.53,4
42.219.153.5,645
42.219.153.71,211
42.219.153.75,4
42.219.153.80,33
42.219.153.81,38
42.219.153.82,10
42.219.153.9,3241
42.219.154.134,28141
42.219.154.145,22527
42.219.154.152,4
42.219.154.155,23960
42.219.154.184,1319
42.219.154.185,667
42.219.154.18,25807
42.219.155.115,29
42.219.155.123,1667
42.219.155.128,17605
42.219.155.19,2
42.219.155.25,2449
42.219.155.27,455
42.219.155.69,956
42.219.155.72,5
42.219.155.86,6
42.219.155.89,3011
42.219.155.91,1260
42.219.156.188,70
42.219.156.194,11
42.219.156.237,1
42.219.157.13,4
42.219.158.162,57
42.219.158.163,10910
42.219.158.169,276
42.219.158.205,8
42.219.158.211,29
42.219.158.223,55
