102.216.18.184,3
42.219.145.151,6257
49.149.152.95,282
232.245.127.231,3
85.201.196.53,2
197.187.132.22,1127
72.226.132.7,2
194.233.67.249,1814
239.6.17.17,2
201.124.138.214,4
176.116.195.149,450
158.153.81.77,3
189.192.70.87,2
246.71.179.65,1
69.26.98.144,2
189.82.70.168,2
92.36.184.6,18
68.119.65.98,3
85.239.36.20,4
246.183.3.40,91
220.227.5.58,2
150.219.71.41,3
204.223.22.109,97
56.243.225.184,2
189.36.140.64,1
68.119.64.110,2
68.119.234.79,2
42.9.7.17,90
79.220.161.89,6
211.57.241.79,1
213.221.50.154,1
68.119.234.224,4
60.134.195.164,1
54.143.54.91,50
68.119.65.194,2
133.97.151.167,2
33.12.117.59,348
217.231.240.54,90
33.12.107.16,250
235.62.183.71,2
69.81.144.249,1111
133.196.172.247,2
189.83.208.101,2
76.164.214.139,18
182.42.182.186,982
133.97.151.171,5
225.126.187.39,8
56.188.116.184,2
68.119.201.59,2
72.226.130.217,2
196.181.103.232,2
200.142.32.207,1
68.119.234.76,4
69.95.72.106,2
62.27.235.66,279
225.230.216.251,105
240.111.186.124,239
237.41.247.88,194
104.52.144.227,4
189.83.158.184,5
60.133.101.194,360
68.119.65.172,2
129.117.85.149,1
82.167.246.233,90
32.125.110.209,212
36.226.222.231,1
68.119.201.126,8
51.168.154.33,2
68.119.234.215,2
69.91.248.157,2
216.156.202.228,358
35.164.186.72,2
189.36.30.188,3
60.134.195.171,2
197.71.32.189,2
207.120.127.99,4
224.7.72.145,89
92.36.124.189,2
223.19.145.125,2
189.82.67.198,2
73.213.27.178,90
213.119.250.57,1
69.26.98.34,2
69.25.212.128,2
189.83.208.86,2
237.157.96.77,2
60.134.172.114,2
54.143.54.197,14
77.82.146.5,2
56.231.25.228,2
72.226.152.187,2
213.82.166.3,350
68.119.65.11,2
48.48.62.151,6
192.186.29.68,9
189.36.111.184,8
248.17.166.84,2
63.20.120.141,2
78.110.200.128,1
68.119.201.96,2
189.36.111.111,10
55.5.22.217,277
192.145.111.54,2
189.83.208.197,2
50.168.160.243,1
196.181.103.150,2
176.116.194.129,194
213.146.2.147,2
232.245.111.16,2
213.184.51.220,3
202.168.155.38,2
158.125.129.63,2
44.66.175.249,1
60.134.174.31,2
246.205.68.186,90
37.218.122.44,2
176.244.57.124,2
68.119.65.197,2
189.82.67.84,2
254.202.208.231,2
189.83.159.29,3
207.120.127.94,2
245.73.75.109,2
33.12.99.120,179
240.43.236.194,7
169.39.13.208,2
72.226.130.32,2
240.62.27.30,735
85.239.118.59,4
85.201.196.177,4
36.37.136.91,90
194.233.67.153,2
194.233.67.156,34
206.166.183.220,2
233.178.31.68,2
189.83.159.247,3
60.134.173.209,2
69.124.8.90,159
32.100.20.28,2284
85.201.196.180,5
60.134.199.104,2
72.228.239.40,90
68.119.65.131,2
68.119.201.224,5
254.202.32.174,3
224.154.223.164,2
213.184.51.212,2
185.87.169.210,2
33.203.63.160,2
232.161.225.88,5
68.119.64.118,2
150.219.71.140,3
64.163.231.230,1
189.36.111.93,4
