te,teDelta,byt,pkt,td,sa,sp,da,dp,pr
0,3,11371,11,0.8813972496427596,42.219.153.83,80,194.228.150.106,28263,TCP
0,3,10370,10,0.8841375613119453,42.219.153.83,80,193.228.150.182,28002,TCP
0,3,10818,9,0.8765283641405404,42.219.153.83,80,194.228.150.106,27715,TCP
0,3,9833,10,0.8513546506874263,42.219.153.83,80,194.228.150.106,27940,TCP
0,3,9603,11,0.8738083366770297,42.219.153.83,80,193.228.150.106,28645,TCP
0,3,10141,12,0.8709497004747391,42.219.153.83,80,194.228.150.106,27976,TCP
0,3,9611,9,0.8474485042970628,42.219.153.83,80,194.228.150.106,26820,TCP
0,3,10244,11,0.8644737142603844,42.219.153.83,80,193.228.150.106,27996,TCP
0,3,10053,10,0.8728384135756642,42.219.153.83,80,193.228.150.106,28268,TCP
0,3,9056,9,0.8641386022791266,42.219.153.83,80,194.228.150.106,28002,TCP
0,3,9522,9,2.0634126816876233,42.219.153.83,80,193.228.150.106,28096,TCP
0,3,10059,10,0.8525384031236172,42.219.153.83,80,193.228.150.106,27948,TCP
0,3,9033,10,0.8641096972860396,42.219.153.83,80,194.228.150.106,27293,TCP
0,3,11235,13,0.8568119471892715,42.219.153.83,80,194.228.150.106,27556,TCP
0,3,10333,9,0.8687451453879476,42.219.153.83,80,194.228.150.106,27925,TCP
0,3,9306,10,0.8832327167037874,42.219.153.83,80,193.228.150.106,28260,TCP
0,3,10735,11,0.8583995243534446,42.219.153.83,80,194.228.150.106,28670,TCP
0,3,10441,10,0.8577094387728721,42.219.153.83,80,193.228.150.106,28228,TCP
0,3,10501,10,0.8602643189951777,42.219.153.83,80,194.228.150.106,27940,TCP
0,3,9707,9,0.8717124711256474,42.219.153.83,80,194.228.150.106,28898,TCP
0,3,11047,12,0.8638776966836303,42.219.153.83,80,194.228.150.106,28002,TCP
0,3,10540,10,0.8605308027472347,42.219.153.83,80,193.228.150.106,28000,TCP
0,3,11214,10,0.8961602635681629,42.219.153.83,80,193.228.150.106,28628,TCP
0,3,9515,9,0.8453270299360156,42.219.153.83,80,194.228.150.106,28727,TCP
0,3,9353,10,0.8817305022384971,42.219.153.83,80,194.228.150.106,28239,TCP
0,3,9970,12,0.889050057856366,42.219.153.83,80,194.228.150.106,28726,TCP
0,15,9951,11,0.8564304350875318,42.219.153.83,80,194.228.150.106,28285,TCP
0,3,9576,11,0.8663558349944651,42.219.153.83,80,194.228.150.106,32641,TCP
0,3,11298,11,0.8770192419178784,42.219.153.83,80,193.228.150.106,28666,TCP
0,3,9943,10,0.876901509007439,42.219.153.83,80,194.228.150.106,28649,TCP
0,3,10440,9,0.8817987923976034,42.219.153.83,80,194.228.150.106,27970,TCP
0,3,9609,12,0.8557981594931334,42.219.153.83,80,194.228.150.106,28015,TCP
0,3,11250,10,0.8510806448757648,42.219.153.83,80,194.228.150.106,28017,TCP
0,3,9958,8,0.8875306863337755,42.219.153.83,80,5.228.150.164,30206,TCP
0,3,8716,11,0.8564358442090452,42.219.153.83,80,193.228.150.106,28254,TCP
0,3,10701,9,0.8520995881408453,42.219.153.83,80,194.228.150.106,28426,TCP
0,3,10660,12,0.8511914473492652,42.219.153.83,80,193.228.150.106,28661,TCP
0,3,11463,12,0.8994764776434749,42.219.153.83,80,194.228.150.106,31272,TCP
0,3,10837,9,0.8514528600499034,42.219.153.83,80,194.228.150.106,27233,TCP
0,45,11063,11,0.8582386029884219,42.219.153.83,80,194.228.150.106,26929,TCP
0,3,9476,10,0.848925870610401,42.219.153.83,80,194.228.150.106,29740,TCP
0,3,10209,9,0.8473023734986782,42.219.153.83,80,193.228.150.106,27991,TCP
0,3,9706,10,0.8526687291450799,42.219.153.83,80,194.228.150.106,27955,TCP
0,3,9160,11,0.8431916101835668,42.219.153.83,80,193.228.150.106,27990,TCP
0,3,10973,10,0.8520992500707507,42.219.153.83,80,194.228.150.106,29108,TCP
