te,teDelta,byt,pkt,td,sa,sp,da,dp,pr
0,23,96,1,0.46738241286948323,69.237.133.169,769,42.219.157.246,0,Other
0,4,279,1,0.5281313268933445,42.219.157.246,0,217.58.133.165,60107,Other
0,29,146,27,0.515007107751444,42.219.157.246,0,205.210.133.80,769,Other
0,5,92,6,6.107364725321531,42.219.157.246,0,175.75.195.165,769,Other
0,4,577,5,0.5094308950938284,91.210.176.165,769,42.219.157.246,0,Other
0,5,8036,5,0.4427588239777833,42.219.157.246,0,81.210.133.180,769,Other
0,60,82,5,6.1927510891109705,42.219.157.246,0,210.210.133.165,769,Other
0,5,69,2,0.5692918257554993,164.210.133.165,46969,42.219.157.246,0,Other
0,5,66,6,0.4542687584180385,42.219.157.246,0,175.210.108.165,769,Other
0,4,55,2,6.052667012438178,175.90.133.54,769,42.219.157.246,0,Other
0,5,52,99,0.48521083511877805,175.14.140.165,769,42.219.157.246,0,Other
0,4,57,6,6.1737853568047285,42.219.157.246,0,66.210.146.187,769,Other
0,20,319,6,6.174717754125595,42.219.157.246,0,32.210.221.188,769,Other
0,71,46,6,0.49185708188451827,42.219.157.246,0,120.208.108.69,123,Other
0,5,208,9,0.47835549199953675,47.148.231.34,769,42.219.157.246,0,Other
0,5,307,6,0.5198393971659243,42.219.157.246,0,138.72.133.165,769,Other
0,16,59,5,0.49358352134004235,238.10.201.103,769,42.219.157.246,0,Other
0,31,10856,1,6.088321913033724,175.210.133.165,769,42.219.157.246,0,Other
0,12,123,2,15.940604019910097,91.210.133.221,123,42.219.157.246,0,Other
0,23,468,2,9.962288087233901,42.219.157.246,0,14.206.127.105,769,Other
0,2,66,8,6.221539109945297,95.17.133.184,123,42.219.157.246,0,Other
0,5,113,121,0.47877064207568765,42.219.157.246,0,126.210.162.195,769,Other
0,42,272,6,6.049497267231345,42.219.157.246,0,175.210.133.76,769,Other
0,50,521,6,0.5132437341380864,177.222.50.165,769,42.219.157.246,0,Other
0,15,44,1,0.4586851370986551,163.210.133.165,769,42.219.157.246,0,Other
0,4,251,5,0.4605229706503451,42.219.157.246,0,163.210.133.165,769,Other
0,30,100,5,20.58881900086999,42.219.157.246,0,140.60.133.165,769,Other
