te,teDelta,byt,pkt,td,sa,sp,da,dp,pr
0,3,366,6,2.8515147557482123,105.152.53.66,8241,42.219.153.35,25,TCP
0,3,352,6,3.1226970059797168,105.169.53.66,7919,42.219.153.35,25,TCP
0,3,302,6,3.187287664040923,105.9.53.66,31234,42.219.153.35,25,TCP
0,3,376,6,3.2053226893767715,105.52.53.66,5879,42.219.153.35,25,TCP
0,3,322,6,3.871039839461446,105.52.53.66,9079,42.219.153.35,25,TCP
0,3,409,6,3.4364885967224836,24.52.53.66,7572,42.219.153.35,25,TCP
0,3,420,7,0.8030672539025545,105.52.53.66,9177,42.219.153.35,25,TCP
0,6,47,6,2.812387199141085,105.52.53.66,51162,42.219.153.35,25,TCP
0,3,353,6,3.56690657325089,227.93.53.66,8637,42.219.153.35,25,TCP
0,3,296,5,0.7703666633460671,105.52.53.66,55364,42.219.153.35,25,TCP
0,3,137,6,3.413376096636057,225.210.53.66,7072,42.219.153.35,25,TCP
0,3,325,6,3.052245226688683,206.97.53.66,9070,42.219.153.35,25,TCP
0,3,374,30,3.2717321645468473,239.5.53.66,53,42.219.153.35,25,TCP
0,3,326,5,0.7706456556916237,207.52.53.66,7871,42.219.153.35,25,TCP
0,3,309,6,3.159120339900255,105.38.53.66,7297,42.219.153.35,25,TCP
0,3,352,6,2.9855017382651567,105.194.129.66,8998,42.219.153.35,25,TCP
0,3,334,6,2.9429069347679615,105.216.53.95,7235,42.219.153.35,25,TCP
0,3,310,6,8.857506796717644,105.52.53.66,7591,42.219.153.35,25,TCP
0,3,325,6,4.082120326347649,105.52.53.66,38850,42.219.153.35,25,TCP
0,18,332,6,3.349566380493343,105.189.53.66,6498,42.219.153.35,25,TCP
0,3,163,6,3.315997372381389,105.248.130.66,7214,42.219.153.35,25,TCP
0,3,340,1,3.0760095259174705,105.171.53.66,9142,42.219.153.35,25,TCP
0,3,366,6,2.4458472076803446,215.52.53.159,9199,42.219.153.35,25,TCP
0,3,462,5,3.0215930873528123,219.15.53.66,9879,42.219.153.35,25,TCP
0,3,288,6,1.9712623804807663,105.195.53.66,8688,42.219.153.35,25,TCP
0,3,354,6,2.9926394121721387,105.46.53.66,10173,42.219.153.35,25,TCP
0,3,328,6,0.8024064113851637,169.203.53.66,7850,42.219.153.35,25,TCP
0,3,295,12,3.3320435313507915,105.52.53.66,9208,42.219.153.35,25,TCP
0,3,336,6,5.440601248294115,200.52.53.66,9333,42.219.153.35,25,TCP
0,3,354,6,2.980956047773361,230.52.53.66,60473,42.219.153.35,25,TCP
0,3,308,6,2.9891941398382187,105.52.53.66,9106,42.219.153.35,25,TCP
0,3,333,6,0.7930477014742792,105.213.131.66,40763,42.219.153.35,25,TCP
0,3,330,6,3.0082572363317013,105.46.53.66,7392,42.219.153.35,25,TCP
0,3,336,6,3.294952508993447,105.245.53.66,9138,42.219.153.35,25,TCP
0,3,355,6,0.8091186240781099,105.219.53.66,7423,42.219.153.35,25,TCP
0,3,375,3,3.2581664258614182,105.52.53.66,6795,42.219.153.35,25,TCP
0,3,331,6,2.9698673486709595,105.14.178.66,8260,42.219.153.35,25,TCP
0,3,356,3,0.7648179188836366,105.52.53.66,7322,42.219.153.35,25,TCP
0,3,333,6,3.40134553425014,105.79.53.66,6289,42.219.153.35,25,TCP
0,3,349,6,2.9953135466203094,105.239.53.66,7893,42.219.153.35,25,TCP
0,3,309,6,3.3925888426601887,105.52.53.111,8581,42.219.153.35,25,TCP
0,3,84,5,3.308933397755027,105.242.53.66,7390,42.219.153.35,25,TCP
0,3,379,6,2.7982927188277245,105.52.53.66,51701,42.219.153.35,25,TCP
0,3,342,6,3.2737822216004133,105.52.53.66,7086,42.219.153.35,25,TCP
0,3,419,5,3.557576852850616,105.52.125.66,9295,42.219.153.35,25,TCP
0,3,340,6,0.8278827820904553,105.52.53.66,9477,42.219.153.35,25,TCP
0,3,322,6,3.1194714792072773,132.175.147.66,7150,42.219.153.35,25,TCP
0,3,312,12,3.3180896881967783,105.228.53.66,7786,42.219.153.35,25,TCP
0,3,330,5,3.415141498669982,105.202.53.66,7634,42.219.153.35,25,TCP
0,3,328,5,2.7267286889255047,105.53.147.69,8273,42.219.153.35,25,TCP
0,3,67,6,2.939435969106853,105.52.53.66,7142,42.219.153.35,25,TCP
0,3,304,8,0.8185678522568196,105.52.53.66,9125,42.219.153.35,25,TCP
0,3,348,6,3.1430873656645417,105.52.53.66,10163,42.219.153.35,25,TCP
0,3,358,6,0.7754048374481499,105.143.53.66,8720,42.219.153.35,25,TCP
0,3,326,5,3.734569394029677,105.52.53.66,8674,42.219.153.35,25,TCP
0,3,368,4,2.949339732527733,105.14.53.66,9141,42.219.153.35,25,TCP
0,3,335,6,2.9703991329297423,105.52.53.66,7597,42.219.153.35,25,TCP
0,3,311,6,2.63251345558092,105.52.53.66,6502,42.219.153.35,25,TCP
0,3,47,6,3.358157755807042,105.52.209.66,7939,42.219.153.35,25,TCP
0,3,364,6,2.886054363101721,105.53.53.66,8554,42.219.153.35,25,TCP
0,3,293,6,2.8225205121561885,241.52.53.66,53168,42.219.153.35,25,TCP
0,3,293,5,2.6014380524866283,105.52.53.66,6483,42.219.153.35,25,TCP
0,3,323,4,3.3111433619633317,105.52.53.66,7482,42.219.153.35,25,TCP
0,3,358,2,2.816734949592501,105.52.53.66,7378,42.219.153.35,25,TCP
0,3,334,6,2.613553977571428,105.41.53.66,6392,42.219.153.35,25,TCP
0,3,273,6,3.440910553559661,223.196.53.66,8719,42.219.153.35,25,TCP
0,3,408,5,5.224508872255683,105.168.53.66,10176,42.219.153.35,25,TCP
0,3,368,6,3.164364821277559,105.60.53.66,6968,42.219.153.35,25,TCP
0,3,306,6,2.987332387827337,105.52.53.66,7993,42.219.153.35,25,TCP
0,3,318,6,2.7576458752155304,209.52.53.66,7337,42.219.153.35,25,TCP
0,3,340,6,3.3969499468803406,105.193.53.66,7945,42.219.153.35,25,TCP
0,3,276,6,2.9034352228045464,105.52.53.66,7457,42.219.153.35,25,TCP
0,3,299,6,2.5687380535528064,105.52.53.66,8339,42.219.153.35,25,TCP
0,3,359,6,0.8269273114856333,105.53.53.146,8511,42.219.153.35,25,TCP
0,3,400,6,3.173225976526737,187.52.53.66,9360,42.219.153.35,25,TCP
0,3,335,6,2.853415047749877,105.52.53.66,8818,42.219.153.35,25,TCP
0,3,357,2,3.3640929143875837,178.174.53.66,7761,42.219.153.35,25,TCP
0,3,359,6,3.104416203685105,105.168.53.66,10468,42.219.153.35,25,TCP
0,3,117,6,2.743929864373058,60.52.53.66,9159,42.219.153.35,25,TCP
0,3,303,6,3.276411392726004,105.52.53.66,7348,42.219.153.35,25,TCP
0,3,326,6,3.3337859446182847,246.52.53.66,8992,42.219.153.35,25,TCP
0,3,347,6,2.894835733808577,105.52.53.66,10046,42.219.153.35,25,TCP
0,3,387,9,2.9655454605817795,105.52.53.66,7158,42.219.153.35,25,TCP
0,3,370,2,3.4238434229046106,105.18.53.66,9877,42.219.153.35,25,TCP
0,3,153,2,2.858406314626336,105.52.53.217,9278,42.219.153.35,25,TCP
0,3,359,6,2.9328500255942345,105.52.53.66,6737,42.219.153.35,25,TCP
0,3,336,6,2.8243570779450238,186.129.53.66,8365,42.219.153.35,25,TCP
0,3,359,10,3.596088107675314,105.66.53.66,8228,42.219.153.35,25,TCP
0,3,355,5,6.112996973097324,105.52.53.66,63963,42.219.153.35,25,TCP
0,3,132,6,2.3865938312374055,105.170.53.66,8334,42.219.153.35,25,TCP
0,3,295,6,2.9826088724657893,105.190.53.66,8676,42.219.153.35,25,TCP
0,3,349,6,2.767079552169889,105.209.53.32,6044,42.219.153.35,25,TCP
0,3,350,6,2.9250453393906355,105.57.134.66,7756,42.219.153.35,25,TCP
