te,teDelta,byt,pkt,td,sa,sp,da,dp,pr
0,4,522,10,4.377533750608563,17.228.173.50,49649,42.219.157.13,23,TCP
0,3,276,59,0.8084647965151817,17.12.173.50,58741,42.219.157.13,25,TCP
0,10,352,5,4.310121221467853,33.228.173.50,50121,42.219.157.13,25,TCP
0,3,400,25,3.819723503664136,17.83.173.50,49807,42.219.157.13,23,TCP
0,4,448,23,3.9950179187580943,17.228.104.50,49691,42.219.157.13,25,TCP
0,3,134,5,4.178370910696685,17.181.173.50,49539,42.219.157.13,25,TCP
0,3,424,6,16.01052773371339,17.228.173.50,49466,42.219.157.13,23,TCP
0,3,619,5,4.715056509710848,17.228.173.50,53,42.219.157.13,23,TCP
0,3,511,8,4.279817970469594,167.228.173.50,49738,42.219.157.13,25,TCP
0,4,358,13,4.072115818038583,17.228.173.50,49931,42.219.157.13,23,TCP
0,3,509,8,3.8249662946909666,156.121.173.50,49504,42.219.157.13,25,TCP
0,3,417,9,4.034402746707201,17.228.173.50,50514,42.219.157.13,25,TCP
0,4,312,8,4.101074226200581,17.228.173.50,49478,42.219.157.13,23,TCP
0,4,253,11,3.8722599344328046,17.69.173.50,49519,42.219.157.13,25,TCP
0,4,307,9,0.8390029217116535,17.228.173.50,49545,42.219.157.13,23,TCP
0,4,263,8,4.3035055277869105,17.228.173.50,51535,42.219.157.13,25,TCP
0,4,327,5,4.5988956252112985,183.228.173.50,51909,42.219.157.13,23,TCP
0,4,327,5,4.0875264052301645,17.119.173.50,5051,42.219.157.13,25,TCP
0,4,348,5,3.781217996031046,17.228.173.50,49536,42.219.157.13,23,TCP
0,3,320,5,4.337399421259761,17.230.173.50,50070,42.219.157.13,23,TCP
0,4,390,8,4.286685526371002,17.228.173.50,49500,42.219.157.13,23,TCP
0,3,344,8,11.44007022678852,17.228.173.91,49577,42.219.157.13,25,TCP
0,4,331,7,4.067583650350571,167.123.173.50,51302,42.219.157.13,23,TCP
0,3,556,7,4.187939984723926,17.228.173.50,49458,42.219.157.13,23,TCP
0,4,479,5,0.8648572547826916,17.228.72.50,40480,42.219.157.13,23,TCP
0,3,312,5,9.290557008236647,17.228.173.50,50021,42.219.157.13,25,TCP
0,3,524,7,4.356724860146642,17.228.173.50,49428,42.219.157.13,23,TCP
0,4,474,7,4.0110326372087,17.228.173.60,49836,42.219.157.13,5041,TCP
0,4,256,7,4.6195354806259274,17.162.173.50,49368,42.219.157.13,25,TCP
0,4,532,5,3.7334060948342085,17.228.173.50,49560,42.219.157.13,21,TCP
0,4,351,7,4.242505512200296,17.228.173.50,49640,42.219.157.13,23,TCP
0,4,459,12,4.120244152843952,17.92.173.50,49475,42.219.157.13,25,TCP
0,4,303,2,0.8628306090831757,17.228.173.50,49806,42.219.157.13,25,TCP
0,3,421,5,4.585204800590873,17.216.173.50,49811,42.219.157.13,23,TCP
0,4,111,5,4.091462893411517,17.228.173.50,27432,42.219.157.13,23,TCP
0,4,362,4,10.796539602801204,17.228.173.50,49502,42.219.157.13,23,TCP
0,4,277,47,4.267437167465687,17.228.173.50,50352,42.219.157.13,23,TCP
0,4,461,9,4.08370553702116,17.228.27.50,49817,42.219.157.13,23,TCP
0,3,554,5,4.036758081056178,17.228.173.50,49724,42.219.157.13,23,TCP
0,3,117,1,4.001435165293515,17.228.173.50,49434,42.219.157.13,25,TCP
0,3,295,42,5.547612603753805,18.228.128.50,49895,42.219.157.13,23,TCP
0,3,328,11,3.8439638055860996,18.10.173.50,50082,42.219.157.13,23,TCP
0,4,409,4,3.9711160250008106,17.228.173.50,49683,42.219.157.13,23,TCP
0,4,267,6,4.257218660786748,17.228.173.50,49692,42.219.157.13,23,TCP
0,3,261,9,3.499949086457491,17.228.173.50,49464,42.219.157.13,25,TCP
0,3,226,10,4.59424209035933,17.228.173.50,49356,42.219.157.13,23,TCP
0,3,39,5,4.158326058648527,17.228.173.50,50008,42.219.157.13,23,TCP
0,4,292,7,3.604271094314754,17.228.173.50,50189,42.219.157.13,23,TCP
0,4,42,37,4.093537967652082,17.228.173.50,49857,42.219.157.13,25,TCP
0,4,460,8,3.8535852804780006,17.228.173.50,61935,42.219.157.13,80,TCP
0,4,282,5,4.265174802392721,17.228.173.50,49515,42.219.157.13,25,TCP
0,3,432,10,3.718794367276132,17.228.173.50,51653,42.219.157.13,23,TCP
0,4,482,5,3.702057193033397,17.228.173.50,49902,42.219.157.13,25,TCP
0,4,431,5,3.408909852616489,17.228.173.50,53,42.219.157.13,25,TCP
0,4,285,46,4.048399862833321,17.228.173.50,49866,42.219.157.13,23,TCP
0,4,585,4,3.9460761873051524,17.88.173.50,53,42.219.157.13,23,TCP
0,4,270,9,4.167065846733749,17.228.173.50,49348,42.219.157.13,23,TCP
0,3,517,5,4.661279361695051,17.228.173.50,52261,42.219.157.13,25,TCP
0,4,345,7,6.762719012796879,17.228.173.50,49567,42.219.157.13,25,TCP
0,4,307,21,4.7323684031143785,206.228.173.50,49099,42.219.157.13,23,TCP
0,4,298,11,0.8461771917063743,17.228.173.50,49844,42.219.157.13,23,TCP
0,4,265,6,4.0411526542156935,17.228.173.50,32550,42.219.157.13,23,TCP
0,3,97,8,4.2111322693526745,187.228.173.50,49976,42.219.157.13,25,TCP
0,3,486,4,4.188525184057653,17.228.173.50,49483,42.219.157.13,23,TCP
0,3,360,8,4.1005809819325805,17.228.173.50,49715,42.219.157.13,25,TCP
0,4,249,8,3.6593332467600703,25.228.173.50,5308,42.219.157.13,23,TCP
0,3,290,5,0.8419933207333088,17.228.173.50,49561,42.219.157.13,23,TCP
0,4,321,5,3.973244852386415,17.228.173.50,49838,42.219.157.13,23,TCP
0,4,425,5,4.3535774275660515,17.228.173.50,49859,42.219.157.13,23,TCP
0,3,309,7,4.498629106208682,17.228.173.50,49839,42.219.157.13,23,TCP
0,4,506,7,3.8749820748344064,17.228.173.50,49849,42.219.157.13,23,TCP
0,4,470,9,0.8385281022638083,17.228.173.50,51897,42.219.157.13,23,TCP
0,4,445,7,4.0107550816610456,17.228.66.50,50822,42.219.157.13,23,TCP
0,4,500,7,4.386169751174748,17.233.173.50,49434,42.219.157.13,21,TCP
0,4,240,2,3.8175757443532348,17.228.173.50,49415,42.219.157.13,25,TCP
0,3,285,4,4.390500429086387,17.228.173.50,50993,42.219.157.13,22,TCP
0,3,442,10,4.518266245722771,17.228.173.50,49828,42.219.157.13,23,TCP
0,3,226,6,3.6474348697811365,17.228.173.50,49756,42.219.157.13,25,TCP
0,4,266,8,0.811371776740998,17.228.173.50,49459,42.219.157.13,23,TCP
0,4,484,4,3.8737704316154122,17.228.173.50,51541,42.219.157.13,23,TCP
0,4,407,5,4.314912012778223,17.215.173.50,49900,42.219.157.13,45863,TCP
0,3,457,1,0.802468700800091,17.228.173.50,49330,42.219.157.13,25,TCP
0,4,311,1,0.832501073135063,17.228.173.50,49442,42.219.157.13,23,TCP
0,3,70,12,0.8240125556476414,17.228.173.50,49880,42.219.157.13,23,TCP
0,3,323,6,4.094194837845862,17.228.173.50,49486,42.219.157.13,23,TCP
0,3,268,6,3.938980434089899,17.228.173.50,49509,42.219.157.13,25,TCP
0,4,383,4,0.8461640069726855,17.228.173.50,46556,42.219.157.13,25,TCP
0,4,338,6,3.888063697144389,17.228.173.50,50325,42.219.157.13,23,TCP
0,3,429,8,4.164137145504355,17.61.173.50,49981,42.219.157.13,23,TCP
0,3,361,26,0.8263034876435995,17.229.173.50,44129,42.219.157.13,23,TCP
0,3,548,7,9.134244214743376,17.228.173.205,49448,42.219.157.13,25,TCP
0,4,520,5,3.792355377227068,17.228.173.50,49425,42.219.157.13,23,TCP
0,4,462,7,3.982664161361754,17.228.173.50,49951,42.219.157.13,23,TCP
0,3,332,5,3.9119977075606585,17.228.173.50,49617,42.219.157.13,23,TCP
0,4,437,1,4.610055995173752,240.228.173.50,49617,42.219.157.13,23,TCP
0,4,148,5,4.09322221018374,17.228.173.50,49835,42.219.157.13,21,TCP
0,3,345,5,3.7247197218239307,17.228.173.50,49484,42.219.157.13,25,TCP
0,4,332,6,3.967031124047935,171.112.173.50,49640,42.219.157.13,25,TCP
0,3,307,4,4.022560827434063,17.228.173.50,49232,42.219.157.13,25,TCP
0,3,427,8,3.659073270857334,17.112.173.50,58410,42.219.157.13,23,TCP
0,3,264,8,3.9215228324756026,17.228.173.50,52080,42.219.157.13,23,TCP
0,4,443,5,4.113032779656351,17.216.21.50,49314,42.219.157.13,23,TCP
0,8,347,5,3.8022422371432185,17.228.173.50,49523,42.219.157.13,23,TCP
0,3,4071,5,4.307531942613423,17.228.124.50,49648,42.219.157.13,23,TCP
0,3,311,8,4.317635505460203,17.228.68.50,50016,42.219.157.13,23,TCP
0,4,225,13,3.766645146533847,17.244.173.213,48968,42.219.157.13,23,TCP
0,3,439,9,4.2826675632968545,17.228.76.50,49410,42.219.157.13,23,TCP
0,3,3065,6,3.7684392845258117,17.228.243.50,49915,42.219.157.13,23,TCP
0,4,346,9,4.451617754995823,17.228.173.134,50511,42.219.157.13,23,TCP
0,4,363,114,0.8567400227766484,17.228.12.50,49653,42.219.157.13,25,TCP
0,3,257,9,0.7645535480696708,17.17.173.50,51261,42.219.157.13,23,TCP
0,4,334,4,2.790330153889954,17.228.173.50,49579,42.219.157.13,25,TCP
0,7,230,5,0.8146624665241688,17.228.173.50,80,42.219.157.13,23,TCP
0,3,347,11,4.398406536318362,17.228.173.50,49449,42.219.157.13,23,TCP
0,3,450,7,4.269883442670107,17.228.173.50,50261,42.219.157.13,25,TCP
0,3,403,7,4.184565030969679,17.228.173.50,49509,42.219.157.13,23,TCP
0,4,15480,23,4.199982379563153,17.228.173.50,50735,42.219.157.13,23,TCP
0,4,435,7,3.583698176778853,17.228.173.50,49679,42.219.157.13,25,TCP
0,4,249,8,4.064827026799321,17.228.173.50,49599,42.219.157.13,25,TCP
0,3,35,2,4.257823130115867,17.228.173.50,49503,42.219.157.13,23,TCP
0,3,533,5,3.9922852981835604,17.228.242.50,49462,42.219.157.13,25,TCP
0,3,404,5,4.233667683787644,17.228.173.50,49453,42.219.157.13,25,TCP
0,3,318,5,4.1356134954839945,17.228.10.50,53,42.219.157.13,23,TCP
0,4,451,8,4.1245910581201315,17.6.173.50,49399,42.219.157.13,23,TCP
0,3,509,7,3.96395265776664,17.228.131.50,52276,42.219.157.13,23,TCP
0,4,310,5,4.1953092366456985,17.228.173.50,49405,42.219.157.13,23,TCP
0,4,373,10,3.8137589329853654,17.228.173.50,49390,42.219.157.13,23,TCP
0,4,1454,79,4.467295755632222,17.87.173.50,49910,42.219.157.13,23,TCP
0,4,296,1,4.041244271211326,17.228.153.50,49509,42.219.157.13,25,TCP
0,4,533,8,3.8887898717075586,17.228.173.50,50489,42.219.157.13,25,TCP
0,4,301,10,3.8459739703685045,17.228.173.50,50390,42.219.157.13,21,TCP
0,3,324,5,3.972831392660737,195.228.173.50,57592,42.219.157.13,25,TCP
0,4,375,5,3.978099877014756,17.220.173.50,49511,42.219.157.13,25,TCP
0,3,255,6,3.5883899135515094,17.228.173.50,49498,42.219.157.13,25,TCP
0,4,427,4,4.535335066728294,42.219.157.13,23,17.228.173.50,50381,TCP
0,4,402,5,4.284027619287372,17.228.173.50,49914,42.219.157.13,25,TCP
0,25,356,5,3.898252791725099,17.228.173.50,49882,42.219.157.13,23,TCP
0,3,292,10,4.157861550338566,17.228.173.50,49915,42.219.157.13,25,TCP
0,4,348,4,3.5763170924037695,17.228.173.50,49909,42.219.157.13,5064,TCP
0,4,506,16,4.019531719386578,17.228.173.50,49961,42.219.157.13,25,TCP
0,4,300,9,3.8375242464244366,17.228.173.50,52484,42.219.157.13,23,TCP
0,4,355,4,4.004394292831421,17.228.173.50,49901,42.219.157.13,22,TCP
0,3,323,2,4.015661492943764,17.79.173.50,49498,42.219.157.13,23,TCP
0,4,463,5,20.94418340921402,17.228.173.50,49483,42.219.157.13,23,TCP
0,4,276,4,4.090656258165836,17.228.173.50,50001,42.219.157.13,25,TCP
0,4,347,4,4.1648836042732,17.228.173.50,50347,42.219.157.13,23,TCP
