te,teDelta,byt,pkt,td,sa,sp,da,dp,pr
0,3,67,1,0.7413681938778609,134.208.170.240,34853,42.219.156.240,4499,TCP
0,32,47,1,0.7004143403610215,134.208.41.240,35970,42.219.156.240,22,TCP
0,90,87,5,0.6700596604496241,107.208.41.240,33028,42.219.156.240,4465,TCP
0,3,58,1,0.6464522257447243,134.208.41.124,58733,42.219.156.240,4490,TCP
0,81,83,1,0.7103600667323917,134.208.41.240,36749,42.219.156.240,4496,TCP
0,3,77,1,0.6341600816231221,134.208.92.229,35829,42.219.156.240,22,TCP
0,12,84,21,0.7220801117364317,134.208.41.240,57942,42.219.156.240,22,TCP
0,51,51,2,0.741846140474081,134.208.41.240,35014,42.219.156.240,443,TCP
0,37,62,1,0.7306648101657629,134.208.41.129,34386,42.219.156.240,22,TCP
0,91,52,1,0.6991922169690952,134.208.41.240,35023,42.219.156.240,22,TCP
0,91,85,2,0.6886343301739544,134.208.41.240,35931,42.219.156.240,22,TCP
0,63,111,2,0.6901452922029421,134.208.41.91,42047,42.219.156.240,4503,TCP
0,319,54,14,0.7244114431086928,134.208.41.240,58007,42.219.156.240,22,TCP
0,4,64,2,0.7044737592805177,134.208.41.240,34945,42.219.156.240,22,TCP
0,17,48,4,0.7101687190588564,134.208.41.240,40266,42.219.156.240,80,TCP
0,34,82,2,0.7254532061051577,134.208.41.240,35917,42.219.156.240,22,TCP
0,3,77,1,0.7097535689827055,134.208.41.240,57941,42.219.156.240,4490,TCP
0,61,78,4,0.6919802944175899,42.219.156.240,4427,100.208.41.240,36812,TCP
0,76,83,9,0.6876149643212557,134.208.41.168,35830,42.219.156.240,22,TCP
0,130,58,5,0.7144339804071933,134.208.41.240,35884,42.219.156.240,22,TCP
0,56,95,2,0.7188075932208449,134.208.41.35,36612,42.219.156.240,4433,TCP
0,49,46,5,0.750724368263036,134.208.41.240,35895,42.219.156.240,22,TCP
0,3,63,16,0.7506537961307913,134.208.41.193,34515,42.219.156.240,4462,TCP
0,3,78,2,0.733776660868898,134.208.41.240,40026,42.219.156.240,22,TCP
0,3,42,2,0.679798023076728,134.208.172.240,35003,42.219.156.240,22,TCP
0,101,50,2,0.6774219396756962,92.208.41.240,33084,42.219.156.240,22,TCP
0,410,79,11,0.7024165604962036,134.208.41.240,35960,42.219.156.240,22,TCP
0,147,54,5,0.762004668591544,134.208.41.240,36556,42.219.156.240,4454,TCP
0,3,92,2,0.7416943470016122,134.208.41.87,53,42.219.156.240,22,TCP
0,68,81,2,0.756552612176165,134.208.41.188,33704,42.219.156.240,4464,TCP
0,23,46,5,0.6939555534627289,105.208.41.90,33659,42.219.156.240,4503,TCP
0,3,56,23,0.6726229924242944,134.208.41.240,36913,42.219.156.240,4473,TCP
0,98,44,2,0.7244126263540238,134.208.41.130,5120,42.219.156.240,4490,TCP
0,3,111,1,0.7174581864383072,42.219.156.240,4493,134.208.41.8,36576,TCP
0,137,39,4,0.7061305140377954,42.219.156.240,4489,134.208.41.200,36023,TCP
0,4,122,1,0.7138305252883583,134.208.41.240,37755,42.219.156.240,4488,TCP
0,387,74,1,0.6623959494754672,134.208.41.240,30888,42.219.156.240,4424,TCP
0,109,46,3,0.7013798262923956,134.208.41.240,34736,42.219.156.240,4456,TCP
0,17,79,5,0.6834345163078979,42.219.156.240,4446,134.208.137.240,34562,TCP
0,4,61,4,0.7185820159502327,53.208.41.240,24395,42.219.156.240,1478,TCP
0,4,46,4,0.6966554657556117,134.208.41.240,34812,42.219.156.240,4494,TCP
