teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
28,558,6,0.7551458179950714,60.37.72.50,44472,42.219.155.123,49655,UDP,2016-11-04 04:00:28
31,559,1,0.7740872092545033,144.247.125.91,3294,42.219.155.123,80,TCP,2016-11-04 04:00:59
35,2490,1,0.7656677425839007,42.219.155.123,17,157.206.251.140,771,UDP,2016-11-04 04:01:34
12,60,9,0.7429545032791793,81.7.121.50,46619,42.219.155.123,65197,UDP,2016-11-04 04:01:46
3,526,1,0.7619722138624638,245.182.11.112,57769,42.219.155.123,53,UDP,2016-11-04 04:01:49
19,573,1,0.8161957834381609,42.219.155.123,25,196.123.146.128,38390,UDP,2016-11-04 04:02:08
28,65,18,0.7558899947907776,237.22.125.51,53,42.219.155.123,5044,TCP,2016-11-04 04:02:36
27,487,1,0.7842332844156772,237.163.125.50,38370,42.219.155.123,25,UDP,2016-11-04 04:03:03
47,866,2,0.7644664105027914,42.219.155.123,37357,101.63.104.90,61779,UDP,2016-11-04 04:03:50
3,3853,62,0.7341551303397864,232.8.8.163,113,42.219.155.123,5068,UDP,2016-11-04 04:03:53
44,807,10,0.7493235748261213,182.38.136.50,53,42.219.155.123,3262,UDP,2016-11-04 04:04:37
153,619,6,0.7814091313630342,83.48.167.78,53,42.219.155.123,443,TCP,2016-11-04 04:07:10
25,16998,2,0.7751657373737544,154.127.125.202,3986,42.219.155.123,41215,UDP,2016-11-04 04:07:35
125,158,1,0.7619434779044241,147.7.124.116,56417,42.219.155.123,5117,TCP,2016-11-04 04:09:40
81,540,2,0.7780296136625111,229.5.125.50,37271,42.219.155.123,25,UDP,2016-11-04 04:11:01
169,91,45,0.7373699233867228,237.37.16.143,48244,42.219.155.123,3228,TCP,2016-11-04 04:13:50
21,532,1,30.28812438994646,42.219.155.123,123,165.236.139.50,19952,UDP,2016-11-04 04:14:11
3,2620,6,0.774366877740249,190.55.125.69,7777,42.219.155.123,47000,UDP,2016-11-04 04:14:14
9,3020,9,0.7712513082660735,42.219.155.123,23,237.8.180.174,45251,UDP,2016-11-04 04:14:23
3,658,1,37.26827926933765,58.79.13.50,45300,42.219.155.123,1569,UDP,2016-11-04 04:14:26
4,3912,6,0.7470033997669816,42.219.155.123,5030,237.83.143.50,113,UDP,2016-11-04 04:14:30
4,511,1,0.7467662435956299,42.219.155.123,5113,194.8.125.50,1376,TCP,2016-11-04 04:14:34
35,338,29,0.7703533940948546,42.219.155.123,80,113.7.125.165,33678,UDP,2016-11-04 04:15:09
11,556,1,0.7996898491401225,215.8.133.50,113,42.219.155.123,1892,UDP,2016-11-04 04:15:20
12,3150,215,0.7554494894575328,147.124.233.50,53331,42.219.155.123,22,TCP,2016-11-04 04:15:32
4,26820,1,0.7828667205758393,237.197.125.142,771,42.219.155.123,3263,TCP,2016-11-04 04:15:36
22,2812,1,0.7947646749671549,42.219.155.123,38142,237.6.71.72,45695,UDP,2016-11-04 04:15:58
5,158,1,0.7116721167694777,42.219.155.123,43666,247.37.162.102,40447,UDP,2016-11-04 04:16:03
135,573,5,0.825956120621413,37.8.125.50,38368,42.219.155.123,42554,UDP,2016-11-04 04:18:18
3,619,1,0.771548471879214,187.8.36.67,771,42.219.155.123,80,TCP,2016-11-04 04:18:21
4,2159,11,33.18007604777813,237.202.132.50,19982,42.219.155.123,55553,TCP,2016-11-04 04:18:25
18,2705,1,0.7589937318116426,192.177.125.124,771,42.219.155.123,25,TCP,2016-11-04 04:18:43
43,20294,5,0.7251426042057574,42.219.155.123,80,224.8.233.112,64597,UDP,2016-11-04 04:19:26
4,363,16,0.7774825317319483,42.219.155.123,25,232.98.125.104,4420,UDP,2016-11-04 04:19:30
5,526,1,32.51597115397453,42.219.155.123,41391,191.8.134.50,5139,UDP,2016-11-04 04:19:35
17,503,8,0.7691125923302025,128.153.74.50,20004,42.219.155.123,25,UDP,2016-11-04 04:19:52
47,152,6,0.7524268892593682,42.219.155.123,25,236.252.125.97,33767,UDP,2016-11-04 04:20:39
40,133,33,0.7687289672903717,237.8.125.141,771,42.219.155.123,35179,UDP,2016-11-04 04:21:19
41,564,4,0.7452864262741059,42.219.155.123,5551,138.252.125.146,5167,UDP,2016-11-04 04:22:00
3,522,1,0.7979824261274189,224.6.125.168,45928,42.219.155.123,46856,UDP,2016-11-04 04:22:03
4,122,6,0.7090113360900432,42.219.155.123,5112,216.219.125.131,38414,UDP,2016-11-04 04:22:07
39,514,24,0.7308488893322647,42.219.155.123,143,9.120.212.38,771,UDP,2016-11-04 04:22:46
47,60,12,0.847214475274086,42.219.155.123,5063,237.8.123.123,5327,UDP,2016-11-04 04:23:33
18,568,22,0.7783928699791431,42.219.155.123,5041,109.247.94.84,1314,UDP,2016-11-04 04:23:51
4,844,57,0.773931697010994,42.219.155.123,25,219.127.233.50,771,UDP,2016-11-04 04:23:55
30,478,5,0.7445079353637993,95.37.104.50,34216,42.219.155.123,36653,UDP,2016-11-04 04:24:25
105,2197,3,0.7583687247242779,213.37.125.142,45325,42.219.155.123,17,UDP,2016-11-04 04:26:10
3,3964,25,0.7298423701431602,42.219.155.123,5027,237.65.71.50,59307,UDP,2016-11-04 04:26:13
4,41,1,0.7464655302464962,237.243.233.218,2366,42.219.155.123,563,UDP,2016-11-04 04:26:17
121,505,35,0.7340244662482291,181.37.71.50,53,42.219.155.123,123,UDP,2016-11-04 04:28:18
