teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
3,3650,72,2.6770014516077936,165.46.143.54,10474,42.219.158.224,80,TCP,2016-11-04 04:00:03
3,3600,76,2.5329443751834333,165.54.143.54,10758,42.219.158.224,80,TCP,2016-11-04 04:00:06
3,3942,89,2.6498255180194974,165.54.143.54,10507,42.219.158.224,80,TCP,2016-11-04 04:00:09
3,2983,65,2.3756177094765007,165.63.143.54,11770,42.219.158.224,80,TCP,2016-11-04 04:00:12
3,4141,1,2.3426224063150585,165.54.143.54,10037,42.219.158.224,80,TCP,2016-11-04 04:00:15
3,4771,65,2.675208665896207,165.227.143.54,10897,42.219.158.224,80,TCP,2016-11-04 04:00:18
3,1105,86,2.240640688687563,165.54.143.54,10715,42.219.158.224,80,TCP,2016-11-04 04:00:21
3,4559,72,2.3392919087782498,42.219.158.224,80,165.54.143.54,11677,TCP,2016-11-04 04:00:24
3,3554,76,2.5531667140312493,165.54.143.54,11138,42.219.158.224,80,TCP,2016-11-04 04:00:27
3,5808,70,2.1927466364577413,165.54.143.54,10772,42.219.158.224,80,TCP,2016-11-04 04:00:30
3,3982,88,2.4376241597346957,165.54.143.54,10583,42.219.158.224,80,TCP,2016-11-04 04:00:33
3,3906,68,2.3523043957538903,81.54.143.54,10257,42.219.158.224,80,TCP,2016-11-04 04:00:36
3,4152,75,2.5599183118902147,165.54.143.54,11090,42.219.158.224,80,TCP,2016-11-04 04:00:39
3,4359,99,2.2575610969215627,165.54.143.54,10797,42.219.158.224,80,TCP,2016-11-04 04:00:42
3,5130,80,2.2450279933400448,165.54.143.54,11478,42.219.158.224,80,TCP,2016-11-04 04:00:45
3,3813,80,2.2727436558343466,250.54.143.54,11358,42.219.158.224,80,TCP,2016-11-04 04:00:48
3,55,77,2.735875513404608,165.54.143.54,11374,42.219.158.224,80,TCP,2016-11-04 04:00:51
3,3751,90,2.3425884302705526,165.54.143.54,11193,42.219.158.224,80,TCP,2016-11-04 04:00:54
3,3714,69,2.4231052324175835,165.54.143.54,10284,42.219.158.224,80,TCP,2016-11-04 04:00:57
3,4723,67,2.705633960198611,165.54.143.54,11581,42.219.158.224,80,TCP,2016-11-04 04:01:00
