teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
3,441784,1,0.7503647461999208,27.131.80.24,5307,42.219.153.170,123,TCP,2016-11-04 04:00:03
3,38,1,0.773454173002392,42.219.153.170,123,134.131.89.49,41322,TCP,2016-11-04 04:00:06
15,50697,3,0.8090530384797603,218.131.80.50,41502,42.219.153.170,123,TCP,2016-11-04 04:00:21
5,48,27,0.8316806615330279,42.219.153.170,123,28.232.52.62,123,TCP,2016-11-04 04:00:26
30,51,3,0.8064101755153388,28.131.79.136,41494,42.219.153.170,123,TCP,2016-11-04 04:00:56
211,77,1,0.8351985344197601,27.238.79.119,123,42.219.153.170,123,TCP,2016-11-04 04:04:27
2,46,1,135.69190245866778,42.219.153.170,123,28.131.79.194,41456,TCP,2016-11-04 04:04:29
14,38,1,0.7903760180342942,27.131.80.155,123,42.219.153.170,110,TCP,2016-11-04 04:04:43
3,42,75,0.8032587706111372,42.219.153.170,123,134.131.121.105,53574,TCP,2016-11-04 04:04:46
20,77,1,0.8052003071643412,42.219.153.170,123,27.131.79.105,41277,TCP,2016-11-04 04:05:06
4,437,51,0.7604869029019028,42.219.153.170,80,28.131.80.135,41472,TCP,2016-11-04 04:05:10
3,78,1,0.7888502231799066,139.131.80.142,41456,42.219.153.170,123,TCP,2016-11-04 04:05:13
18,1479,1,0.8505655950866641,27.131.79.49,41234,42.219.153.170,123,TCP,2016-11-04 04:05:31
12,420,1,0.7833057891111821,29.131.78.39,41504,42.219.153.170,53,TCP,2016-11-04 04:05:43
6,39,3,0.8244169719982892,235.131.21.43,50183,42.219.153.170,123,TCP,2016-11-04 04:05:49
4,43,6,0.8048158369492739,42.219.153.170,110,28.131.79.60,123,TCP,2016-11-04 04:05:53
13,41,4,0.7742335936054587,239.248.79.134,123,42.219.153.170,123,TCP,2016-11-04 04:06:06
19,78,20,0.8031306420452893,42.219.153.170,123,246.131.79.99,41267,TCP,2016-11-04 04:06:25
3,78,4,0.7961034325417131,42.219.153.170,123,225.131.201.110,5076,TCP,2016-11-04 04:06:28
15,212145,1,0.7535399850457907,28.131.109.62,123,42.219.153.170,123,UDP,2016-11-04 04:06:43
3,78,15,0.778246654663235,239.131.81.57,41456,42.219.153.170,123,TCP,2016-11-04 04:06:46
15,77,106,0.8008516270201653,28.35.79.77,123,42.219.153.170,123,TCP,2016-11-04 04:07:01
4,78,1,0.8109107336495072,42.219.153.170,110,28.131.34.92,41443,TCP,2016-11-04 04:07:05
3,78,20,0.8026219310704619,42.219.153.170,110,240.131.80.93,123,TCP,2016-11-04 04:07:08
10,80,1,0.7912184887100011,28.131.79.77,41452,42.219.153.170,123,TCP,2016-11-04 04:07:18
4,79,28,0.8152219725307077,28.131.5.139,123,42.219.153.170,123,TCP,2016-11-04 04:07:22
4,46,104,0.8000024794600904,42.219.153.170,123,134.131.79.103,41280,TCP,2016-11-04 04:07:26
10,78,3,0.7853319277055562,28.131.79.65,123,42.219.153.170,123,TCP,2016-11-04 04:07:36
4,33,1,0.7534449873492122,134.131.50.90,41477,42.219.153.170,80,TCP,2016-11-04 04:07:40
3,49,1,0.7966910828836262,27.131.79.107,80,42.219.153.170,123,TCP,2016-11-04 04:07:43
6,77,1,0.793937501963228,42.219.153.170,123,27.131.79.96,42518,TCP,2016-11-04 04:07:49
7,77,4,0.7914339238777757,42.219.153.170,110,235.131.79.122,123,TCP,2016-11-04 04:07:56
3,51,111,0.7893289304338396,65.131.79.76,5097,42.219.153.170,123,TCP,2016-11-04 04:07:59
4,79,1,0.7952161675784737,28.131.58.161,123,42.219.153.170,123,TCP,2016-11-04 04:08:03
4,79,1,0.8451598542742431,42.219.153.170,123,134.131.78.119,56389,UDP,2016-11-04 04:08:07
15,78,1,0.7926452290266752,42.219.153.170,123,120.131.79.136,41317,TCP,2016-11-04 04:08:22
4,47,39,0.7776159003842622,27.131.117.46,41521,42.219.153.170,123,TCP,2016-11-04 04:08:26
4,78,7,0.8152800360694528,28.131.116.56,80,42.219.153.170,123,TCP,2016-11-04 04:08:30
3,50,1,0.7937235881108791,42.219.153.170,123,28.131.80.110,123,TCP,2016-11-04 04:08:33
13,77,1,0.791805462911725,28.131.79.113,41504,42.219.153.170,123,TCP,2016-11-04 04:08:46
12,78,2,0.7997366718482226,134.131.43.118,42462,42.219.153.170,123,TCP,2016-11-04 04:08:58
3,42,1,0.8272987660020591,27.131.79.123,123,42.219.153.170,123,TCP,2016-11-04 04:09:01
3,79,3,0.796360365813598,42.219.153.170,123,28.131.46.131,123,TCP,2016-11-04 04:09:04
14,399,16,0.8375435576308519,24.131.80.77,1209,42.219.153.170,110,TCP,2016-11-04 04:09:18
7,2640,3,0.7729277978651226,42.219.153.170,123,28.131.132.62,53,TCP,2016-11-04 04:09:25
10,438,1,0.8042990968097001,42.219.153.170,123,28.131.79.181,41442,TCP,2016-11-04 04:09:35
9,53,26,0.8149273444432765,42.219.153.170,123,60.131.83.119,123,TCP,2016-11-04 04:09:44
13,355,1,0.8347808488178998,42.219.153.170,123,28.131.80.121,63623,UDP,2016-11-04 04:09:57
4,39,1,0.7981716608628631,28.115.80.102,123,42.219.153.170,123,TCP,2016-11-04 04:10:01
4,77,23,0.823656314285472,28.131.40.26,41456,42.219.153.170,6087,TCP,2016-11-04 04:10:05
9,79,1,0.776901135686785,227.131.132.76,41254,42.219.153.170,123,TCP,2016-11-04 04:10:14
12,43,7,0.7986587353516371,42.219.153.170,123,28.131.53.94,123,TCP,2016-11-04 04:10:26
10,78,1,0.7803611985873431,42.219.153.170,123,29.131.79.29,123,TCP,2016-11-04 04:10:36
8,78,1,0.7709825425408781,28.131.80.29,80,42.219.153.170,123,TCP,2016-11-04 04:10:44
14,80,52,0.7834389887284487,28.131.79.72,80,42.219.153.170,123,TCP,2016-11-04 04:10:58
27,41,3,0.83400599216111,42.219.153.170,123,28.131.143.120,41521,TCP,2016-11-04 04:11:25
14,41,1,0.8306918065063655,42.219.153.170,123,27.131.80.153,123,TCP,2016-11-04 04:11:39
13,8105,1,0.7753917372319847,134.131.79.25,41508,42.219.153.170,123,TCP,2016-11-04 04:11:52
3,78,1,0.7935174498707056,42.219.153.170,110,27.131.79.46,52743,TCP,2016-11-04 04:11:55
4,78,3,0.7976759655866772,28.131.80.79,42449,42.219.153.170,123,TCP,2016-11-04 04:11:59
7,78,1,0.7536332078743726,28.131.80.101,41491,42.219.153.170,123,TCP,2016-11-04 04:12:06
7,79,1,0.832693942124024,42.219.153.170,123,33.211.104.145,123,TCP,2016-11-04 04:12:13
7,79,1,0.7658280723262578,28.131.79.61,53,42.219.153.170,123,TCP,2016-11-04 04:12:20
4,401,31,0.8064877626020461,239.131.79.66,40859,42.219.153.170,123,TCP,2016-11-04 04:12:24
5,42,1,0.7712824952322991,28.131.79.124,40839,42.219.153.170,123,TCP,2016-11-04 04:12:29
4,313,1,0.7589005935005844,134.131.92.178,41429,42.219.153.170,123,TCP,2016-11-04 04:12:33
3,498,5,0.7831236538477242,42.219.153.170,123,134.131.79.93,51886,TCP,2016-11-04 04:12:36
3,80,1,0.7749292573425919,42.219.153.170,123,28.38.79.144,41309,TCP,2016-11-04 04:12:39
3,77,1,0.7891609095968306,42.219.153.170,443,179.131.79.66,123,TCP,2016-11-04 04:12:42
3,33,1,0.7872996646910906,28.131.79.71,41502,42.219.153.170,123,TCP,2016-11-04 04:12:45
3,78,3,0.8447379427962005,28.131.47.125,41482,42.219.153.170,123,TCP,2016-11-04 04:12:48
3,45,13,0.8130233336705714,42.219.153.170,123,28.131.55.159,41511,TCP,2016-11-04 04:12:51
132,386,3,0.8108646715991199,226.131.80.88,41523,42.219.153.170,123,TCP,2016-11-04 04:15:03
14,77,1,0.8062635376118124,220.131.79.89,123,42.219.153.170,110,TCP,2016-11-04 04:15:17
7,79,1,0.8355471692048013,42.219.153.170,123,28.131.79.81,123,TCP,2016-11-04 04:15:24
4,77,5,0.7723262866493315,27.131.127.117,123,42.219.153.170,22,TCP,2016-11-04 04:15:28
11,77,16,0.8140395723748952,42.219.153.170,123,28.131.79.109,40908,UDP,2016-11-04 04:15:39
55,46,4,0.8311989116482437,42.219.153.170,123,208.8.79.95,41520,TCP,2016-11-04 04:16:34
3,2655,1,0.7862142906524241,246.131.79.62,123,42.219.153.170,123,TCP,2016-11-04 04:16:37
4,78,1,0.7840989015530795,251.131.80.49,2141,42.219.153.170,36510,TCP,2016-11-04 04:16:41
4,59,6,0.7573333005420864,28.131.79.122,123,42.219.153.170,123,TCP,2016-11-04 04:16:45
4,54,14,25.34634827077389,75.23.80.108,123,42.219.153.170,110,TCP,2016-11-04 04:16:49
13,78,1,0.8045714967884123,42.219.153.170,123,28.131.79.73,41475,TCP,2016-11-04 04:17:02
4,340,2,0.7980146273039281,134.18.80.121,80,42.219.153.170,123,TCP,2016-11-04 04:17:06
3,42,117,0.7622692929580808,42.219.153.170,123,28.131.79.112,123,TCP,2016-11-04 04:17:09
3,31,1,3.0318920547142625,134.131.80.146,53,42.219.153.170,123,TCP,2016-11-04 04:17:12
9,35,1,0.7836637208238244,215.40.34.42,123,42.219.153.170,123,TCP,2016-11-04 04:17:21
12,78,11,0.8131481660529971,42.219.153.170,123,28.131.157.155,123,TCP,2016-11-04 04:17:33
4,80,188,0.8033608677797021,217.131.239.113,53,42.219.153.170,123,TCP,2016-11-04 04:17:37
8,35,51,0.8195008412003517,42.219.153.170,110,28.131.60.109,41427,TCP,2016-11-04 04:17:45
65,79,18,0.7579267825931311,42.219.153.170,110,27.131.80.109,41441,TCP,2016-11-04 04:18:50
3,360,2,0.7804444483481348,134.131.23.73,41250,42.219.153.170,110,TCP,2016-11-04 04:18:53
9,79,26,0.8062892309390008,42.219.153.170,123,28.131.80.86,80,TCP,2016-11-04 04:19:02
3,40,13,0.8286665976047516,28.131.79.93,41238,42.219.153.170,123,TCP,2016-11-04 04:19:05
3,77,4,0.7634874440263957,239.131.79.67,123,42.219.153.170,123,TCP,2016-11-04 04:19:08
3,80,1,0.8125850257929415,210.249.163.79,123,42.219.153.170,143,TCP,2016-11-04 04:19:11
4,42,1,0.8069334235042334,239.98.5.114,5028,42.219.153.170,123,TCP,2016-11-04 04:19:15
10,76,1,0.7893565676640719,42.219.153.170,123,28.131.79.102,22218,TCP,2016-11-04 04:19:25
4,43,4,0.7940224420744926,42.219.153.170,123,28.131.201.74,123,TCP,2016-11-04 04:19:29
3,52,8,0.7687103734351695,42.219.153.170,123,28.131.80.70,41457,TCP,2016-11-04 04:19:32
16,48,3,0.8420398898888379,42.219.153.170,123,100.228.79.148,41319,TCP,2016-11-04 04:19:48
9,79,1,0.7956077372655272,134.93.79.102,53,42.219.153.170,123,TCP,2016-11-04 04:19:57
3,79,1,0.7760998250450939,42.219.153.170,110,28.131.79.80,41429,TCP,2016-11-04 04:20:00
3,79,1,0.8228943888098001,228.131.80.97,41494,42.219.153.170,123,TCP,2016-11-04 04:20:03
3,38,9,0.7976542445831001,42.219.153.170,123,239.131.79.133,41492,TCP,2016-11-04 04:20:06
3,34,1,0.8359270754735917,28.131.236.113,40850,42.219.153.170,123,TCP,2016-11-04 04:20:09
3,39,3,0.7686025290749967,28.131.80.196,64114,42.219.153.170,110,TCP,2016-11-04 04:20:12
5,60,12,0.7906658286228776,42.219.153.170,123,239.131.104.119,41493,TCP,2016-11-04 04:20:17
88,78,1,0.7616569634992629,42.219.153.170,123,134.131.87.66,123,TCP,2016-11-04 04:21:45
3,78,1,0.7872650970239192,42.219.153.170,123,46.131.80.85,123,TCP,2016-11-04 04:21:48
29,39,1,0.7951960524078459,239.131.80.119,80,42.219.153.170,123,TCP,2016-11-04 04:22:17
15,78,1,0.7864043705631047,42.219.153.170,8853,27.131.80.195,123,TCP,2016-11-04 04:22:32
11,49,1,0.8114822411444038,42.219.153.170,123,27.131.79.71,41496,TCP,2016-11-04 04:22:43
3,77,9,0.8013253477402031,42.219.153.170,123,4.100.90.71,41500,TCP,2016-11-04 04:22:46
15,345,15,0.8414201228879392,229.131.79.58,41466,42.219.153.170,123,TCP,2016-11-04 04:23:01
3,79,42,0.8110401299782097,42.219.153.170,123,27.131.80.189,41518,TCP,2016-11-04 04:23:04
11,49,1,0.7930973132606596,28.131.79.42,40862,42.219.153.170,110,TCP,2016-11-04 04:23:15
10,77,50,0.8397531837690622,28.131.135.78,41521,42.219.153.170,123,TCP,2016-11-04 04:23:25
4,78,1,0.8123087380081415,168.99.82.122,40895,42.219.153.170,123,TCP,2016-11-04 04:23:29
13,78,34,0.7601203504018486,27.131.79.103,41432,42.219.153.170,123,TCP,2016-11-04 04:23:42
13,597,21,0.7840590092819184,27.211.224.119,123,42.219.153.170,123,TCP,2016-11-04 04:23:55
11,5624,1,0.8179873013868928,135.166.79.103,123,42.219.153.170,123,TCP,2016-11-04 04:24:06
5,31,1,0.840298828901723,129.131.243.114,40847,42.219.153.170,123,TCP,2016-11-04 04:24:11
11,47,1,0.7773150180000812,134.225.109.152,41314,42.219.153.170,123,TCP,2016-11-04 04:24:22
8,564,15,0.8020104467868805,28.131.79.103,51250,42.219.153.170,123,TCP,2016-11-04 04:24:30
5,79,4,0.7909903759136796,236.131.68.88,40867,42.219.153.170,443,TCP,2016-11-04 04:24:35
8,79,1,0.8076290027238429,42.219.153.170,123,135.131.79.69,41445,TCP,2016-11-04 04:24:43
3,78,1,0.8106094286777079,42.219.153.170,123,28.131.154.39,41432,TCP,2016-11-04 04:24:46
3,78,1,0.8125184259843081,42.219.153.170,123,29.131.79.99,5025,TCP,2016-11-04 04:24:49
4,40,1,0.7893009551335126,42.219.153.170,123,228.99.80.157,5033,TCP,2016-11-04 04:24:53
14,41,143,0.7894180119037628,28.131.124.120,52782,42.219.153.170,123,TCP,2016-11-04 04:25:07
3,65,1,0.7884248464833945,42.219.153.170,123,28.131.32.99,40897,TCP,2016-11-04 04:25:10
5,80,3,0.8048795631621033,42.219.153.170,123,134.131.126.78,41446,TCP,2016-11-04 04:25:15
3,39,24,0.7585919355042279,28.131.80.53,51720,42.219.153.170,123,TCP,2016-11-04 04:25:18
6,77,1,0.8325377537403256,42.219.153.170,123,40.131.80.33,41265,UDP,2016-11-04 04:25:24
6,44,5,0.7743340004235506,42.219.153.170,123,134.131.80.161,5055,TCP,2016-11-04 04:25:30
8,78,62,3.6132837049663062,42.219.153.170,5034,28.131.71.112,41480,TCP,2016-11-04 04:25:38
3,43,3,0.7611993856262416,27.131.48.88,55419,42.219.153.170,123,TCP,2016-11-04 04:25:41
4,78,1,0.7856088071130216,28.103.80.68,123,42.219.153.170,123,UDP,2016-11-04 04:25:45
12,79,3,0.8198897908441722,42.219.153.170,110,27.131.111.132,40837,TCP,2016-11-04 04:25:57
9,79,121,0.822598323924467,29.131.202.100,41308,42.219.153.170,80,UDP,2016-11-04 04:26:06
7,275,17,0.8154246455524117,134.131.94.95,41267,42.219.153.170,123,TCP,2016-11-04 04:26:13
3,41,1,0.7882285967934877,28.131.80.129,123,42.219.153.170,123,UDP,2016-11-04 04:26:16
3,78,6,0.8015086662489921,28.131.79.80,123,42.219.153.170,123,TCP,2016-11-04 04:26:19
12,38,53,0.7848085106816143,238.131.117.119,123,42.219.153.170,80,TCP,2016-11-04 04:26:31
12,77,4,0.8299904800951481,27.131.79.83,123,42.219.153.170,123,TCP,2016-11-04 04:26:43
22,39,1,0.8035249162930995,28.208.121.128,5059,42.219.153.170,123,TCP,2016-11-04 04:27:05
3,43,1,0.7947767609730363,248.131.89.115,41523,42.219.153.170,143,TCP,2016-11-04 04:27:08
5,37,5,0.7442148285917938,42.219.153.170,123,247.131.79.121,41462,TCP,2016-11-04 04:27:13
32,47,31,0.8046178969088942,28.131.80.67,41445,42.219.153.170,123,TCP,2016-11-04 04:27:45
3,429,23,0.8358122161589563,42.219.153.170,123,28.131.79.85,53,TCP,2016-11-04 04:27:48
3,78,41,0.8222549292258918,34.131.77.17,123,42.219.153.170,123,TCP,2016-11-04 04:27:51
4,78,1,0.7906993820797652,134.131.79.102,123,42.219.153.170,123,TCP,2016-11-04 04:27:55
3,2683,26,6.691674934700131,27.195.79.180,123,42.219.153.170,110,TCP,2016-11-04 04:27:58
3,78,1,0.8026696834713221,42.219.153.170,110,27.6.232.104,123,UDP,2016-11-04 04:28:01
3,79,4,0.7836900902912021,226.131.79.126,1671,42.219.153.170,123,TCP,2016-11-04 04:28:04
4,78,10,0.7986542559228837,134.131.142.114,123,42.219.153.170,123,TCP,2016-11-04 04:28:08
11,78,19,0.7942546117119491,242.6.125.100,41458,42.219.153.170,123,UDP,2016-11-04 04:28:19
29,46,5,0.8044738790486008,28.131.80.95,41429,42.219.153.170,123,TCP,2016-11-04 04:28:48
4,42,17,0.7862843556795269,28.131.79.119,40854,42.219.153.170,123,TCP,2016-11-04 04:28:52
8,385,1,0.8009160293731838,27.131.78.16,41498,42.219.153.170,123,TCP,2016-11-04 04:29:00
4,45,1,0.8100801799446344,156.131.130.114,123,42.219.153.170,123,TCP,2016-11-04 04:29:04
28,77,1,0.8396099265664816,42.219.153.170,123,27.131.129.138,5103,TCP,2016-11-04 04:29:32
3,47,1,0.7957105105742812,52.131.116.103,40830,42.219.153.170,123,TCP,2016-11-04 04:29:35
3,38,1,0.7774035923648626,42.219.153.170,123,235.131.79.165,41439,TCP,2016-11-04 04:29:38
11,44,1,0.7784272686112672,28.131.80.18,41448,42.219.153.170,123,TCP,2016-11-04 04:29:49
9,11506,1,0.8339639869518578,134.132.79.129,5089,42.219.153.170,123,TCP,2016-11-04 04:29:58
3,79,3,0.7768695261329412,42.219.153.170,123,28.131.80.54,41515,TCP,2016-11-04 04:30:01
3,43,20,0.8360847006551921,42.219.153.170,123,98.131.129.148,40861,TCP,2016-11-04 04:30:04
3,39,1,0.7570728175342083,28.131.79.61,40901,42.219.153.170,123,TCP,2016-11-04 04:30:07
16,79,5,0.8195575524587184,254.249.42.77,62543,42.219.153.170,123,TCP,2016-11-04 04:30:23
5,44,4,0.7893263949081302,28.131.80.109,41263,42.219.153.170,123,TCP,2016-11-04 04:30:28
11,78,11,0.7722676314879209,244.131.80.100,123,42.219.153.170,123,TCP,2016-11-04 04:30:39
8,50,41,0.8112220962066203,206.131.79.49,5027,42.219.153.170,110,TCP,2016-11-04 04:30:47
