teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
20,4546,57,20.596827205270532,42.219.158.169,22,135.195.202.2,18808,TCP,2016-11-04 04:00:20
22,427,139,0.693454110994935,42.219.158.169,10234,102.195.21.103,53,TCP,2016-11-04 04:00:42
19,4505,120,6.323388811200857,42.219.158.169,22,234.195.202.110,7306,TCP,2016-11-04 04:01:01
4,47,16,19.85759907960892,42.219.158.169,22,102.195.202.143,9388,TCP,2016-11-04 04:01:05
17,4434,6,20.662084199488163,102.195.202.74,61055,42.219.158.169,44358,TCP,2016-11-04 04:01:22
15,3066,3,0.6631115593481809,102.195.202.37,19425,42.219.158.169,22,TCP,2016-11-04 04:01:37
4,4526,32,20.745166953653094,42.219.158.169,22,137.195.5.116,64797,TCP,2016-11-04 04:01:41
18,4531,70,20.94581561163068,42.219.158.169,42104,77.195.202.30,123,TCP,2016-11-04 04:01:59
7,32,15,20.16076816990972,42.219.158.169,22,102.99.219.54,123,TCP,2016-11-04 04:02:06
25,4539,269,20.666458826512102,42.219.158.169,22,43.195.202.18,50523,TCP,2016-11-04 04:02:31
5,2381,83,15.203827578574419,102.8.202.116,57170,42.219.158.169,22,TCP,2016-11-04 04:02:36
4,4457,7,20.84700042754412,42.219.158.169,22,102.195.202.82,0,TCP,2016-11-04 04:02:40
17,33,470,21.071676403284076,102.195.72.169,41437,42.219.158.169,22,TCP,2016-11-04 04:02:57
7,3270,9,21.40229137614369,102.8.202.123,61227,42.219.158.169,445,TCP,2016-11-04 04:03:04
8,4458,10,20.39664237946272,102.195.202.115,38203,42.219.158.169,22,TCP,2016-11-04 04:03:12
16,56,16,22.61877846345305,102.195.202.94,56314,42.219.158.169,53961,TCP,2016-11-04 04:03:28
6,479,18,21.48639510199428,102.195.202.56,19952,42.219.158.169,22,TCP,2016-11-04 04:03:34
23,3728,41,0.7523363709915429,81.8.148.64,123,42.219.158.169,22,TCP,2016-11-04 04:03:57
16,42,72,0.7194491657428443,42.219.158.169,22,102.118.202.32,18247,UDP,2016-11-04 04:04:13
16,4530,32,8.271278377622366,42.219.158.169,51922,102.195.21.72,53,TCP,2016-11-04 04:04:29
14,547,119,19.421840250492092,42.219.158.169,5065,212.195.202.16,25713,TCP,2016-11-04 04:04:43
5,3212,2,20.79910536110401,102.195.72.62,41693,42.219.158.169,22,TCP,2016-11-04 04:04:48
7,3882,19,19.16963319852948,42.219.158.169,22,102.195.56.78,23565,TCP,2016-11-04 04:04:55
14,57,45,20.871503747999668,102.195.202.62,4605,42.219.158.169,22,TCP,2016-11-04 04:05:09
5,80,12,0.6527134951902553,42.219.158.169,60298,102.195.132.41,123,TCP,2016-11-04 04:05:14
13,4073,401,20.883827079087496,42.219.158.169,22,102.203.202.67,41197,TCP,2016-11-04 04:05:27
5,4527,139,14.564005583524704,42.219.158.169,110,135.251.202.99,123,TCP,2016-11-04 04:05:32
4,3527,93,20.27688848599791,42.219.158.169,37531,102.195.202.82,56074,TCP,2016-11-04 04:05:36
21,4606,51,22.538415145128965,42.219.158.169,22,89.195.51.146,18945,TCP,2016-11-04 04:05:57
18,2543,328,21.204936873167753,42.219.158.169,22,102.202.202.30,38393,TCP,2016-11-04 04:06:15
5,4510,626,0.7227068091742694,102.195.209.143,60824,42.219.158.169,22,TCP,2016-11-04 04:06:20
5,4115,38,106.76012340188026,42.219.158.169,54519,102.195.202.43,9967,TCP,2016-11-04 04:06:25
19,4465,170,19.683570060878992,42.219.158.169,22,102.195.202.104,15072,TCP,2016-11-04 04:06:44
15,4548,539,20.824932564049963,42.219.158.169,22,167.202.83.91,53839,TCP,2016-11-04 04:06:59
5,4485,1,21.309881944209334,102.195.202.85,27324,42.219.158.169,445,TCP,2016-11-04 04:07:04
19,62,785,20.800962042063478,42.219.158.169,22,102.195.5.66,123,UDP,2016-11-04 04:07:23
14,4506,23,14.388558022677898,135.195.46.69,53,42.219.158.169,22,TCP,2016-11-04 04:07:37
3,4522,13,21.008230112493038,102.130.123.64,49804,42.219.158.169,43099,TCP,2016-11-04 04:07:40
16,4554,3,20.80970723927021,42.219.158.169,25,135.195.202.35,50830,TCP,2016-11-04 04:07:56
19,4503,114,0.7765179332345724,216.195.202.143,44307,42.219.158.169,22,TCP,2016-11-04 04:08:15
6,4502,473,0.7571181189268827,42.219.158.169,5061,102.9.202.51,12882,TCP,2016-11-04 04:08:21
13,62,20,0.7014780356548727,102.54.33.66,1080,42.219.158.169,22,TCP,2016-11-04 04:08:34
22,42,11,19.104591216892004,42.219.158.169,22,102.195.202.69,18047,TCP,2016-11-04 04:08:56
15,4499,29,0.7067133891396224,42.219.158.169,49215,102.195.132.82,54501,TCP,2016-11-04 04:09:11
17,3534,5,20.633774209767576,42.219.158.169,22,102.195.202.58,15670,TCP,2016-11-04 04:09:28
6,4489,68,20.70640924572945,42.219.158.169,25,137.131.5.69,5265,TCP,2016-11-04 04:09:34
5,4531,28,24.738271057605747,42.219.158.169,51879,102.195.64.143,52518,UDP,2016-11-04 04:09:39
24,4556,15,21.63847390562296,42.219.158.169,22,102.9.72.112,55285,TCP,2016-11-04 04:10:03
24,4579,62,21.506856456398964,102.75.202.22,57886,42.219.158.169,22,TCP,2016-11-04 04:10:27
3,285480531,32,0.7765807297546417,42.219.158.169,22,102.195.202.70,61601,TCP,2016-11-04 04:10:30
14,4483,4,19.614556431770325,42.219.158.169,22,102.72.202.115,123,TCP,2016-11-04 04:10:44
13,80,10,0.6749427871545777,42.219.158.169,45388,102.195.5.143,53,TCP,2016-11-04 04:10:57
21,4495,10,21.954432863742113,102.195.202.41,54586,42.219.158.169,59470,TCP,2016-11-04 04:11:18
3,4574,1874,21.715620148926973,42.219.158.169,22,102.195.217.76,57888,TCP,2016-11-04 04:11:21
19,128,12,21.354994017630816,42.219.158.169,22,215.195.42.91,9653,UDP,2016-11-04 04:11:40
117,2575,62,12.52187018841505,42.219.158.169,48696,102.195.121.114,44482,TCP,2016-11-04 04:13:37
17,33467464,7,21.903646621853113,42.219.158.169,25,216.195.60.84,48182,TCP,2016-11-04 04:13:54
13,4593,10,20.291278101503853,42.219.158.169,52806,102.195.217.14,19968,TCP,2016-11-04 04:14:07
23,3610,26,0.650154473609291,42.219.158.169,25,102.195.124.56,51403,TCP,2016-11-04 04:14:30
15,2569,40,21.566373020410534,42.219.158.169,10266,193.188.202.89,34345,TCP,2016-11-04 04:14:45
14,359,79,20.251929447054863,42.219.158.169,22,135.139.202.62,41341,TCP,2016-11-04 04:14:59
16,105,55,20.476659514009953,42.219.158.169,1708,102.195.202.143,59258,TCP,2016-11-04 04:15:15
5,4411,218,20.713833265006546,42.219.158.169,43090,102.195.20.7,47613,TCP,2016-11-04 04:15:20
17,3025,7140,20.435682713985447,42.219.158.169,22,137.195.202.115,0,TCP,2016-11-04 04:15:37
184,4515,29,21.479710780084133,42.219.158.169,42882,102.195.202.143,123,TCP,2016-11-04 04:18:41
16,4492,2,21.374449275434014,42.219.158.169,47592,102.8.202.116,59650,TCP,2016-11-04 04:18:57
6,4463,255,19.17572522163391,42.219.158.169,22,102.195.202.55,33041,TCP,2016-11-04 04:19:03
18,220,153,273.5678783655166,102.195.202.70,0,42.219.158.169,53311,TCP,2016-11-04 04:19:21
13,4496,14,19.429672658443447,102.195.202.10,63189,42.219.158.169,22,TCP,2016-11-04 04:19:34
22,80,22,19.56455992162228,42.219.158.169,22,102.195.207.63,123,TCP,2016-11-04 04:19:56
5,4547,104,11.07525473088026,42.219.158.169,22,91.195.202.33,42322,TCP,2016-11-04 04:20:01
12,4490,17,19.295165386050943,42.219.158.169,25,102.195.91.78,39807,TCP,2016-11-04 04:20:13
