teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
3,46,1,0.8398045704234391,42.219.153.193,80,174.109.2.233,28315,TCP,2016-11-04 04:00:03
3,63,12,0.7984542029444128,42.219.153.193,80,175.108.2.64,28279,TCP,2016-11-04 04:00:06
4,47,7,4.601409176364541,174.108.2.64,28248,42.219.153.193,80,TCP,2016-11-04 04:00:10
3,338,11,0.8334842654876411,42.219.153.193,80,174.108.2.64,28270,TCP,2016-11-04 04:00:13
3,115,8,0.8235293689649552,42.219.153.193,80,174.108.2.64,28315,TCP,2016-11-04 04:00:16
4,707,2,0.8584362049587071,174.108.42.64,28742,42.219.153.193,80,TCP,2016-11-04 04:00:20
3,48,6,0.8242610371671617,42.219.153.193,23,174.108.2.64,29665,TCP,2016-11-04 04:00:23
4,47,6,0.7896610843017697,175.108.2.102,28315,42.219.153.193,80,TCP,2016-11-04 04:00:27
4,125,1,0.8237846118863672,183.108.2.64,41435,42.219.153.193,80,TCP,2016-11-04 04:00:31
4,46,1,0.8140509822405875,174.108.2.64,28002,42.219.153.193,80,TCP,2016-11-04 04:00:35
4,570,1,0.8130731144919991,174.108.234.64,28254,42.219.153.193,80,TCP,2016-11-04 04:00:39
3,49,1,0.8221014454029499,251.108.2.64,27991,42.219.153.193,80,TCP,2016-11-04 04:00:42
3,952,1,0.8408048353157938,42.219.153.193,80,174.108.71.64,50082,TCP,2016-11-04 04:00:45
4,108,4,0.8248793673701584,174.108.2.85,53,42.219.153.193,80,TCP,2016-11-04 04:00:49
3,270,1,0.8382286566775292,174.108.2.206,27976,42.219.153.193,80,TCP,2016-11-04 04:00:52
3,48,1,0.8278423827141523,42.219.153.193,80,174.108.2.64,28281,TCP,2016-11-04 04:00:55
3,47,1,0.7672191462479532,133.108.2.64,28310,42.219.153.193,80,TCP,2016-11-04 04:00:58
10,47,6,0.8124529249034822,174.108.103.64,28230,42.219.153.193,80,TCP,2016-11-04 04:01:08
4,89,1,25.56111744046211,174.108.2.64,28285,42.219.153.193,80,TCP,2016-11-04 04:01:12
4,2275,1,22.62111385166645,174.108.2.247,27513,42.219.153.193,80,TCP,2016-11-04 04:01:16
3,49,2,2.4615931604057546,174.108.2.243,28050,42.219.153.193,80,TCP,2016-11-04 04:01:19
3,47,8,0.7961157721001655,174.108.135.64,44553,42.219.153.193,80,TCP,2016-11-04 04:01:22
4,1385,8,9.791992714628575,174.108.2.141,31909,42.219.153.193,80,TCP,2016-11-04 04:01:26
3,23123,2,0.8266611658036709,174.108.2.64,28247,42.219.153.193,80,TCP,2016-11-04 04:01:29
4,1162,3,0.8261692738160491,42.219.153.193,80,174.108.2.59,25708,TCP,2016-11-04 04:01:33
4,136,4,0.8275775047950447,174.108.3.64,28301,42.219.153.193,80,TCP,2016-11-04 04:01:37
15,131,9,0.8254689616151154,174.108.2.64,27983,42.219.153.193,80,TCP,2016-11-04 04:01:52
3,98,3,0.8193816714920104,174.108.2.64,28278,42.219.153.193,80,TCP,2016-11-04 04:01:55
4,49,1,13.921681869775055,101.108.2.171,28235,42.219.153.193,80,TCP,2016-11-04 04:01:59
4,117,3,0.7962848071474582,174.108.2.64,33486,42.219.153.193,80,TCP,2016-11-04 04:02:03
4,331,8,0.8379125611390918,174.128.2.159,28229,42.219.153.193,80,TCP,2016-11-04 04:02:07
4,50,4,0.8098748868796974,174.108.2.64,28313,42.219.153.193,80,TCP,2016-11-04 04:02:11
4,46,1,0.7972697743680328,42.219.153.193,80,174.108.2.64,28227,TCP,2016-11-04 04:02:15
4,147,13,0.7885300708003342,42.219.153.193,80,174.108.2.64,27888,TCP,2016-11-04 04:02:19
3,74,1,0.8026569213252515,174.108.2.178,27972,42.219.153.193,80,TCP,2016-11-04 04:02:22
4,41,1,0.8408926490228623,42.219.153.193,80,174.108.2.185,28318,TCP,2016-11-04 04:02:26
4,784,16,0.8248637316282839,174.108.2.64,27945,42.219.153.193,80,TCP,2016-11-04 04:02:30
4,44,3,0.8092142133973539,174.108.236.64,30123,42.219.153.193,80,TCP,2016-11-04 04:02:34
4,51,1,90.27418121695518,174.108.2.64,28310,42.219.153.193,80,TCP,2016-11-04 04:02:38
4,11306,1,17.51282063126564,42.219.153.193,80,174.108.2.64,28253,TCP,2016-11-04 04:02:42
14,48,1,29.17382101714611,174.108.2.64,6985,42.219.153.193,80,TCP,2016-11-04 04:02:56
4,245,8,2.625795664731413,174.108.2.64,28309,42.219.153.193,80,TCP,2016-11-04 04:03:00
4,45,22,0.8375322322826833,174.108.2.64,28313,42.219.153.193,80,TCP,2016-11-04 04:03:04
4,48,1,0.8359254696406424,174.108.71.185,7018,42.219.153.193,80,TCP,2016-11-04 04:03:08
4,1164,10,0.8305744116660208,174.108.2.64,55821,42.219.153.193,80,TCP,2016-11-04 04:03:12
11,58,5,0.8249174002557993,174.108.2.65,28236,42.219.153.193,80,TCP,2016-11-04 04:03:23
3,47,2,0.8382739580702037,174.108.2.154,27972,42.219.153.193,80,TCP,2016-11-04 04:03:26
