teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
3,1000,8,0.8026635982096195,231.107.222.204,25,42.219.156.194,0,TCP,2016-11-04 04:00:03
3,992,8,0.8023134421091527,231.8.30.204,25,42.219.156.194,41582,TCP,2016-11-04 04:00:06
4,968,8,0.8071530845481902,165.181.115.204,38473,42.219.156.194,0,TCP,2016-11-04 04:00:10
3,983,8,0.8212752020917833,50.67.97.3,25,42.219.156.194,0,TCP,2016-11-04 04:00:13
3,1825,7,0.8083347240462899,42.219.156.194,41093,169.55.4.175,25,TCP,2016-11-04 04:00:16
9,964,7,0.8113891873508692,142.176.149.204,25,42.219.156.194,49937,TCP,2016-11-04 04:00:25
11,970,8,0.7962843000423163,42.219.156.194,0,114.201.97.204,771,TCP,2016-11-04 04:00:36
4,970,8,0.8696062099188566,188.202.97.204,771,42.219.156.194,41278,TCP,2016-11-04 04:00:40
23,42,7,0.7947625620290637,165.223.27.162,25,42.219.156.194,42006,TCP,2016-11-04 04:01:03
29,994,8,0.8181821142788976,105.30.36.204,771,42.219.156.194,25,TCP,2016-11-04 04:01:32
4,33,8,0.8095556641928852,232.104.97.93,771,42.219.156.194,41581,TCP,2016-11-04 04:01:36
3,949,5,0.7753571695648134,42.219.156.194,38692,231.10.162.204,25,TCP,2016-11-04 04:01:39
4,1971,9,0.787128939293325,231.62.120.96,25,42.219.156.194,69,TCP,2016-11-04 04:01:43
3,743,7,0.7812658741604537,210.10.8.163,25,42.219.156.194,0,TCP,2016-11-04 04:01:46
4,952,8,0.7679516596253961,122.57.148.204,25,42.219.156.194,0,TCP,2016-11-04 04:01:50
4,1823,8,0.815796438138932,40.7.38.204,25,42.219.156.194,0,TCP,2016-11-04 04:01:54
4,1490,8,0.797493661288172,232.64.28.204,771,42.219.156.194,56178,TCP,2016-11-04 04:01:58
3,959,8,0.8033283285330981,105.82.201.123,25,42.219.156.194,0,TCP,2016-11-04 04:02:01
3,952,8,0.8145228435751051,194.43.2.204,771,42.219.156.194,49400,TCP,2016-11-04 04:02:04
3,997,8,0.7911641439422965,130.202.160.204,771,42.219.156.194,80,TCP,2016-11-04 04:02:07
3,982,8,0.8489543530158699,231.189.97.101,25,42.219.156.194,0,TCP,2016-11-04 04:02:10
4,1805,8,0.8276803626213223,231.57.147.61,25,42.219.156.194,0,TCP,2016-11-04 04:02:14
61,4756,9,0.8118872491177171,144.62.203.251,25,42.219.156.194,42536,TCP,2016-11-04 04:03:15
4,42,8,0.8321857382543385,158.45.200.163,771,42.219.156.194,55828,TCP,2016-11-04 04:03:19
20,985,8,0.7896038659382612,231.98.47.204,771,42.219.156.194,34033,TCP,2016-11-04 04:03:39
3,987,8,0.7716874186880887,112.28.130.204,771,42.219.156.194,25,TCP,2016-11-04 04:03:42
32,956,8,0.811832312727347,135.84.104.204,25,42.219.156.194,33238,TCP,2016-11-04 04:04:14
