teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
16,62,1,0.2747271687258035,175.210.39.165,58179,42.219.155.25,53,UDP,2016-11-04 04:00:16
132,62,1,0.2350073978304863,77.23.234.165,50594,42.219.155.25,53,UDP,2016-11-04 04:02:28
4,61,1,0.2633053860627115,175.210.224.165,58163,42.219.155.25,53,UDP,2016-11-04 04:02:32
50,61,1,0.2783786004292779,175.5.133.165,39286,42.219.155.25,53,UDP,2016-11-04 04:03:22
4,61,1,0.2580648770090193,175.210.133.165,52582,42.219.155.25,53,UDP,2016-11-04 04:03:26
55,62,1,0.25490163965150714,175.210.133.165,53737,42.219.155.25,5084,UDP,2016-11-04 04:04:21
4,43,1,0.26867710857186466,175.210.132.165,5062,42.219.155.25,53,UDP,2016-11-04 04:04:25
18,60,1,0.2719281596364453,175.84.39.165,54086,42.219.155.25,53,UDP,2016-11-04 04:04:43
58,16493,1,0.2621965161524713,175.210.20.165,53352,42.219.155.25,53,UDP,2016-11-04 04:05:41
52,3923,1,0.2735198147711344,175.207.133.165,5033,42.219.155.25,53,UDP,2016-11-04 04:06:33
40,60,1,0.28701307968003675,175.210.229.165,5096,42.219.155.25,53,UDP,2016-11-04 04:07:13
4,60,1,0.2611920887720771,175.210.5.165,5108,42.219.155.25,53,UDP,2016-11-04 04:07:17
4,53,1,0.2633742678444833,175.210.229.164,52611,42.219.155.25,53,UDP,2016-11-04 04:07:21
4,61,1,0.2666384613839909,175.90.240.43,58211,42.219.155.25,53,UDP,2016-11-04 04:07:25
4,61,1,0.24814108293503526,175.9.133.165,58145,42.219.155.25,53,UDP,2016-11-04 04:07:29
78,60,1,0.23230535147013145,175.210.133.165,65445,42.219.155.25,5087,UDP,2016-11-04 04:08:47
46,7197,1,0.2779844318283722,175.164.133.130,58200,42.219.155.25,53,UDP,2016-11-04 04:09:33
4,61,1,0.2588426283909939,175.210.104.115,48387,42.219.155.25,5031,UDP,2016-11-04 04:09:37
165,22784,1,0.2495208526379429,175.210.133.165,5087,42.219.155.25,53,UDP,2016-11-04 04:12:22
52,61,1,0.2707791650318541,175.85.200.165,5093,42.219.155.25,53,UDP,2016-11-04 04:13:14
85,60,2,0.2604353822534904,175.49.133.165,5113,42.219.155.25,53,UDP,2016-11-04 04:14:39
67,41,1,0.24140119075309485,175.210.133.165,41085,42.219.155.25,53,UDP,2016-11-04 04:15:46
23,61,1,0.2293142129201442,175.210.133.75,48036,42.219.155.25,5098,UDP,2016-11-04 04:16:09
4,61,1,0.2659471714287065,175.246.182.165,54175,42.219.155.25,53,UDP,2016-11-04 04:16:13
7,43,1,0.2643552204826847,175.210.58.165,58131,42.219.155.25,5116,UDP,2016-11-04 04:16:20
43,569,1,0.24740176589693874,175.210.133.165,50335,42.219.155.25,53,UDP,2016-11-04 04:17:03
26,61,1,0.2780891067814082,175.65.133.165,59204,42.219.155.25,53,UDP,2016-11-04 04:17:29
199,29,1,0.2641474341508001,175.155.133.165,36437,42.219.155.25,5069,UDP,2016-11-04 04:20:48
4,62,1,348.7400627732277,175.210.211.165,58203,42.219.155.25,53,UDP,2016-11-04 04:20:52
4,61,1,0.26481721439631656,42.219.155.25,53,175.232.133.165,5068,UDP,2016-11-04 04:20:56
22,12882,42,0.26241087372181937,175.210.192.165,5123,42.219.155.25,22,UDP,2016-11-04 04:21:18
4,61,1,0.2953990985406563,175.210.177.99,5093,42.219.155.25,53,UDP,2016-11-04 04:21:22
48,24825,1,0.229576914513018,175.19.133.165,58136,42.219.155.25,5112,UDP,2016-11-04 04:22:10
4,60,2,0.2665212778374553,175.210.224.165,41814,42.219.155.25,53,UDP,2016-11-04 04:22:14
48,61,2,0.29719659610418603,175.146.133.165,58177,42.219.155.25,53,UDP,2016-11-04 04:23:02
4,61,1,0.2402383986627683,212.210.254.165,5094,42.219.155.25,53,UDP,2016-11-04 04:23:06
4,30954,1,0.2465753535507247,175.210.133.165,58214,42.219.155.25,53,UDP,2016-11-04 04:23:10
4,357,2,0.2220136526157148,175.78.10.197,5101,42.219.155.25,5034,UDP,2016-11-04 04:23:14
25,61,1,0.2441356073250063,175.151.133.165,55783,42.219.155.25,53,UDP,2016-11-04 04:23:39
74,60,1,0.26193789253011346,175.129.147.211,5095,42.219.155.25,53,UDP,2016-11-04 04:24:53
69,61,1,0.2794290898600593,175.91.111.165,53772,42.219.155.25,5098,UDP,2016-11-04 04:26:02
156,288,1,0.2416410726145841,175.138.162.165,41730,42.219.155.25,5059,UDP,2016-11-04 04:28:38
58,60,1,0.8931379169225693,175.210.10.165,58139,42.219.155.25,53,UDP,2016-11-04 04:29:36
41,68,1,0.2586724734865129,175.83.133.165,51642,42.219.155.25,53,UDP,2016-11-04 04:30:17
25,589,1,0.2809688301058486,175.48.153.165,58166,42.219.155.25,53,UDP,2016-11-04 04:30:42
38,62,1,0.26255320123163983,175.210.171.165,53805,42.219.155.25,53,UDP,2016-11-04 04:31:20
62,61,1,0.2550995796918869,10.210.133.217,51671,42.219.155.25,5088,UDP,2016-11-04 04:32:22
54,61,1,0.2818612717674114,175.135.230.165,53770,42.219.155.25,53,UDP,2016-11-04 04:33:16
68,61,1,0.2801402836921625,175.210.133.165,53801,42.219.155.25,53,UDP,2016-11-04 04:34:24
46,22467,1,0.21293209679424766,175.43.12.165,5026,42.219.155.25,53,UDP,2016-11-04 04:35:10
5,61,111,0.2328129425877705,175.210.114.165,58170,42.219.155.25,22,UDP,2016-11-04 04:35:15
66,93,1,0.2542777312919497,175.84.133.165,58128,42.219.155.25,53,UDP,2016-11-04 04:36:21
5,62,1,0.2829049575375393,175.210.203.165,53784,42.219.155.25,53,UDP,2016-11-04 04:36:26
20,31,1,0.2664261956233531,175.55.192.165,5070,42.219.155.25,53,UDP,2016-11-04 04:36:46
33,61,1,2.5525527787394817,177.192.17.165,58142,42.219.155.25,53,UDP,2016-11-04 04:37:19
4,18617,1,0.2475061239092611,175.210.155.165,58206,42.219.155.25,53,UDP,2016-11-04 04:37:23
72,62,1,0.2862856373540126,175.210.3.165,58192,42.219.155.25,53,UDP,2016-11-04 04:38:35
38,47075,2,0.27233711880398914,175.210.133.165,41813,42.219.155.25,3382,UDP,2016-11-04 04:39:13
36,61,4,0.2368235948961228,175.144.13.165,58216,42.219.155.25,53,UDP,2016-11-04 04:39:49
4,61,1,0.2693535868311301,175.47.35.165,5033,42.219.155.25,53,UDP,2016-11-04 04:39:53
66,61,1,0.227520412998274,175.210.64.165,5090,42.219.155.25,53,UDP,2016-11-04 04:40:59
86,61,1,0.3022656402317807,60.31.133.165,58132,42.219.155.25,53,UDP,2016-11-04 04:42:25
4,95,1,0.3069312188308686,142.11.133.165,38083,42.219.155.25,53,UDP,2016-11-04 04:42:29
15,61,1,0.2615255526616238,175.82.12.165,58202,42.219.155.25,53,UDP,2016-11-04 04:42:44
4,24831,1,0.26607470837188885,175.147.31.165,41037,42.219.155.25,5030,UDP,2016-11-04 04:42:48
4,61,1,0.25898852676618844,175.210.180.165,50392,42.219.155.25,53,UDP,2016-11-04 04:42:52
68,60,1,0.2532198254484683,175.159.154.165,5113,42.219.155.25,53,UDP,2016-11-04 04:44:00
78,61,1,0.2700216344674118,175.172.133.165,5098,42.219.155.25,53,UDP,2016-11-04 04:45:18
50,17336,1,7.010080844163895,175.195.133.165,5048,42.219.155.25,53,UDP,2016-11-04 04:46:08
46,3286,1,0.2560198064893484,175.210.133.52,58220,42.219.155.25,53,UDP,2016-11-04 04:46:54
37,96,1,0.2597626861534081,175.115.229.155,48370,42.219.155.25,53,UDP,2016-11-04 04:47:31
22,61,18,0.26909071620320896,175.108.133.165,36996,42.219.155.25,53,UDP,2016-11-04 04:47:53
4,78,1,0.2711167068919167,175.48.133.165,5040,42.219.155.25,53,UDP,2016-11-04 04:47:57
44,14387,1,1.9720761151984332,175.168.230.165,58209,42.219.155.25,53,UDP,2016-11-04 04:48:41
42,61,1,0.2590571761247702,175.210.133.165,5078,42.219.155.25,5026,UDP,2016-11-04 04:49:23
24,60,1,0.2966434711706825,175.105.229.165,5120,42.219.155.25,53,UDP,2016-11-04 04:49:47
22,23522,1,0.2968465245212428,147.210.133.165,5089,42.219.155.25,53,UDP,2016-11-04 04:50:09
25,727,1,0.2353395939571783,221.210.136.165,53780,42.219.155.25,53,UDP,2016-11-04 04:50:34
4,61,1,0.21287986496463415,175.16.251.165,5092,42.219.155.25,53,UDP,2016-11-04 04:50:38
17,61,1,0.2410534856608137,175.210.224.164,5042,42.219.155.25,53,UDP,2016-11-04 04:50:55
76,61,1,0.2825205507106148,175.6.40.165,5027,42.219.155.25,53,UDP,2016-11-04 04:52:11
1,603,1,0.2777231459040195,175.210.204.165,58189,42.219.155.25,53,UDP,2016-11-04 04:52:12
29,61,1,0.2709810351370834,175.210.133.165,58136,42.219.155.25,53,UDP,2016-11-04 04:52:41
30,19703,7,0.25776509335264564,175.195.230.165,5065,42.219.155.25,53,UDP,2016-11-04 04:53:11
20,22931,1,0.2640937866526656,175.95.155.165,5025,42.219.155.25,53,UDP,2016-11-04 04:53:31
4,61,1,0.281781297060661,175.9.182.165,5088,42.219.155.25,123,UDP,2016-11-04 04:53:35
4,79,1,0.27741603035246953,175.117.133.165,5085,42.219.155.25,53,UDP,2016-11-04 04:53:39
