teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
50,3854,17,0.8305789756122977,42.219.154.184,80,136.77.166.69,80,TCP,2016-11-04 04:00:50
6,2785,9,0.8573352796956897,42.219.154.184,80,180.111.224.126,46146,TCP,2016-11-04 04:00:56
3,14058,3,2.539312094449997,42.219.154.184,80,136.240.66.110,5093,TCP,2016-11-04 04:00:59
3,29833,16,0.818110105348751,42.219.154.184,80,136.88.4.143,53,TCP,2016-11-04 04:01:02
4,28285,24,0.8371684688609093,42.219.154.184,80,135.104.76.214,3850,TCP,2016-11-04 04:01:06
3,22270,3,0.8500881555955857,42.219.154.184,40414,135.86.136.56,32336,TCP,2016-11-04 04:01:09
6,4543,15,0.8602402315009385,42.219.154.184,25,136.68.4.147,37757,TCP,2016-11-04 04:01:15
3,3770,1,0.8061239146627486,42.219.154.184,40331,35.87.84.94,53,TCP,2016-11-04 04:01:18
3,4587,13,0.8257182037923485,42.219.154.184,59632,137.79.156.246,53,TCP,2016-11-04 04:01:21
3,3041,52,0.8358642789535224,42.219.154.184,59721,190.50.213.171,18960,TCP,2016-11-04 04:01:24
3,890,1,0.8762792909983546,42.219.154.184,48584,41.217.55.133,14792,TCP,2016-11-04 04:01:27
3,1323,15,0.8413976412266493,42.219.154.184,80,137.180.212.215,53,TCP,2016-11-04 04:01:30
18,29408,35,0.8303800213616341,42.219.154.184,47951,136.112.172.185,53,TCP,2016-11-04 04:01:48
3,1250,1,0.8433674066327512,42.219.154.184,60666,136.94.111.95,5092,TCP,2016-11-04 04:01:51
3,3362,2,0.8273755924310535,42.219.154.184,59478,133.173.29.91,49971,TCP,2016-11-04 04:01:54
3,13958,1,0.8912297647912055,42.219.154.184,80,179.233.95.81,22353,TCP,2016-11-04 04:01:57
4,4257,14,0.7868298317771405,42.219.154.184,25,135.80.128.159,53,TCP,2016-11-04 04:02:01
3,3529,3,0.8371610313188285,42.219.154.184,5085,166.88.127.143,36484,TCP,2016-11-04 04:02:04
3,3486,59,16.404579531401392,42.219.154.184,80,134.71.213.143,8459,TCP,2016-11-04 04:02:07
3,3653,26,19.246456246823076,42.219.154.184,59667,136.232.213.29,40234,UDP,2016-11-04 04:02:10
4,4574,2,3.4204546082764864,42.219.154.184,60659,40.131.155.61,38949,TCP,2016-11-04 04:02:14
3,526,17,0.8490904262289405,42.219.154.184,40412,139.125.212.164,7002,TCP,2016-11-04 04:02:17
3,3376,8,0.8573743267916143,42.219.154.184,80,136.235.255.57,19463,TCP,2016-11-04 04:02:20
2,4112,1,5.763437904417515,42.219.154.184,80,102.188.185.102,24768,TCP,2016-11-04 04:02:22
5,3481,1,0.837897939607501,42.219.154.184,80,136.202.152.169,34466,TCP,2016-11-04 04:02:27
10,835,5,0.8112722150981426,42.219.154.184,59018,137.28.151.203,33877,TCP,2016-11-04 04:02:37
17,4111,1,0.8444569220300764,42.219.154.184,5076,149.90.93.143,53,TCP,2016-11-04 04:02:54
3,3298,11,0.8202907419763505,42.219.154.184,58601,135.86.230.175,48708,TCP,2016-11-04 04:02:57
15,26740,11,0.8363893018104136,42.219.154.184,58986,135.9.212.43,3709,TCP,2016-11-04 04:03:12
4,3773,1,2.533712132368237,42.219.154.184,59639,137.89.214.145,80,TCP,2016-11-04 04:03:16
18,33113,1,11.629672106355429,42.219.154.184,80,83.99.113.23,53,TCP,2016-11-04 04:03:34
14,3927,1,0.8336513566318899,42.219.154.184,40353,134.4.112.122,17938,TCP,2016-11-04 04:03:48
3,4064,1,0.8586116633377969,42.219.154.184,80,59.177.212.143,8521,TCP,2016-11-04 04:03:51
16,278,1,0.8234087624587119,42.219.154.184,60825,137.96.107.52,5195,TCP,2016-11-04 04:04:07
25,4018,4,3.6603599656373262,42.219.154.184,80,136.251.166.58,57623,TCP,2016-11-04 04:04:32
10,22170,13,0.8498774534091353,42.219.154.184,80,100.201.147.100,5544,TCP,2016-11-04 04:04:42
3,25383,1,0.8518260894343257,42.219.154.184,80,41.79.4.79,22020,TCP,2016-11-04 04:04:45
3,3878,1,0.8323463215492666,42.219.154.184,59710,134.75.4.72,1272,TCP,2016-11-04 04:04:48
3,3431,26,0.8078723286744207,42.219.154.184,40327,134.232.4.143,51534,TCP,2016-11-04 04:04:51
3,3131,4,0.8382261211518198,42.219.154.184,80,135.204.212.101,55458,TCP,2016-11-04 04:04:54
14,3291,1,0.8549862841609865,42.219.154.184,40188,134.253.229.58,80,TCP,2016-11-04 04:05:08
17,21804,56,0.8691028235480189,42.219.154.184,58744,135.102.212.105,80,TCP,2016-11-04 04:05:25
3,4972,23,2.7882542344741523,42.219.154.184,59653,135.3.4.152,443,TCP,2016-11-04 04:05:28
3,3238,3,0.8130686350632459,42.219.154.184,40364,136.118.135.250,1180,TCP,2016-11-04 04:05:31
3,3708,11,6.809658693149687,42.219.154.184,80,137.97.4.144,12902,TCP,2016-11-04 04:05:34
3,20508,11,0.8523898213170469,42.219.154.184,5049,57.207.232.196,40858,TCP,2016-11-04 04:05:37
3,25537,1,12.658234141767025,42.219.154.184,80,136.89.90.202,39278,TCP,2016-11-04 04:05:40
3,4465,10,0.7950674167368561,42.219.154.184,59676,136.174.127.202,53,TCP,2016-11-04 04:05:43
9,4112,6,0.8678670928347856,42.219.154.184,58801,41.81.4.47,80,UDP,2016-11-04 04:05:52
3,30835,1,0.8678091983310878,42.219.154.184,80,135.196.212.143,3378,TCP,2016-11-04 04:05:55
12,3402,9,0.8540576056111604,42.219.154.184,58733,134.239.228.165,22342,TCP,2016-11-04 04:06:07
2,3983,1,8.919676534831524,42.219.154.184,80,139.126.18.131,50190,TCP,2016-11-04 04:06:09
13,315,6,0.8172330670058727,42.219.154.184,59719,136.4.213.196,3222,TCP,2016-11-04 04:06:22
13,3327,6,21.85607475042343,42.219.154.184,40406,137.64.149.169,34022,TCP,2016-11-04 04:06:35
3,5756,18,0.8130192768294364,42.219.154.184,80,135.88.4.86,30302,TCP,2016-11-04 04:06:38
3,2630,4,0.8588289578910917,42.219.154.184,40334,41.202.75.194,52723,TCP,2016-11-04 04:06:41
3,3424,7,2.650582625996321,42.219.154.184,58948,135.104.228.143,61658,TCP,2016-11-04 04:06:44
18,3798,1,0.8115641386248171,42.219.154.184,40412,49.13.22.48,53,TCP,2016-11-04 04:07:02
3,236,19,0.845577877946198,42.219.154.184,40344,137.176.196.36,42493,UDP,2016-11-04 04:07:05
3,32200,22,0.812330120941624,42.219.154.184,5109,134.234.122.172,4383,TCP,2016-11-04 04:07:08
42,250,1,13.207008451223373,42.219.154.184,40359,212.93.231.71,10010,TCP,2016-11-04 04:07:50
4,21312,5,5.6432418152689925,42.219.154.184,443,136.103.228.152,41454,TCP,2016-11-04 04:07:54
3,36988,25,14.809721689671278,42.219.154.184,59455,252.41.204.106,51525,TCP,2016-11-04 04:07:57
4,4914,1,0.8575274725444615,42.219.154.184,40216,136.89.4.81,2569,TCP,2016-11-04 04:08:01
3,308,3,0.8417139903176576,42.219.154.184,40335,171.82.174.154,443,TCP,2016-11-04 04:08:04
3,23008,9,0.8531557191163301,42.219.154.184,443,36.130.61.143,45005,TCP,2016-11-04 04:08:07
3,3887,3,2.4762354833073914,42.219.154.184,5120,137.81.155.143,17932,TCP,2016-11-04 04:08:10
3,3428,24,2.5736407460644837,42.219.154.184,80,136.89.214.168,48362,TCP,2016-11-04 04:08:13
3,4641,1,0.8587321853265166,42.219.154.184,59687,134.78.4.232,53591,TCP,2016-11-04 04:08:16
3,3602,1,0.8058920830953866,42.219.154.184,40355,62.84.20.143,35820,TCP,2016-11-04 04:08:19
4,28663,21,0.8720926309470087,42.219.154.184,40399,135.174.108.74,17947,TCP,2016-11-04 04:08:23
3,4118,4,0.8076216496992856,42.219.154.184,60152,34.201.226.67,20340,UDP,2016-11-04 04:08:26
3,516,8,23.087866947054863,42.219.154.184,80,167.121.83.139,50502,TCP,2016-11-04 04:08:29
3,3145,5,0.8066850265022367,42.219.154.184,60161,136.189.4.143,45129,TCP,2016-11-04 04:08:32
3,3589,26,0.8354734699241817,42.219.154.184,58411,138.67.212.208,5102,TCP,2016-11-04 04:08:35
4,4317,28,2.700999019201845,42.219.154.184,80,135.106.228.80,55266,TCP,2016-11-04 04:08:39
10,31187,1,0.8492385854478925,42.219.154.184,53,176.254.77.220,42182,TCP,2016-11-04 04:08:49
3,20999,2,0.8259992245584726,42.219.154.184,60692,136.174.214.254,3637,TCP,2016-11-04 04:08:52
14,27055,4,5.471302407793701,42.219.154.184,443,38.200.4.189,8508,TCP,2016-11-04 04:09:06
8,4510,1,0.8243054088670759,42.219.154.184,5093,134.4.156.85,5972,TCP,2016-11-04 04:09:14
2,4460,1,14.239891022443773,42.219.154.184,80,40.111.210.155,42198,UDP,2016-11-04 04:09:16
10,25137,6,0.8222303346265107,42.219.154.184,58536,227.190.136.198,18922,TCP,2016-11-04 04:09:26
4,4523,6,0.8523151923436671,42.219.154.184,80,170.198.209.154,52475,UDP,2016-11-04 04:09:30
4,4838,9,0.8398269675672054,42.219.154.184,40381,134.84.252.78,35970,TCP,2016-11-04 04:09:34
3,4165,7,0.8420101397205144,42.219.154.184,57523,135.123.52.120,53,TCP,2016-11-04 04:09:37
16,31591,14,0.8665227571036667,42.219.154.184,60144,135.77.47.169,57088,TCP,2016-11-04 04:09:53
2,7425,5,2.690870946273208,42.219.154.184,80,2.201.4.116,49901,TCP,2016-11-04 04:09:55
3,16403,5,0.8365020481869578,42.219.154.184,58959,138.100.214.68,33776,TCP,2016-11-04 04:09:58
