teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
87,141,47,0.7497284982819109,230.180.134.140,0,42.219.152.127,443,UDP,2016-11-04 04:01:27
106,2753,1,0.77272909716703,159.8.140.158,0,42.219.152.127,56564,UDP,2016-11-04 04:03:13
120,633,2,0.7682903213426471,137.124.143.143,0,42.219.152.127,53054,UDP,2016-11-04 04:05:13
15,76,1,0.7699436531402171,129.8.136.143,0,42.219.152.127,53044,UDP,2016-11-04 04:05:28
29,226,23,0.75847910461016,51.8.142.74,0,42.219.152.127,56593,UDP,2016-11-04 04:05:57
91,92,36,0.7789000596385449,59.196.137.157,0,42.219.152.127,43234,UDP,2016-11-04 04:07:28
12,171,7,0.7591026748996228,137.53.141.171,0,42.219.152.127,56571,UDP,2016-11-04 04:07:40
85,268,5,0.7804910175036639,42.39.128.192,6001,42.219.152.127,57848,UDP,2016-11-04 04:09:05
105,200,4,31.660870179533962,137.41.141.143,0,42.219.152.127,22,UDP,2016-11-04 04:10:50
12,8,1,0.759734274353832,229.8.130.134,0,42.219.152.127,58639,UDP,2016-11-04 04:11:02
63,402,4,0.7512417845427991,137.235.58.177,0,42.219.152.127,58763,UDP,2016-11-04 04:12:05
55,1586,1,5.760527120903134,33.25.131.172,0,42.219.152.127,43273,UDP,2016-11-04 04:13:00
69,2603,3,0.7520524766296148,138.154.134.128,63930,42.219.152.127,57091,UDP,2016-11-04 04:14:09
7,52,1,0.7767759652342647,161.8.143.0,50387,42.219.152.127,53200,UDP,2016-11-04 04:14:16
17,122,8,0.7659211261197925,245.40.137.239,53,42.219.152.127,57402,UDP,2016-11-04 04:14:33
64,137,4,0.7628484070301056,140.39.135.231,25,42.219.152.127,49563,UDP,2016-11-04 04:15:37
13,192,4,0.7365662462543696,172.43.149.134,0,42.219.152.127,8045,UDP,2016-11-04 04:15:50
86,217,102,0.7680468263570219,95.8.132.88,0,42.219.152.127,57028,UDP,2016-11-04 04:17:16
58,93,3,0.7529518275987357,137.42.72.140,0,42.219.152.127,80,UDP,2016-11-04 04:18:14
20,175,1,0.7607901517767459,104.8.130.143,0,42.219.152.127,43317,UDP,2016-11-04 04:18:34
92,70,30,0.757205763598904,225.8.123.143,0,42.219.152.127,55121,UDP,2016-11-04 04:20:06
83,1255,2,0.769648517947644,90.41.141.206,5977,42.219.152.127,22,UDP,2016-11-04 04:21:29
3,130,4,0.7541081118397415,84.60.72.180,0,42.219.152.127,56009,UDP,2016-11-04 04:21:32
71,59,3,0.7747376561164856,37.39.40.143,0,42.219.152.127,58714,UDP,2016-11-04 04:22:43
14,73,4,23.613887786865234,41.40.72.201,0,42.219.152.127,5070,UDP,2016-11-04 04:22:57
128,487,18,0.7593101654201746,48.39.133.38,0,42.219.152.127,56556,UDP,2016-11-04 04:25:05
42,1699,47,0.7462350509595126,82.8.132.65,0,42.219.152.127,56557,UDP,2016-11-04 04:25:47
3,158,1,0.7527967379428446,43.8.134.127,53,42.219.152.127,42492,UDP,2016-11-04 04:25:50
5,6,14,0.7484157721046358,161.38.130.93,0,42.219.152.127,56622,UDP,2016-11-04 04:25:55
2,137,12,0.7539594455156475,137.76.130.159,0,42.219.152.127,36998,UDP,2016-11-04 04:25:57
56,113,9,5.829889638349414,22.8.72.83,0,42.219.152.127,52787,UDP,2016-11-04 04:26:53
27,84,1,4.749093406833708,189.41.132.137,0,42.219.152.127,58736,UDP,2016-11-04 04:27:20
104,146,20,0.7803746368736029,175.8.147.185,80,42.219.152.127,43320,UDP,2016-11-04 04:29:04
2,84,1,193.00385999679563,141.40.128.146,0,42.219.152.127,443,UDP,2016-11-04 04:29:06
3,192,13,0.7498611907940358,66.37.137.65,0,42.219.152.127,57143,UDP,2016-11-04 04:29:09
