teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
3,15351,134,18.485471282154318,42.219.157.28,443,89.64.170.244,34394,TCP,2016-11-04 04:00:03
3,104725,57,18.919396419078108,42.219.157.28,443,89.64.170.244,34337,TCP,2016-11-04 04:00:06
3,83141,63,29.958744049072266,42.219.157.28,443,89.64.170.244,21174,TCP,2016-11-04 04:00:09
14,5167,81,7.446175038814545,89.64.170.137,36054,42.219.157.28,443,TCP,2016-11-04 04:00:23
3,41,100,19.004550866782665,42.219.157.28,443,89.64.170.244,34283,TCP,2016-11-04 04:00:26
3,54620,83,18.845950014889237,42.219.157.28,443,93.64.170.244,33599,TCP,2016-11-04 04:00:29
3,46956,116,18.75673196464777,89.64.170.244,34190,42.219.157.28,443,TCP,2016-11-04 04:00:32
3,571,79,0.7547448668628931,89.64.170.244,34419,42.219.157.28,443,TCP,2016-11-04 04:00:35
3,104917,100,18.88349878415465,42.219.157.28,443,89.64.170.205,34336,TCP,2016-11-04 04:00:38
3,111076,85,18.688175406306986,42.219.157.28,443,210.64.170.244,34332,TCP,2016-11-04 04:00:41
3,240,71,0.7374542718753219,89.64.170.244,34604,42.219.157.28,443,TCP,2016-11-04 04:00:44
3,57871,84,0.6614235753659159,42.219.157.28,443,89.64.170.244,34409,TCP,2016-11-04 04:00:47
22,19908,64,18.607156231999397,42.219.157.28,443,250.64.170.244,56004,TCP,2016-11-04 04:01:09
3,5292,119,0.7884071823209524,42.219.157.28,443,89.64.170.244,34397,TCP,2016-11-04 04:01:12
12,176840,39,18.844647768884894,42.219.157.28,443,89.64.170.244,33826,TCP,2016-11-04 04:01:24
4,47254,101,0.7760695677716285,42.219.157.28,443,89.64.170.131,55586,TCP,2016-11-04 04:01:28
3,126392,90,0.7487371922470629,42.219.157.28,443,89.64.170.244,34203,TCP,2016-11-04 04:01:31
3,225843,112,18.992426320910454,42.219.157.28,443,89.64.170.244,1612,TCP,2016-11-04 04:01:34
10,158712,116,18.533400155603886,42.219.157.28,443,89.64.170.244,34387,TCP,2016-11-04 04:01:44
37,88673,140,18.577731963247057,42.219.157.28,443,89.64.170.244,34377,TCP,2016-11-04 04:02:21
14,69171,50,18.64227630570531,42.219.157.28,443,89.64.170.244,34403,TCP,2016-11-04 04:02:35
3,101828,50,18.568759582936767,42.219.157.28,443,89.64.170.244,34374,TCP,2016-11-04 04:02:38
11,87694,49,18.61687642335892,89.64.170.124,34271,42.219.157.28,443,TCP,2016-11-04 04:02:49
3,13211,54,22.741585806012157,42.219.157.28,443,89.64.170.244,33850,TCP,2016-11-04 04:02:52
3,46,31,18.853770252317194,89.64.170.244,57164,42.219.157.28,443,TCP,2016-11-04 04:02:55
3,62,5,18.4484350271523,42.219.157.28,443,89.64.170.244,443,TCP,2016-11-04 04:02:58
3,2718,123,18.51542294025421,42.219.157.28,443,36.64.170.240,34290,TCP,2016-11-04 04:03:01
3,6490,104,0.7551830057054758,42.219.157.28,443,89.64.90.244,34583,TCP,2016-11-04 04:03:04
3,52,56,18.636767115443945,42.219.157.28,443,89.64.170.244,32930,TCP,2016-11-04 04:03:07
99,96968,64,0.740288905100897,42.219.157.28,443,89.64.170.244,34036,TCP,2016-11-04 04:04:46
3,85249,54,18.668208986520764,44.64.170.244,34556,42.219.157.28,443,TCP,2016-11-04 04:04:49
3,61787,86,18.862868394702677,42.219.157.28,443,89.64.170.6,34677,TCP,2016-11-04 04:04:52
3,143370,73,10.863430151715876,42.219.157.28,443,89.64.170.244,34325,TCP,2016-11-04 04:04:55
8,8662,52,18.546749867498875,89.64.170.212,33557,42.219.157.28,443,TCP,2016-11-04 04:05:03
3,51,111,18.966658618301157,42.219.157.28,443,89.64.170.178,34384,TCP,2016-11-04 04:05:06
3,56042,30,18.714501600712534,42.219.157.28,443,89.64.170.244,34410,TCP,2016-11-04 04:05:09
17,2614,91,18.68715308234096,42.219.157.28,443,89.64.170.244,34329,TCP,2016-11-04 04:05:26
3,64787,55,18.616276010870934,42.219.157.28,443,89.64.170.244,34399,TCP,2016-11-04 04:05:29
14,83466,77,18.91518541797996,12.64.170.244,34378,42.219.157.28,443,TCP,2016-11-04 04:05:43
3,24435,80,18.844916872680187,42.219.157.28,443,89.64.170.244,34263,TCP,2016-11-04 04:05:46
3,58,95,18.524398025125265,42.219.157.28,443,89.64.170.244,34421,TCP,2016-11-04 04:05:49
3,70523,43,18.859602637588974,42.219.157.28,443,89.64.170.244,34376,TCP,2016-11-04 04:05:52
3,48,80,18.640838831663128,42.219.157.28,443,89.64.170.244,34311,TCP,2016-11-04 04:05:55
8,44035,54,18.77549350261688,42.219.157.28,443,89.64.170.244,37509,TCP,2016-11-04 04:06:03
4,18655,105,18.668782353401184,89.64.170.244,34219,42.219.157.28,443,TCP,2016-11-04 04:06:07
3,20010,79,18.807537138462067,42.219.157.28,443,89.64.170.244,45511,TCP,2016-11-04 04:06:10
3,128966,75,18.82077325880527,42.219.157.28,443,215.64.122.244,34178,TCP,2016-11-04 04:06:13
3,143324,124,18.823078896850348,42.219.157.28,443,89.64.170.244,33855,TCP,2016-11-04 04:06:16
3,81008,82,0.7046490063657984,89.64.170.244,34762,42.219.157.28,443,TCP,2016-11-04 04:06:19
4,5704,147,24.01873889565468,42.219.157.28,443,89.64.170.244,35215,TCP,2016-11-04 04:06:23
3,69,64,28.66265903413296,89.64.233.244,37474,42.219.157.28,443,TCP,2016-11-04 04:06:26
3,137982,166,18.45929113402963,42.219.157.28,443,89.64.170.244,34406,TCP,2016-11-04 04:06:29
47,109490,141,18.406396687030792,42.219.157.28,443,11.64.170.244,33824,TCP,2016-11-04 04:07:16
3,58549,87,18.527600225061175,42.219.157.28,443,89.64.170.244,5369,TCP,2016-11-04 04:07:19
3,32803,54,18.961039893329144,42.219.157.28,443,89.64.170.244,32996,TCP,2016-11-04 04:07:22
3,19414,88,18.667331356555227,42.219.157.28,443,89.41.170.244,34799,TCP,2016-11-04 04:07:25
9,24072,76,18.650726705789566,42.219.157.28,443,89.64.170.244,5309,TCP,2016-11-04 04:07:34
4,83296,60,18.574441865086555,42.219.157.28,443,89.64.170.244,49898,TCP,2016-11-04 04:07:38
4,74801,95,18.37728749960661,42.219.157.28,443,89.64.170.74,34391,TCP,2016-11-04 04:07:42
3,14680,70,18.57745880261064,42.219.157.28,443,89.64.170.244,34399,TCP,2016-11-04 04:07:45
3,599,94,18.503430917859077,89.64.170.244,34553,42.219.157.28,443,TCP,2016-11-04 04:07:48
3,92486,27,18.84739289805293,89.64.170.244,4020,42.219.157.28,443,TCP,2016-11-04 04:07:51
16,81971,83,18.69457710161805,89.64.170.244,34346,42.219.157.28,443,TCP,2016-11-04 04:08:07
9,1780,73,18.57801729440689,42.219.157.28,443,109.64.170.244,33601,TCP,2016-11-04 04:08:16
3,52,26,0.7702001638244838,42.219.157.28,443,89.64.170.244,33507,TCP,2016-11-04 04:08:19
7,101971,73,3.4344175793230534,42.219.157.28,443,89.64.154.244,34341,TCP,2016-11-04 04:08:26
3,35810,30,18.217698130756613,42.219.157.28,443,89.64.170.244,33555,TCP,2016-11-04 04:08:29
3,137307,95,38.884138025343425,42.219.157.28,443,89.64.170.221,34691,TCP,2016-11-04 04:08:32
3,177650,107,4.659160338342191,89.64.170.244,34740,42.219.157.28,443,TCP,2016-11-04 04:08:35
3,11007,80,18.67004944011569,42.219.157.28,443,89.64.170.244,34577,TCP,2016-11-04 04:08:38
3,205176,130,3.0198013158515096,42.219.157.28,443,89.64.170.240,33919,TCP,2016-11-04 04:08:41
3,132231,110,18.703676596283916,42.219.157.28,443,89.64.170.244,34382,TCP,2016-11-04 04:08:44
3,173,1,18.700706988573074,42.219.157.28,5047,89.64.170.244,54558,TCP,2016-11-04 04:08:47
4,53,58,18.821256022900343,42.219.157.28,443,89.64.170.244,34371,TCP,2016-11-04 04:08:51
12,3604,85,18.768288552761078,89.64.170.244,57183,42.219.157.28,443,TCP,2016-11-04 04:09:03
54,116608,79,0.7233076442498714,42.219.157.28,443,89.228.170.244,35153,TCP,2016-11-04 04:09:57
3,60869,88,18.943128939718008,42.219.157.28,443,89.64.170.244,34175,TCP,2016-11-04 04:10:00
3,61567,56,0.7663186965510249,42.219.157.28,443,89.45.170.82,33902,TCP,2016-11-04 04:10:03
3,66697,160,18.806598655879494,42.219.157.28,443,89.64.170.244,35200,TCP,2016-11-04 04:10:06
3,570,73,18.962585549801585,42.219.157.28,443,89.64.170.244,33893,TCP,2016-11-04 04:10:09
3,10333,67,18.656509056687355,89.64.170.244,34300,42.219.157.28,443,TCP,2016-11-04 04:10:12
3,120067,79,18.906430754810568,42.219.157.28,443,89.64.170.244,35314,TCP,2016-11-04 04:10:15
11,185222,63,18.803176034241915,42.219.157.28,443,89.64.170.244,36697,TCP,2016-11-04 04:10:26
3,136903,48,18.38380413874984,42.219.157.28,443,89.64.170.244,57676,TCP,2016-11-04 04:10:29
3,97290,98,18.59039606899023,89.64.152.240,34405,42.219.157.28,443,TCP,2016-11-04 04:10:32
3,65796,70,0.8190329521894455,42.219.157.28,443,89.64.170.244,34376,TCP,2016-11-04 04:10:35
3,56,61,18.69989426806569,89.64.170.244,34190,42.219.157.28,443,TCP,2016-11-04 04:10:38
3,85617,63,18.602743741124872,42.219.157.28,443,206.64.170.244,33702,TCP,2016-11-04 04:10:41
4,53170,77,18.628887377679348,42.219.157.28,443,89.64.170.244,33280,TCP,2016-11-04 04:10:45
7,8414,50,18.38229634612799,42.219.157.28,443,89.64.170.244,33827,TCP,2016-11-04 04:10:52
4,93367,57,18.72302502393723,42.219.157.28,443,89.64.170.244,34127,TCP,2016-11-04 04:10:56
28,16655,46,18.58028777316213,42.219.157.28,443,89.64.170.109,34612,TCP,2016-11-04 04:11:24
3,129136,49,18.836928952485327,42.219.157.28,443,89.64.170.244,46469,TCP,2016-11-04 04:11:27
3,11598,57,18.713083058595657,42.219.157.28,443,89.64.170.61,5342,TCP,2016-11-04 04:11:30
3,115748,146,24.975534059107304,42.219.157.28,443,89.64.170.244,34252,TCP,2016-11-04 04:11:33
3,80325,55,4.8161810506135225,42.219.157.28,443,89.64.170.244,34176,TCP,2016-11-04 04:11:36
3,98172,112,18.768315598368645,42.219.157.28,443,89.64.170.34,34526,TCP,2016-11-04 04:11:39
3,58,54,18.814520314335823,42.219.157.28,443,89.64.170.244,34320,TCP,2016-11-04 04:11:42
3,519,58,18.854271948337555,42.219.157.28,443,89.64.170.244,34608,TCP,2016-11-04 04:11:45
4,91607,50,18.549212370067835,42.219.157.28,443,89.64.170.244,5387,TCP,2016-11-04 04:11:49
12,44,75,18.96062203869224,42.219.157.28,443,89.64.170.244,34772,TCP,2016-11-04 04:12:01
3,66265,107,0.7416503133717924,42.219.157.28,443,89.64.170.244,36242,TCP,2016-11-04 04:12:04
14,128,113,18.547419246286157,42.219.157.28,443,89.64.170.244,34341,TCP,2016-11-04 04:12:18
