teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
34,514,1,0.8551215121988207,162.30.6.238,60823,42.219.153.9,25,UDP,2016-11-04 04:00:34
12,37,11,0.8443272721488029,42.219.153.9,41082,79.8.139.156,80,UDP,2016-11-04 04:00:46
19,57,2,0.8612459900323302,216.19.51.181,49672,42.219.153.9,25,UDP,2016-11-04 04:01:05
3,576,5,0.8328157318755984,134.14.37.104,52479,42.219.153.9,80,TCP,2016-11-04 04:01:08
20,40,1,0.8559441212564707,151.180.155.60,80,42.219.153.9,25,TCP,2016-11-04 04:01:28
17,76,5,36.009317055344574,153.36.28.68,53,42.219.153.9,25,UDP,2016-11-04 04:01:45
9,307,1,0.8473245170898736,142.89.113.151,57844,42.219.153.9,40923,UDP,2016-11-04 04:01:54
4,378,1,0.856780506670475,154.7.83.68,80,42.219.153.9,25,TCP,2016-11-04 04:01:58
4,667,1,0.8422950482927263,42.219.153.9,5122,129.12.31.68,60242,UDP,2016-11-04 04:02:02
4,464,3,0.8486546538770199,189.223.118.189,56058,42.219.153.9,25,UDP,2016-11-04 04:02:06
4,70,1,0.8480681022629142,42.219.153.9,25,174.72.149.197,21,TCP,2016-11-04 04:02:10
6,363,5,0.8491108794696629,42.219.153.9,25,143.66.75.246,55704,UDP,2016-11-04 04:02:16
4,423,1,0.8585276529192924,42.219.153.9,110,46.8.71.68,55103,UDP,2016-11-04 04:02:20
27,345,1,0.8402590211480856,143.7.13.68,45400,42.219.153.9,25,UDP,2016-11-04 04:02:47
28,392,1,0.8512952348683029,42.219.153.9,5024,191.126.31.153,2131,UDP,2016-11-04 04:03:15
17,287,4,0.8282163727562875,42.219.153.9,110,143.223.68.208,80,TCP,2016-11-04 04:03:32
5,601,1,4.488040412776172,42.219.153.9,25,135.223.139.182,61591,UDP,2016-11-04 04:03:37
29,34,37,0.8383117374032736,42.219.153.9,445,119.223.101.123,63616,TCP,2016-11-04 04:04:06
4,230,1,0.8360831793397665,42.219.153.9,23,100.233.145.192,40701,UDP,2016-11-04 04:04:10
11,404,93,0.8298550830222666,231.38.119.133,51328,42.219.153.9,25,UDP,2016-11-04 04:04:21
36,636,1,12.648580212146044,135.12.106.200,80,42.219.153.9,5044,UDP,2016-11-04 04:04:57
16,319,6,0.8491609983611852,42.219.153.9,5065,62.29.37.137,80,UDP,2016-11-04 04:05:13
39,57,11,0.8223516172729433,42.219.153.9,25,166.153.57.133,80,UDP,2016-11-04 04:05:52
4,748,6,21.569258786737922,167.212.214.98,80,42.219.153.9,25,UDP,2016-11-04 04:05:56
20,49,5,0.8366966075263917,42.219.153.9,25,163.223.102.170,61467,UDP,2016-11-04 04:06:16
10,4180,1,0.8595708527136594,193.10.41.68,80,42.219.153.9,25,UDP,2016-11-04 04:06:26
124,34,6,0.8386198037769645,42.219.153.9,41215,46.215.139.204,54873,TCP,2016-11-04 04:08:30
4,342,1,0.8696259870193899,42.219.153.9,25,178.8.106.0,46922,TCP,2016-11-04 04:08:34
4,420,1,0.8391521796584129,42.219.153.9,23,79.127.56.80,54622,UDP,2016-11-04 04:08:38
21,298,1,0.834390546893701,42.219.153.9,25,199.230.126.92,443,TCP,2016-11-04 04:08:59
14,550,31,0.864537863060832,132.11.178.99,45347,42.219.153.9,40839,UDP,2016-11-04 04:09:13
16,354,1,64.0889485180378,136.223.250.68,55917,42.219.153.9,5076,UDP,2016-11-04 04:09:29
13,339,6,4.675399873405696,207.223.187.139,443,42.219.153.9,41149,TCP,2016-11-04 04:09:42
4,614,5,0.8476098482497036,42.219.153.9,40894,250.7.81.173,3382,UDP,2016-11-04 04:09:46
21,344,1,0.8523154458962381,42.219.153.9,25,74.64.43.218,64506,UDP,2016-11-04 04:10:07
8,408,6,0.8492091733496636,42.219.153.9,25,46.234.36.92,64361,UDP,2016-11-04 04:10:15
32,396,6,0.8389106285758317,42.219.153.9,53,178.147.110.89,38846,UDP,2016-11-04 04:10:47
62,345,6,0.8470123938750476,42.219.153.9,25,190.223.118.120,44911,UDP,2016-11-04 04:11:49
16,494,1,0.8553278194740415,122.223.37.210,55374,42.219.153.9,25,TCP,2016-11-04 04:12:05
26,143,5,0.8486035207752138,42.219.153.9,80,157.24.30.90,5037,UDP,2016-11-04 04:12:31
77,72,2,2.8037268575280905,203.12.39.39,37654,42.219.153.9,25,UDP,2016-11-04 04:13:48
23,352,6,0.8273380666505545,251.36.116.64,42270,42.219.153.9,53,UDP,2016-11-04 04:14:11
28,228,6,80.16030317544937,42.219.153.9,5067,46.181.27.11,80,UDP,2016-11-04 04:14:39
9,50,1,0.835849319351837,42.219.153.9,25,174.5.152.238,80,UDP,2016-11-04 04:14:48
77,36,5,0.8581614384893328,42.219.153.9,41414,219.196.38.207,48980,UDP,2016-11-04 04:16:05
2,282,6,0.8624540835153311,42.219.153.9,25,46.223.109.37,80,UDP,2016-11-04 04:16:07
4,559,1,0.8697485374286771,85.97.30.112,53,42.219.153.9,25,UDP,2016-11-04 04:16:11
49,1038,1,0.8562231981195509,149.223.5.129,2094,42.219.153.9,110,TCP,2016-11-04 04:17:00
14,913,1,0.8652331887278706,249.107.4.68,80,42.219.153.9,25,TCP,2016-11-04 04:17:14
25,34,6,0.8416020891163498,42.219.153.9,25,86.4.14.219,80,UDP,2016-11-04 04:17:39
9,516,6,0.8621420448180288,238.83.177.181,44655,42.219.153.9,20,UDP,2016-11-04 04:17:48
4,537,1,0.8302769945003092,42.219.153.9,25,136.236.33.143,55028,UDP,2016-11-04 04:17:52
20,315,5,0.8330863569863141,42.219.153.9,25,227.12.170.123,1737,UDP,2016-11-04 04:18:12
4,352,1,13.571855049580336,46.84.112.69,51713,42.219.153.9,40914,TCP,2016-11-04 04:18:16
7,394,1,0.8470422285608947,170.7.41.141,51120,42.219.153.9,25,TCP,2016-11-04 04:18:23
145,440,9,0.8342445851303637,46.5.53.231,50653,42.219.153.9,25,TCP,2016-11-04 04:20:48
24,315,1,0.8348680709023029,42.219.153.9,5089,138.189.152.135,64396,UDP,2016-11-04 04:21:12
4,912,6,0.8868516725488007,42.219.153.9,25,46.14.181.120,80,TCP,2016-11-04 04:21:16
19,418,5,0.8525569124612957,142.10.43.128,80,42.219.153.9,25,UDP,2016-11-04 04:21:35
3,228,6,0.8382203739602119,46.57.60.71,37195,42.219.153.9,5032,UDP,2016-11-04 04:21:38
4,307,1,0.8606292656622827,42.219.153.9,25,104.223.31.68,53099,TCP,2016-11-04 04:21:42
4,149,2,0.8384568539913744,42.219.153.9,25,46.241.63.98,80,UDP,2016-11-04 04:21:46
4,50,6,0.8143762056715786,121.50.224.219,58026,42.219.153.9,5115,UDP,2016-11-04 04:21:50
4,454,1,0.8461151558440179,42.219.153.9,23,140.98.221.150,1242,UDP,2016-11-04 04:21:54
22,56,1,0.8509968880098313,42.219.153.9,25,125.175.82.96,2303,UDP,2016-11-04 04:22:16
4,480,5,0.8475318385753781,136.43.113.250,57384,42.219.153.9,25,TCP,2016-11-04 04:22:20
24,5058,5,5.801969105377793,46.10.184.238,80,42.219.153.9,25,UDP,2016-11-04 04:22:44
78,47,1,0.8314452802296728,165.51.32.143,53813,42.219.153.9,23,UDP,2016-11-04 04:24:02
14,634,6,5.940094403922558,137.83.146.232,49287,42.219.153.9,5092,UDP,2016-11-04 04:24:16
13,41,1,0.8628425260540098,252.224.40.166,443,42.219.153.9,25,UDP,2016-11-04 04:24:29
4,464,56,0.8584938459098339,42.219.153.9,25,48.223.16.176,50652,UDP,2016-11-04 04:24:33
29,410,1,0.8700690278783441,135.49.25.119,5725,42.219.153.9,25,UDP,2016-11-04 04:25:02
7,47,5,2.6140247401781385,42.219.153.9,80,174.223.110.111,80,UDP,2016-11-04 04:25:09
14,95,1,0.8640121640637517,124.8.11.131,34127,42.219.153.9,41033,UDP,2016-11-04 04:25:23
14,38,6,0.8390277698636055,211.72.135.109,58129,42.219.153.9,25,UDP,2016-11-04 04:25:37
3,438,9,0.8468394710216671,245.208.156.242,40364,42.219.153.9,5073,TCP,2016-11-04 04:25:40
38,625,1,0.8313034598249942,42.219.153.9,41012,46.67.51.252,53286,UDP,2016-11-04 04:26:18
4,315,1,0.8338429578579962,122.81.6.193,80,42.219.153.9,110,UDP,2016-11-04 04:26:22
51,329,5,0.835809427080676,42.219.153.9,25,45.3.81.86,57228,UDP,2016-11-04 04:27:13
4,371,1,0.8370561450719833,42.219.153.9,25,150.223.8.126,80,TCP,2016-11-04 04:27:17
20,409,1,1.9720838908106089,155.237.100.160,60811,42.219.153.9,25,UDP,2016-11-04 04:27:37
29,565,4,0.8434233572334051,42.219.153.9,25,133.233.173.149,39667,TCP,2016-11-04 04:28:06
10,345,1,0.8608181623276323,130.6.118.75,46317,42.219.153.9,110,UDP,2016-11-04 04:28:16
27,334,1,0.8362616803497076,188.205.20.8,55386,42.219.153.9,25,UDP,2016-11-04 04:28:43
71,456,1,0.8177904600743204,217.35.41.173,53601,42.219.153.9,25,UDP,2016-11-04 04:29:54
3,491,7,0.8230866661760956,42.219.153.9,25,205.26.242.166,443,UDP,2016-11-04 04:29:57
16,416,6,14.453881278634071,42.219.153.9,41074,147.21.182.111,80,UDP,2016-11-04 04:30:13
4,483,6,0.8350980430841446,189.14.40.229,45244,42.219.153.9,25,TCP,2016-11-04 04:30:17
21,111047,1,0.8542791260406375,128.140.17.176,49842,42.219.153.9,25,TCP,2016-11-04 04:30:38
12,37,5,0.8639849494211376,42.219.153.9,41035,46.8.58.47,56606,UDP,2016-11-04 04:30:50
4,50,1,0.8252910522278398,42.219.153.9,25,162.104.107.68,51923,TCP,2016-11-04 04:30:54
20,549,6,0.8282930301502347,232.223.137.170,41620,42.219.153.9,25,UDP,2016-11-04 04:31:14
155,408,5,0.8371388032101095,42.219.153.9,40840,210.223.164.163,80,TCP,2016-11-04 04:33:49
38,2680,6,0.8572777232620865,42.219.153.9,25,197.190.124.68,80,UDP,2016-11-04 04:34:27
4,420,6,0.8566213601734489,75.8.179.64,5026,42.219.153.9,25,UDP,2016-11-04 04:34:31
4,421,6,0.8424661962781101,185.6.136.227,80,42.219.153.9,25,UDP,2016-11-04 04:34:35
12,663,6,0.8683555196039379,42.219.153.9,5041,9.167.208.162,46774,UDP,2016-11-04 04:34:47
4,665,1,2.8370747677981853,42.219.153.9,161,144.40.46.100,48746,UDP,2016-11-04 04:34:51
4,428,5,0.832197317155078,42.219.153.9,25,194.224.53.212,80,UDP,2016-11-04 04:34:55
20,340,31,0.8213216022122651,174.61.11.159,1826,42.219.153.9,25,UDP,2016-11-04 04:35:15
194,500,15,0.8345605116337538,42.219.153.9,25,134.99.23.230,49886,UDP,2016-11-04 04:38:29
12,959,5,0.8492941134609282,42.219.153.9,5044,153.223.129.68,33899,UDP,2016-11-04 04:38:41
20,511,1,0.8276820529717952,46.125.44.167,64582,42.219.153.9,25,UDP,2016-11-04 04:39:01
1,683,1,0.8494886728003621,174.88.209.173,80,42.219.153.9,110,UDP,2016-11-04 04:39:02
29,340,1,0.8330277018249035,42.219.153.9,25,43.31.181.169,54744,UDP,2016-11-04 04:39:31
43,649,6,0.8468381187412888,46.131.122.133,80,42.219.153.9,25,UDP,2016-11-04 04:40:14
4,62,6,2.726391633041203,133.114.55.201,2567,42.219.153.9,25,TCP,2016-11-04 04:40:18
16,787,55,16.539453271776438,228.45.180.161,36776,42.219.153.9,25,TCP,2016-11-04 04:40:34
3,96,1,0.8653735723346472,42.219.153.9,25,142.94.144.145,443,UDP,2016-11-04 04:40:37
3,248,5,0.8361993909347802,42.219.153.9,25,216.223.34.99,39373,UDP,2016-11-04 04:40:40
4,1072,1,0.8443102841265501,42.219.153.9,25,25.11.37.185,1916,UDP,2016-11-04 04:40:44
23,40,6,0.8667930441442877,42.219.153.9,110,73.7.172.116,5088,TCP,2016-11-04 04:41:07
21,375,6,0.8433428965508938,42.219.153.9,25,228.223.116.182,58397,TCP,2016-11-04 04:41:28
17,435,1,0.8744633474852891,233.103.62.154,51840,42.219.153.9,25,TCP,2016-11-04 04:41:45
4,430,5,0.8439386605750769,42.219.153.9,25,190.12.92.130,49561,UDP,2016-11-04 04:41:49
84,459,6,0.8310723043978214,128.222.82.175,45838,42.219.153.9,25,UDP,2016-11-04 04:43:13
17,236,1,0.8533623644616455,42.219.153.9,25,134.36.181.101,80,UDP,2016-11-04 04:43:30
29,406,1,0.8591241776011884,132.223.37.100,57294,42.219.153.9,110,TCP,2016-11-04 04:43:59
4,75,5,0.8309675871860236,101.243.133.164,56508,42.219.153.9,25,UDP,2016-11-04 04:44:03
4,40,5,0.8117744182236493,42.219.153.9,25,9.8.33.174,5031,UDP,2016-11-04 04:44:07
17,64,14,0.8469951523002237,42.219.153.9,23,74.33.38.68,51872,UDP,2016-11-04 04:44:24
22,381,92,0.8562287762761116,157.5.71.212,25,42.219.153.9,25,TCP,2016-11-04 04:44:46
126,549,1,0.8530166032724082,42.219.153.9,25,137.82.116.60,60039,UDP,2016-11-04 04:46:52
16,472,6,19.54538458585739,42.219.153.9,25,145.240.195.69,59480,UDP,2016-11-04 04:47:08
29,5322,6,0.8596951779909432,42.219.153.9,110,115.68.137.151,11488,UDP,2016-11-04 04:47:37
4,253,6,0.8308225551154464,154.130.68.68,80,42.219.153.9,41139,TCP,2016-11-04 04:47:41
46,406,4,0.8626884506084025,141.8.93.87,11486,42.219.153.9,25,TCP,2016-11-04 04:48:27
2,389,1,0.8491010754369199,42.219.153.9,25,174.4.48.133,56090,UDP,2016-11-04 04:48:29
23,69,7,0.8406492385547608,251.33.242.82,5345,42.219.153.9,25,UDP,2016-11-04 04:48:52
179,411,6,0.8480822166893631,125.21.71.93,38585,42.219.153.9,25,UDP,2016-11-04 04:51:51
10,798,1,0.8552972241304815,42.219.153.9,33705,146.250.26.68,49833,UDP,2016-11-04 04:52:01
4,569,5,25.56873618811369,42.219.153.9,110,98.231.56.68,54368,UDP,2016-11-04 04:52:05
15,109,1,0.8336858397815377,42.219.153.9,110,163.223.22.70,52837,UDP,2016-11-04 04:52:20
4,517,5,0.8513825414702296,176.223.119.163,64099,42.219.153.9,110,UDP,2016-11-04 04:52:24
16,581,9,0.8362292256206274,42.219.153.9,41066,127.75.114.173,50685,TCP,2016-11-04 04:52:40
22,368,6,0.8415453778579831,124.36.139.159,51868,42.219.153.9,25,UDP,2016-11-04 04:53:02
12,316,19,0.8321460995357484,96.7.28.73,80,42.219.153.9,25,TCP,2016-11-04 04:53:14
16,462,6,0.8505038127768785,230.6.71.50,36388,42.219.153.9,40892,UDP,2016-11-04 04:53:30
20,414,12,0.857886080397293,42.219.153.9,25,106.241.42.130,50376,UDP,2016-11-04 04:53:50
6,489,2,0.8534876194316894,46.101.181.131,53550,42.219.153.9,25,TCP,2016-11-04 04:53:56
12,361,6,0.853586166864261,42.219.153.9,25,146.229.38.183,80,UDP,2016-11-04 04:54:08
18,331,2,0.8283940285909921,141.44.105.177,36631,42.219.153.9,25,TCP,2016-11-04 04:54:26
