teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
3,679,7,0.8105053876060992,232.126.71.91,51137,42.219.153.47,80,TCP,2016-11-04 04:00:03
4,4211,6,0.8278027439955622,42.219.153.47,80,147.126.71.91,51315,TCP,2016-11-04 04:00:07
4,751,10,2.720140378922224,42.219.153.47,80,147.144.71.91,51493,TCP,2016-11-04 04:00:11
3,6448,3,0.8577161156572402,42.219.153.47,443,147.126.71.91,51289,TCP,2016-11-04 04:00:14
3,1454,6,0.8427584578748792,42.219.153.47,80,147.126.71.91,51755,TCP,2016-11-04 04:00:17
4,6242,7,4.8617664221674195,147.126.71.91,51396,42.219.153.47,80,TCP,2016-11-04 04:00:21
3,5447,10,0.8495729367714375,42.219.153.47,80,81.126.71.134,3972,TCP,2016-11-04 04:00:24
4,695,1,0.7890974369365722,42.219.153.47,80,147.126.71.91,51399,TCP,2016-11-04 04:00:28
4,58,1,13.09938856959343,42.219.153.47,80,147.126.71.91,51110,TCP,2016-11-04 04:00:32
3,6244,1,0.8279063624795526,42.219.153.47,80,147.126.71.91,51221,TCP,2016-11-04 04:00:35
3,7841,1,0.8218268479686229,147.126.71.91,51153,42.219.153.47,80,TCP,2016-11-04 04:00:38
4,7554,1,0.8081974675878882,42.219.153.47,80,147.126.71.91,31826,TCP,2016-11-04 04:00:42
4,6206,1,12.006599977612494,42.219.153.47,80,147.126.31.101,51172,TCP,2016-11-04 04:00:46
4,4786,1,0.8290582518093288,42.219.153.47,80,147.126.71.91,51390,TCP,2016-11-04 04:00:50
4,6183,1,0.8150535291060805,42.219.153.47,80,147.126.71.91,51732,TCP,2016-11-04 04:00:54
4,4792,1,20.5353971645236,42.219.153.47,80,147.126.71.91,44244,TCP,2016-11-04 04:00:58
4,21345,7,0.8609035250265151,42.219.153.47,80,147.126.40.91,51266,TCP,2016-11-04 04:01:02
4,74,8,0.8256161066237837,147.126.71.91,51230,42.219.153.47,80,TCP,2016-11-04 04:01:06
4,8411,1,0.829666186356917,42.219.153.47,80,147.126.233.91,51660,TCP,2016-11-04 04:01:10
12,567,6,0.8294010548852384,42.219.153.47,80,147.126.71.91,51104,TCP,2016-11-04 04:01:22
4,2079,9,0.8438083345536143,42.219.153.47,80,147.126.156.91,51221,TCP,2016-11-04 04:01:26
4,6446,7,24.337787814438343,147.126.71.91,51307,42.219.153.47,80,TCP,2016-11-04 04:01:30
16,8000,13,0.8246068828739226,142.126.71.91,51171,42.219.153.47,80,TCP,2016-11-04 04:01:46
4,5306,1,0.8066971125081182,147.126.71.91,51411,42.219.153.47,80,TCP,2016-11-04 04:01:50
4,621,6,0.7958717700093985,42.219.153.47,80,147.126.71.91,51135,TCP,2016-11-04 04:01:54
19,682,19,0.8282855926081538,147.126.71.91,51126,42.219.153.47,80,TCP,2016-11-04 04:02:13
4,6679,6,0.8049051719717681,42.219.153.47,80,147.126.71.91,51281,TCP,2016-11-04 04:02:17
3,7987,8,0.8158598262816668,42.219.153.47,80,147.126.71.91,51423,TCP,2016-11-04 04:02:20
74,632,1,0.8020210959948599,42.219.153.47,80,147.126.71.91,51127,TCP,2016-11-04 04:03:34
3,7538,1,0.8456401673611253,147.126.71.91,51186,42.219.153.47,80,TCP,2016-11-04 04:03:37
3,56,6,0.8666639013681561,42.219.153.47,80,147.88.148.91,44855,TCP,2016-11-04 04:03:40
4,5866,6,0.8302993071265519,42.219.153.47,80,147.126.71.91,50875,TCP,2016-11-04 04:03:44
3,731,4,0.89917365135625,42.219.153.47,80,147.126.32.91,51082,TCP,2016-11-04 04:03:47
4,8557,8,21.44322084635496,42.219.153.47,80,147.126.71.91,51160,TCP,2016-11-04 04:03:51
4,57132,1,17.734651409089565,42.219.153.47,443,16.126.71.91,51109,TCP,2016-11-04 04:03:55
4,101,9,0.8440858055837452,138.126.71.91,51416,42.219.153.47,80,TCP,2016-11-04 04:03:59
4,254,8,0.8445963759440929,42.219.153.47,80,57.126.71.91,51341,TCP,2016-11-04 04:04:03
4,2187,201,2.7077969326637685,248.126.42.91,51418,42.219.153.47,80,TCP,2016-11-04 04:04:07
4,800,1,13.130776349455118,147.126.71.91,5146,42.219.153.47,80,TCP,2016-11-04 04:04:11
4,696,2,9.036987533792852,42.219.153.47,80,147.126.71.74,51161,TCP,2016-11-04 04:04:15
