teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
5,88,2,0.6502073393203318,100.195.138.253,53,42.219.153.241,60448,UDP,2016-11-04 04:00:05
16,88,2,0.5893139003310353,137.100.138.181,53,42.219.153.241,52267,UDP,2016-11-04 04:00:21
22,87,2,0.5996773968217894,92.40.138.253,5130,42.219.153.241,57516,UDP,2016-11-04 04:00:43
36,87,2,0.6638524399604648,100.40.138.253,53,42.219.153.241,59507,UDP,2016-11-04 04:01:19
4,88,2,0.6507728883298114,212.40.138.253,53,42.219.153.241,51100,UDP,2016-11-04 04:01:23
5,419,2,7.080073524266481,137.41.138.253,53,42.219.153.241,60869,UDP,2016-11-04 04:01:28
10,87,1,0.7687004003673792,4.40.138.253,53,42.219.153.241,54661,UDP,2016-11-04 04:01:38
144,88,1,0.6092766436049715,137.250.138.253,5468,42.219.153.241,60572,UDP,2016-11-04 04:04:02
13,87,1,2.761260013561696,100.25.187.253,53,42.219.153.241,60174,UDP,2016-11-04 04:04:15
5,35,12,2.85503136087209,100.8.138.253,53,42.219.153.241,53327,UDP,2016-11-04 04:04:20
10,87,2,0.6817549418192357,100.40.138.253,53,42.219.153.241,59870,UDP,2016-11-04 04:04:30
4,158,9,0.7062210323056206,100.40.12.253,5463,42.219.153.241,60996,UDP,2016-11-04 04:04:34
17,87,2,0.7113816300407052,100.40.71.253,53,42.219.153.241,23,UDP,2016-11-04 04:04:51
15,87,1,0.5972312483936548,100.40.138.253,53,42.219.153.241,60714,UDP,2016-11-04 04:05:06
4,87,1,0.7170026369858533,42.219.153.241,60988,100.41.138.253,53,TCP,2016-11-04 04:05:10
4,87,2,0.7100690728984773,100.40.138.253,53,42.219.153.241,60885,TCP,2016-11-04 04:05:14
15,152,1,0.6256479837466031,137.40.138.253,5199,42.219.153.241,58399,UDP,2016-11-04 04:05:29
5,85,2,0.6423594646621495,42.219.153.241,49994,38.8.138.254,53,UDP,2016-11-04 04:05:34
3,132,2,0.5396222026320174,150.40.138.253,53,42.219.153.241,61010,UDP,2016-11-04 04:05:37
4,88,2,0.6842821425525472,67.8.170.253,53,42.219.153.241,60428,UDP,2016-11-04 04:05:41
5,88,2,0.6316651665838435,100.8.138.252,53,42.219.153.241,3016,UDP,2016-11-04 04:05:46
5,88,2,0.5445081184152514,100.8.71.253,80,42.219.153.241,51379,UDP,2016-11-04 04:05:51
