teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
3,762,7,0.8567801686003804,183.117.198.219,60281,42.219.155.69,80,TCP,2016-11-04 04:00:03
4,581,6,0.8413588476832956,42.219.155.69,80,183.117.198.219,60303,TCP,2016-11-04 04:00:07
4,19908,6,0.8599055421072991,183.117.198.219,60238,42.219.155.69,80,TCP,2016-11-04 04:00:11
7,22977,7,0.8453331997152418,42.219.155.69,80,183.117.198.129,60293,TCP,2016-11-04 04:00:18
4,774,6,0.8617955229710788,42.219.155.69,80,183.117.198.219,60266,TCP,2016-11-04 04:00:22
3,4459,6,0.8622235197108239,42.219.155.69,80,183.117.198.219,59484,TCP,2016-11-04 04:00:25
4,49,5,0.8487212536856532,42.219.155.69,80,169.117.198.219,60589,TCP,2016-11-04 04:00:29
4,760,6,0.8572754412889481,42.219.155.69,80,183.117.198.219,60271,TCP,2016-11-04 04:00:33
3,38,20,0.8760961415246129,42.219.155.69,80,183.117.198.219,60237,TCP,2016-11-04 04:00:36
4,5718,6,0.8608530680648983,183.117.198.219,60224,42.219.155.69,80,TCP,2016-11-04 04:00:40
4,5965,6,0.8612681336235255,42.219.155.69,80,183.117.198.219,60313,TCP,2016-11-04 04:00:44
4,827,7,0.8499388976488262,183.117.198.219,60276,42.219.155.69,80,TCP,2016-11-04 04:00:48
3,791,9,0.8563045039772987,183.117.198.219,60289,42.219.155.69,80,TCP,2016-11-04 04:00:51
4,792,7,0.8459679263178259,183.117.198.218,60419,42.219.155.69,80,TCP,2016-11-04 04:00:55
4,3441,6,0.8556360548827797,42.219.155.69,80,183.117.198.219,60295,TCP,2016-11-04 04:00:59
4,1551,6,0.8476321608759463,183.117.198.219,60293,42.219.155.69,80,TCP,2016-11-04 04:01:03
4,295,7,0.844727800693363,183.117.198.219,60010,42.219.155.69,80,TCP,2016-11-04 04:01:07
4,548,1,0.8446571440435946,42.219.155.69,80,183.117.198.219,60236,TCP,2016-11-04 04:01:11
4,1728,6,0.8545014916453509,42.219.155.69,80,183.117.198.219,60268,TCP,2016-11-04 04:01:15
4,47,6,0.8607857921160758,42.219.155.69,80,183.117.198.219,60037,TCP,2016-11-04 04:01:19
4,719,8,0.8575506303459406,183.117.198.219,60294,42.219.155.69,80,TCP,2016-11-04 04:01:23
4,45540,3,0.8504123648162931,183.117.198.219,50311,42.219.155.69,80,TCP,2016-11-04 04:01:27
4,826,6,0.8533111468423158,183.117.198.219,60258,42.219.155.69,80,TCP,2016-11-04 04:01:31
3,871,1,0.8487725558225065,183.117.198.218,60227,42.219.155.69,80,TCP,2016-11-04 04:01:34
3,784,2,0.8586685436312109,42.219.155.69,80,183.117.198.219,60234,TCP,2016-11-04 04:01:37
4,328,5,0.8609055534470826,183.117.198.219,60246,42.219.155.69,80,TCP,2016-11-04 04:01:41
4,3873,8,0.8544865320436656,183.117.198.219,60261,42.219.155.69,80,TCP,2016-11-04 04:01:45
4,7190,6,0.8582454489078373,183.117.198.23,60383,42.219.155.69,80,TCP,2016-11-04 04:01:49
4,772,7,0.8529522854369134,42.219.155.69,80,183.117.198.198,60286,TCP,2016-11-04 04:01:53
4,5736,1,0.8544768125284463,42.219.155.69,80,183.117.198.219,60229,TCP,2016-11-04 04:01:57
4,67744,2,0.8445007021073252,183.117.198.219,60243,42.219.155.69,80,TCP,2016-11-04 04:02:01
4,1009,6,0.849124233238399,183.117.198.219,50519,42.219.155.69,80,TCP,2016-11-04 04:02:05
3,137,6,0.8535020719282329,42.219.155.69,80,183.117.198.219,60260,TCP,2016-11-04 04:02:08
3,62,6,0.8484666023869067,42.219.155.69,80,183.117.198.218,60271,TCP,2016-11-04 04:02:11
4,380,8,0.8655300142709166,183.117.198.218,60282,42.219.155.69,80,TCP,2016-11-04 04:02:15
3,3440,5,0.8521977129857987,183.117.198.219,60314,42.219.155.69,80,TCP,2016-11-04 04:02:18
4,746,6,0.8496277041267604,183.117.198.114,60272,42.219.155.69,80,TCP,2016-11-04 04:02:22
4,55,6,0.8589319847524166,42.219.155.69,80,183.117.8.219,60274,TCP,2016-11-04 04:02:26
4,900,7,0.8528279601596296,183.117.198.219,60227,42.219.155.69,80,TCP,2016-11-04 04:02:30
11,4921,6,0.8382305160630494,42.219.155.69,80,183.117.198.219,60280,TCP,2016-11-04 04:02:41
4,826,5,0.854566992726177,42.219.155.69,80,183.117.198.219,60234,TCP,2016-11-04 04:02:45
4,1512,1,0.8239587179850787,42.219.155.69,80,201.117.198.219,60253,TCP,2016-11-04 04:02:49
4,7456,8,0.855145346140489,42.219.155.69,80,183.117.198.219,60278,TCP,2016-11-04 04:02:53
4,849,7,0.8395800918806344,183.117.198.218,60273,42.219.155.69,80,TCP,2016-11-04 04:02:57
3,6365,6,0.8595152401831001,42.219.155.69,80,183.117.198.219,60241,TCP,2016-11-04 04:03:00
4,881,6,0.8482477865181863,230.117.198.219,59994,42.219.155.69,80,TCP,2016-11-04 04:03:04
4,7431,6,0.8517413183581084,183.117.198.89,61417,42.219.155.69,80,TCP,2016-11-04 04:03:08
3,816,6,0.8475373322144151,183.117.198.219,60264,42.219.155.69,80,UDP,2016-11-04 04:03:11
4,5523,8,0.8455981621518731,183.117.198.219,60322,42.219.155.69,80,TCP,2016-11-04 04:03:15
4,2110,8,0.8555897392798215,42.219.155.69,80,113.117.198.219,60228,TCP,2016-11-04 04:03:19
3,4623,7,0.8532595911528915,42.219.155.69,80,183.117.198.218,60258,TCP,2016-11-04 04:03:22
4,811,7,0.8394482445437461,183.117.198.219,60312,42.219.155.69,80,TCP,2016-11-04 04:03:26
4,814,7,0.8513609049841762,42.219.155.69,80,183.117.198.219,60289,TCP,2016-11-04 04:03:30
6,4749,6,0.856988419778645,183.117.198.219,60230,42.219.155.69,80,TCP,2016-11-04 04:03:36
4,392,50,17.008643176406622,183.117.198.219,60248,42.219.155.69,80,TCP,2016-11-04 04:03:40
4,787028,6,0.8390096831135452,42.219.155.69,80,183.117.198.219,60650,TCP,2016-11-04 04:03:44
4,51,7,0.8520082246977836,183.117.198.219,60296,42.219.155.69,80,TCP,2016-11-04 04:03:48
4,40523,7,0.8449472927022725,183.117.198.219,60276,42.219.155.69,80,TCP,2016-11-04 04:03:52
4,44,6,0.8521754848770797,42.219.155.69,80,183.117.198.218,60304,TCP,2016-11-04 04:03:56
4,7962,5,0.8434707715641707,42.219.155.69,80,183.117.198.219,60289,TCP,2016-11-04 04:04:00
4,8338,1,0.8506827363744378,42.219.155.69,80,183.117.198.218,60321,TCP,2016-11-04 04:04:04
3,816,7,0.8532798753585666,42.219.155.69,80,183.117.198.219,60306,TCP,2016-11-04 04:04:07
4,5856,1,0.8601058486383408,183.117.198.219,60257,42.219.155.69,80,TCP,2016-11-04 04:04:11
3,5183,6,0.8569827571045607,69.117.198.219,60244,42.219.155.69,80,TCP,2016-11-04 04:04:14
3,5133,7,0.8519009719602764,42.219.155.69,80,183.117.198.219,60304,TCP,2016-11-04 04:04:17
4,4645,6,0.8446572285611182,183.117.198.219,60309,42.219.155.69,80,TCP,2016-11-04 04:04:21
3,779,6,0.8488410995341837,183.117.198.219,60235,42.219.155.69,80,TCP,2016-11-04 04:04:24
9,64625,7,0.8493486272636801,42.219.155.69,80,13.117.198.219,60276,TCP,2016-11-04 04:04:33
4,55,7,0.8278072234243155,183.117.198.218,60345,42.219.155.69,80,TCP,2016-11-04 04:04:37
4,659,5,0.8485232291277498,42.219.155.69,80,183.117.198.219,60564,TCP,2016-11-04 04:04:41
4,1514,6,0.8542803092859685,42.219.155.69,80,183.117.198.219,60241,TCP,2016-11-04 04:04:45
4,834,6,0.8348746632691473,183.117.198.219,60280,42.219.155.69,80,TCP,2016-11-04 04:04:49
4,1069,5,0.8468661785591394,42.219.155.69,80,183.117.198.219,60234,TCP,2016-11-04 04:04:53
4,1259,6,0.8444362997543067,183.117.198.219,60275,42.219.155.69,80,TCP,2016-11-04 04:04:57
4,1731,7,0.8502440059091896,183.117.198.215,60283,42.219.155.69,80,TCP,2016-11-04 04:05:01
4,657,6,0.8593120600562543,183.10.198.219,60646,42.219.155.69,80,TCP,2016-11-04 04:05:05
4,1553,6,0.8426381894387305,183.117.198.219,60256,42.219.155.69,80,TCP,2016-11-04 04:05:09
4,722,6,2.494279974605888,42.219.155.69,80,183.117.198.219,60124,TCP,2016-11-04 04:05:13
3,272,6,0.8571307472884655,183.117.198.219,60025,42.219.155.69,80,TCP,2016-11-04 04:05:16
4,50,6,0.8456520843319595,42.219.155.69,80,183.117.198.219,60536,TCP,2016-11-04 04:05:20
4,836,6,19.26249699667096,183.117.198.218,59959,42.219.155.69,80,TCP,2016-11-04 04:05:24
