te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:03:08,1.824,42.219.153.36,194.233.78.106,80,57666,TCP,.AP.S.,0,0,13,13753,background,2,0,188,0
2016-04-11 00:03:08,1.968,194.233.78.106,42.219.153.36,57666,80,TCP,.AP.S.,0,0,13,1313,background,13753,0,188,0
2016-04-11 00:03:23,0.0,42.219.153.36,194.233.78.106,80,57666,TCP,.A...F,0,0,1,52,background,1313,0,203,15
2016-04-11 00:03:23,0.16399999999999998,194.233.78.106,42.219.153.36,57666,80,TCP,.A...F,0,0,2,104,background,52,0,203,0
2016-04-11 00:03:23,0.252,42.219.153.36,187.110.192.192,80,47035,TCP,.AP.SF,0,0,9,8503,background,104,0,203,0
2016-04-11 00:03:23,0.316,187.110.192.192,42.219.153.36,47035,80,TCP,.AP.SF,0,0,10,696,background,8503,0,203,0
2016-04-11 00:03:42,23.696,42.219.153.36,223.83.107.74,80,49815,TCP,.AP.SF,0,0,23,24404,background,696,0,222,19
2016-04-11 00:03:42,23.696,42.219.153.36,223.83.107.74,80,49818,TCP,.AP.SF,0,0,82,109973,background,24404,0,222,0
2016-04-11 00:03:42,23.7,223.83.107.74,42.219.153.36,49818,80,TCP,.AP.SF,0,0,87,10853,background,109973,0,222,0
2016-04-11 00:03:42,23.712,223.83.107.74,42.219.153.36,49815,80,TCP,.AP.SF,0,0,25,7023,background,10853,0,222,0
2016-04-11 00:03:42,23.716,223.83.107.74,42.219.153.36,49816,80,TCP,.AP.SF,0,0,69,8580,background,7023,0,222,0
2016-04-11 00:03:42,23.716,42.219.153.36,223.83.107.74,80,49816,TCP,.AP.SF,0,0,70,92802,background,8580,0,222,0
2016-04-11 00:03:42,23.724,223.83.107.74,42.219.153.36,49814,80,TCP,.AP.SF,0,0,20,6566,background,92802,0,222,0
2016-04-11 00:03:42,23.724,42.219.153.36,223.83.107.74,80,49814,TCP,.AP.SF,0,0,15,9796,background,6566,0,222,0
2016-04-11 00:03:42,23.728,223.83.107.74,42.219.153.36,49813,80,TCP,.AP.SF,0,0,22,5839,background,9796,0,222,0
2016-04-11 00:03:42,23.728,42.219.153.36,223.83.107.74,80,49813,TCP,.AP.SF,0,0,18,16535,background,5839,0,222,0
2016-04-11 00:03:42,24.1,223.83.107.74,42.219.153.36,49812,80,TCP,.AP.SF,0,0,73,9488,background,16535,0,222,0
2016-04-11 00:03:42,24.1,42.219.153.36,223.83.107.74,80,49812,TCP,.AP.SF,0,0,67,84911,background,9488,0,222,0
2016-04-11 00:04:30,15.175999999999998,42.219.153.36,194.233.78.100,80,56964,TCP,.AP.SF,0,0,9,8560,background,84911,0,270,48
