te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:01:54,19.056,45.202.195.102,42.219.158.169,9140,22,TCP,.AP.SF,0,0,26,3022,background,2,0,114,0
2016-04-11 00:01:54,19.068,42.219.158.169,45.202.195.102,22,9140,TCP,.APRSF,0,0,27,4469,background,3022,0,114,0
2016-04-11 00:01:55,0.0,143.72.8.137,42.219.158.169,53,50935,UDP,.A....,0,0,1,130,background,4469,0,115,1
2016-04-11 00:01:55,0.0,42.219.158.169,143.72.8.137,50935,53,UDP,.A....,0,0,1,72,background,130,0,115,0
2016-04-11 00:01:57,0.0,143.72.8.137,42.219.158.169,53,57139,UDP,.A....,0,0,1,125,background,72,0,117,2
2016-04-11 00:01:57,0.0,42.219.158.169,143.72.8.137,57139,53,UDP,.A....,0,0,1,72,background,125,0,117,0
2016-04-11 00:02:03,14.076,42.219.158.169,73.5.203.135,22,33696,TCP,.AP.SF,0,0,23,4073,background,72,0,123,6
2016-04-11 00:02:03,14.532,73.5.203.135,42.219.158.169,33696,22,TCP,.APRSF,0,40,20,2419,background,4073,0,123,0
2016-04-11 00:02:06,0.0,143.72.8.137,42.219.158.169,53,35202,UDP,.A....,0,0,1,130,background,2419,0,126,3
2016-04-11 00:02:06,0.0,42.219.158.169,143.72.8.137,35202,53,UDP,.A....,0,0,1,72,background,130,0,126,0
2016-04-11 00:02:14,11.724,42.219.158.169,73.5.203.135,22,26699,TCP,.AP.SF,0,0,22,4025,background,72,0,134,8
2016-04-11 00:02:14,12.208,73.5.203.135,42.219.158.169,26699,22,TCP,.APRSF,0,40,19,2359,background,4025,0,134,0
2016-04-11 00:02:14,20.292,45.202.195.102,42.219.158.169,26318,22,TCP,.AP.SF,0,0,26,3022,background,2359,0,134,0
2016-04-11 00:02:14,20.32,42.219.158.169,45.202.195.102,22,26318,TCP,.APRSF,0,0,28,4521,background,3022,0,134,0
2016-04-11 00:02:17,0.0,143.72.8.137,42.219.158.169,53,38208,UDP,.A....,0,0,1,130,background,4521,0,137,3
2016-04-11 00:02:17,0.0,143.72.8.137,42.219.158.169,53,48855,UDP,.A....,0,0,1,125,background,130,0,137,0
2016-04-11 00:02:17,0.0,42.219.158.169,143.72.8.137,38208,53,UDP,.A....,0,0,1,72,background,125,0,137,0
2016-04-11 00:02:17,0.0,42.219.158.169,143.72.8.137,48855,53,UDP,.A....,0,0,1,72,background,72,0,137,0
2016-04-11 00:02:23,9.532,42.219.158.169,73.5.203.135,22,14403,TCP,.AP.SF,0,0,21,3961,background,72,0,143,6
2016-04-11 00:02:24,10.008,73.5.203.135,42.219.158.169,14403,22,TCP,.AP.SF,0,40,18,2319,background,3961,0,144,1
2016-04-11 00:02:29,0.0,143.72.8.137,42.219.158.169,53,42673,UDP,.A....,0,0,1,130,background,2319,0,149,5
2016-04-11 00:02:29,0.0,42.219.158.169,143.72.8.137,42673,53,UDP,.A....,0,0,1,72,background,130,0,149,0
2016-04-11 00:02:34,18.804,42.219.158.169,45.202.195.102,22,44478,TCP,.APRSF,0,0,28,4521,background,72,0,154,5
2016-04-11 00:02:34,18.804,45.202.195.102,42.219.158.169,44478,22,TCP,.AP.SF,0,0,27,3086,background,4521,0,154,0
2016-04-11 00:02:37,0.0,143.72.8.137,42.219.158.169,53,59434,UDP,.A....,0,0,1,125,background,3086,0,157,3
2016-04-11 00:02:37,0.0,42.219.158.169,143.72.8.137,59434,53,UDP,.A....,0,0,1,72,background,125,0,157,0
2016-04-11 00:02:37,13.688,42.219.158.169,73.5.203.135,22,48739,TCP,.AP.SF,0,0,22,4037,background,72,0,157,0
2016-04-11 00:02:37,14.056,73.5.203.135,42.219.158.169,48739,22,TCP,.APRSF,0,40,21,2479,background,4037,0,157,0
2016-04-11 00:02:40,0.0,143.72.8.137,42.219.158.169,53,56248,UDP,.A....,0,0,1,130,background,2479,0,160,3
2016-04-11 00:02:40,0.0,42.219.158.169,143.72.8.137,56248,53,UDP,.A....,0,0,1,72,background,130,0,160,0
2016-04-11 00:02:47,10.312,42.219.158.169,73.5.203.135,22,42444,TCP,.AP.SF,0,0,22,4025,background,72,0,167,7
2016-04-11 00:02:48,10.764,73.5.203.135,42.219.158.169,42444,22,TCP,.APRSF,0,40,19,2359,background,4025,0,168,1
2016-04-11 00:02:51,0.0,143.72.8.137,42.219.158.169,53,34636,UDP,.A....,0,0,1,130,background,2359,0,171,3
2016-04-11 00:02:51,0.0,42.219.158.169,143.72.8.137,34636,53,UDP,.A....,0,0,1,72,background,130,0,171,0
2016-04-11 00:02:55,20.344,42.219.158.169,45.202.195.102,22,61748,TCP,.APRSF,0,0,28,4521,background,72,0,175,4
2016-04-11 00:02:55,20.348,45.202.195.102,42.219.158.169,61748,22,TCP,.AP.SF,0,0,26,3022,background,4521,0,175,0
2016-04-11 00:02:59,11.352,42.219.158.169,73.5.203.135,22,23964,TCP,.AP.SF,0,0,22,4025,background,3022,0,179,4
2016-04-11 00:02:59,11.808,73.5.203.135,42.219.158.169,23964,22,TCP,.AP.SF,0,40,21,2491,background,4025,0,179,0
2016-04-11 00:03:02,0.0,42.219.158.169,143.72.8.137,42470,53,UDP,.A....,0,0,1,72,background,2491,0,182,3
2016-04-11 00:03:03,0.0,143.72.8.137,42.219.158.169,53,38546,UDP,.A....,0,0,1,125,background,72,0,183,1
2016-04-11 00:03:03,0.0,143.72.8.137,42.219.158.169,53,42470,UDP,.A....,0,0,1,130,background,125,0,183,0
2016-04-11 00:03:03,0.0,42.219.158.169,143.72.8.137,38546,53,UDP,.A....,0,0,1,72,background,130,0,183,0
2016-04-11 00:03:11,12.02,42.219.158.169,73.5.203.135,22,64051,TCP,.AP.SF,0,0,21,3961,background,72,0,191,8
2016-04-11 00:03:13,0.0,143.72.8.137,42.219.158.169,53,47825,UDP,.A....,0,0,1,130,background,3961,0,193,2
2016-04-11 00:03:13,0.0,42.219.158.169,143.72.8.137,47825,53,UDP,.A....,0,0,1,72,background,130,0,193,0
2016-04-11 00:03:13,0.0,42.219.158.169,73.5.203.135,22,64051,TCP,.A....,0,0,1,52,background,72,0,193,0
2016-04-11 00:03:13,14.368,73.5.203.135,42.219.158.169,64051,22,TCP,.AP.SF,0,40,21,2475,background,52,0,193,0
2016-04-11 00:03:20,10.515999999999998,42.219.158.169,73.5.203.135,22,49433,TCP,.AP.SF,0,0,22,4025,background,2475,0,200,7
2016-04-11 00:03:21,10.976,73.5.203.135,42.219.158.169,49433,22,TCP,.APRSF,0,40,19,2391,background,4025,0,201,1
2016-04-11 00:03:23,0.0,143.72.8.137,42.219.158.169,53,54433,UDP,.A....,0,0,1,130,background,2391,0,203,2
2016-04-11 00:03:23,0.0,42.219.158.169,143.72.8.137,54433,53,UDP,.A....,0,0,1,72,background,130,0,203,0
2016-04-11 00:03:25,26.504,42.219.158.169,45.202.195.102,22,15725,TCP,.APRSF,0,0,29,5501,background,72,0,205,2
2016-04-11 00:03:25,26.508000000000006,45.202.195.102,42.219.158.169,15725,22,TCP,.AP.S.,0,0,25,2994,background,5501,0,205,0
2016-04-11 00:03:28,0.0,143.72.8.137,42.219.158.169,53,44767,UDP,.A....,0,0,1,125,background,2994,0,208,3
2016-04-11 00:03:28,0.0,42.219.158.169,143.72.8.137,44767,53,UDP,.A....,0,0,1,72,background,125,0,208,0
2016-04-11 00:03:31,10.912,42.219.158.169,73.5.203.135,22,31958,TCP,.AP.SF,0,0,22,4025,background,72,0,211,3
2016-04-11 00:03:32,11.376,73.5.203.135,42.219.158.169,31958,22,TCP,.APRSF,0,40,17,2255,background,4025,0,212,1
2016-04-11 00:03:34,0.0,143.72.8.137,42.219.158.169,53,37549,UDP,.A....,0,0,1,130,background,2255,0,214,2
2016-04-11 00:03:34,0.0,42.219.158.169,143.72.8.137,37549,53,UDP,.A....,0,0,1,72,background,130,0,214,0
2016-04-11 00:03:42,10.372,42.219.158.169,73.5.203.135,22,15988,TCP,.AP.SF,0,0,22,4025,background,72,0,222,8
2016-04-11 00:03:42,10.832,73.5.203.135,42.219.158.169,15988,22,TCP,.APRSF,0,40,20,2411,background,4025,0,222,0
2016-04-11 00:03:44,0.0,42.219.158.169,143.72.8.137,33342,53,UDP,.A....,0,0,1,72,background,2411,0,224,2
2016-04-11 00:03:44,19.408,42.219.158.169,45.202.195.102,22,43234,TCP,.APRSF,0,0,28,4521,background,72,0,224,0
2016-04-11 00:03:44,19.42,45.202.195.102,42.219.158.169,43234,22,TCP,.AP.SF,0,0,25,2998,background,4521,0,224,0
2016-04-11 00:03:45,0.0,143.72.8.137,42.219.158.169,53,33342,UDP,.A....,0,0,1,130,background,2998,0,225,1
2016-04-11 00:03:47,0.0,143.72.8.137,42.219.158.169,53,49055,UDP,.A....,0,0,1,125,background,130,0,227,2
2016-04-11 00:03:47,0.0,42.219.158.169,143.72.8.137,49055,53,UDP,.A....,0,0,1,72,background,125,0,227,0
