te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:03:22,0.0,42.219.157.246,165.133.210.175,0,769,ICMP,.A....,0,192,1,101,background,2,0,202,0
2016-04-11 00:03:37,3.012,42.219.157.246,165.133.210.175,0,769,ICMP,.A....,0,192,4,404,background,101,0,217,15
2016-04-11 00:04:04,0.0,42.219.157.246,194.233.70.210,0,769,ICMP,.A....,0,192,2,176,background,404,0,244,27
2016-04-11 00:05:32,24.628,42.219.157.246,196.176.230.158,0,769,ICMP,.A....,0,192,8,704,background,176,0,332,88
2016-04-11 00:05:46,44.428,42.219.157.246,165.133.210.175,0,769,ICMP,.A....,0,192,19,1932,background,704,0,346,14
2016-04-11 00:06:20,0.0,176.116.195.149,42.219.157.246,5185,5074,UDP,.A....,0,40,1,440,background,1932,0,380,34
2016-04-11 00:06:29,303.488,42.219.157.246,165.133.210.160,0,769,ICMP,.A....,0,192,256,22528,background,440,0,389,9
2016-04-11 00:06:32,0.0,42.219.157.246,242.103.61.21,0,769,ICMP,.A....,0,192,1,68,background,22528,0,392,3
2016-04-11 00:06:41,0.0,42.219.157.246,194.233.70.210,0,769,ICMP,.A....,0,192,2,176,background,68,0,401,9
2016-04-11 00:07:02,0.0,42.219.157.246,227.125.88.187,0,2816,ICMP,.A....,0,200,1,72,background,176,0,422,21
2016-04-11 00:07:43,0.0,42.219.157.246,245.74.255.58,0,769,ICMP,.A....,0,200,3,264,background,72,0,463,41
2016-04-11 00:08:30,3.012,42.219.157.246,165.133.210.175,0,769,ICMP,.A....,0,192,2,202,background,264,0,510,47
2016-04-11 00:08:45,3.008,42.219.157.246,165.133.210.175,0,769,ICMP,.A....,0,192,4,404,background,202,0,525,15
2016-04-11 00:10:40,36.116,42.219.157.246,165.133.210.175,0,769,ICMP,.A....,0,192,10,1031,background,404,0,640,115
2016-04-11 00:10:58,18.06,42.219.157.246,196.176.230.158,0,769,ICMP,.A....,0,192,7,616,background,1031,0,658,18
2016-04-11 00:11:34,302.3,42.219.157.246,165.133.210.160,0,769,ICMP,.A....,0,192,277,24376,background,616,0,694,36
2016-04-11 00:11:36,0.0,224.4.180.162,42.219.157.246,60780,23,TCP,....S.,0,40,1,60,background,24376,0,696,2
2016-04-11 00:12:10,0.0,42.219.157.246,79.247.146.13,0,1831,ICMP,.A....,0,192,1,144,background,60,0,730,34
2016-04-11 00:12:13,3.008,42.219.157.246,35.121.150.115,0,769,ICMP,.A....,0,192,2,176,background,144,0,733,3
2016-04-11 00:12:14,0.0,150.221.27.126,42.219.157.246,443,16863,TCP,...R..,0,8,1,40,background,176,0,734,1
2016-04-11 00:12:23,0.0,42.219.157.246,223.143.202.15,0,2816,ICMP,.A....,0,192,1,72,background,40,0,743,9
2016-04-11 00:13:18,0.0,42.219.157.246,104.183.122.93,0,2816,ICMP,.A....,0,192,1,72,background,72,0,798,55
2016-04-11 00:13:52,15.052,42.219.157.246,165.133.210.175,0,769,ICMP,.A....,0,192,6,606,background,72,0,832,34
