te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:01:45,0.912,42.219.153.159,68.181.221.230,80,58136,TCP,.AP.SF,0,0,71,99203,background,2,0,105,0
2016-04-11 00:01:45,14.376,42.219.153.159,194.233.74.238,80,43507,TCP,.AP.SF,0,0,12,13017,background,99203,0,105,0
2016-04-11 00:01:45,14.432,194.233.74.238,42.219.153.159,43507,80,TCP,.AP.SF,0,0,14,1088,background,13017,0,105,0
2016-04-11 00:02:13,0.0,188.31.65.107,42.219.153.159,23745,80,TCP,....S.,0,26,1,60,background,1088,0,133,28
2016-04-11 00:02:14,1.256,188.31.65.107,42.219.153.159,23745,80,TCP,.AP..F,0,24,17,1105,background,60,0,134,1
2016-04-11 00:02:14,1.256,42.219.153.159,188.31.65.107,80,23745,TCP,.AP.SF,0,0,17,20768,background,1105,0,134,0
2016-04-11 00:02:30,0.0,106.150.228.59,42.219.153.159,2410,80,TCP,....S.,0,42,1,48,background,20768,0,150,16
2016-04-11 00:02:31,0.7959999999999999,106.150.228.59,42.219.153.159,2410,80,TCP,.AP..F,0,40,10,697,background,48,0,151,1
2016-04-11 00:02:31,0.7959999999999999,42.219.153.159,106.150.228.59,80,2410,TCP,.AP.SF,0,0,13,13672,background,697,0,151,0
2016-04-11 00:02:34,0.0,106.150.228.59,42.219.153.159,4211,443,TCP,....S.,0,42,1,48,background,13672,0,154,3
2016-04-11 00:02:36,0.0,188.31.65.35,42.219.153.159,29616,80,TCP,....S.,0,26,1,60,background,48,0,156,2
2016-04-11 00:02:36,0.304,188.31.65.35,42.219.153.159,29616,80,TCP,.AP..F,0,24,26,1622,background,60,0,156,0
2016-04-11 00:02:36,0.308,42.219.153.159,188.31.65.35,80,29616,TCP,.AP.SF,0,0,26,34369,background,1622,0,156,0
2016-04-11 00:02:36,1.668,106.150.228.59,42.219.153.159,4211,443,TCP,.AP..F,0,40,14,1408,background,34369,0,156,0
2016-04-11 00:02:36,1.672,42.219.153.159,106.150.228.59,443,4211,TCP,.AP.SF,0,0,17,17471,background,1408,0,156,0
2016-04-11 00:02:52,0.436,42.219.153.159,194.233.74.238,80,46849,TCP,.AP.S.,0,0,14,16526,background,17471,0,172,16
2016-04-11 00:02:52,0.496,194.233.74.238,42.219.153.159,46849,80,TCP,.AP.S.,0,0,15,1140,background,16526,0,172,0
2016-04-11 00:03:06,0.0,42.219.153.159,194.233.74.238,80,46849,TCP,.A...F,0,0,1,52,background,1140,0,186,14
2016-04-11 00:03:06,0.064,194.233.74.238,42.219.153.159,46849,80,TCP,.A...F,0,0,2,104,background,52,0,186,0
2016-04-11 00:03:32,0.4920000000000001,42.219.153.159,194.233.74.238,80,52281,TCP,.AP.S.,0,0,70,99208,background,104,0,212,26
2016-04-11 00:03:32,0.564,194.233.74.238,42.219.153.159,52281,80,TCP,.AP.S.,0,0,71,4137,background,99208,0,212,0
2016-04-11 00:03:47,0.0,42.219.153.159,194.233.74.238,80,52281,TCP,.A...F,0,0,1,52,background,4137,0,227,15
2016-04-11 00:03:47,0.064,194.233.74.238,42.219.153.159,52281,80,TCP,.A...F,0,0,2,104,background,52,0,227,0
2016-04-11 00:03:48,0.0,106.150.228.59,42.219.153.159,11282,443,TCP,....S.,0,42,1,48,background,104,0,228,1
2016-04-11 00:03:51,2.84,106.150.228.59,42.219.153.159,11282,443,TCP,.AP..F,0,40,20,2042,background,48,0,231,3
2016-04-11 00:03:51,2.844,42.219.153.159,106.150.228.59,443,11282,TCP,.AP.SF,0,0,28,33103,background,2042,0,231,0
2016-04-11 00:04:19,0.0,106.150.228.59,42.219.153.159,32830,80,TCP,....S.,0,42,1,48,background,33103,0,259,28
2016-04-11 00:04:21,1.456,106.150.228.59,42.219.153.159,32830,80,TCP,.AP..F,0,40,9,688,background,48,0,261,2
2016-04-11 00:04:21,1.46,42.219.153.159,106.150.228.59,80,32830,TCP,.AP.SF,0,0,12,13076,background,688,0,261,0
2016-04-11 00:04:23,0.0,106.150.228.59,42.219.153.159,35045,80,TCP,....S.,0,42,1,48,background,13076,0,263,2
2016-04-11 00:04:24,0.852,106.150.228.59,42.219.153.159,35045,80,TCP,.AP..F,0,40,9,685,background,48,0,264,1
2016-04-11 00:04:24,0.852,42.219.153.159,106.150.228.59,80,35045,TCP,.AP.SF,0,0,12,13175,background,685,0,264,0
2016-04-11 00:04:48,14.804,42.219.153.159,194.233.70.18,80,35404,TCP,.AP.SF,0,0,5,1141,background,13175,0,288,24
2016-04-11 00:04:49,14.94,194.233.70.18,42.219.153.159,35404,80,TCP,.AP.SF,0,0,8,1138,background,1141,0,289,1
2016-04-11 00:05:00,0.0,188.31.65.112,42.219.153.159,45189,80,TCP,....S.,0,26,1,60,background,1138,0,300,11
2016-04-11 00:05:01,0.416,188.31.65.112,42.219.153.159,45189,80,TCP,.AP..F,0,24,23,1464,background,60,0,301,1
2016-04-11 00:05:01,0.42,42.219.153.159,188.31.65.112,80,45189,TCP,.AP.SF,0,0,22,28427,background,1464,0,301,0
2016-04-11 00:05:49,15.224,42.219.153.159,194.233.74.238,80,62628,TCP,.AP.SF,0,0,16,18807,background,28427,0,349,48
2016-04-11 00:05:49,15.28,194.233.74.238,42.219.153.159,62628,80,TCP,.AP.SF,0,0,18,1299,background,18807,0,349,0
2016-04-11 00:05:52,1.592,54.17.233.210,42.219.153.159,53555,80,TCP,.AP.SF,0,0,23,1551,background,1299,0,352,3
2016-04-11 00:05:52,1.596,42.219.153.159,54.17.233.210,80,53555,TCP,.AP.SF,0,0,40,54573,background,1551,0,352,0
2016-04-11 00:05:55,0.0,32.100.20.28,42.219.153.159,41478,994,TCP,....S.,0,40,1,40,background,54573,0,355,3
2016-04-11 00:06:04,0.0,106.150.228.76,42.219.153.159,9655,443,TCP,....S.,0,42,1,48,background,40,0,364,9
2016-04-11 00:06:06,2.056,106.150.228.76,42.219.153.159,9655,443,TCP,.AP..F,0,40,16,1520,background,48,0,366,2
2016-04-11 00:06:06,2.056,42.219.153.159,106.150.228.76,443,9655,TCP,.AP.SF,0,0,22,23329,background,1520,0,366,0
2016-04-11 00:06:24,0.0,175.177.229.79,42.219.153.159,24216,443,TCP,....S.,0,42,1,48,background,23329,0,384,18
2016-04-11 00:06:24,0.0,176.116.195.149,42.219.153.159,5185,5074,UDP,.A....,0,40,1,440,background,48,0,384,0
2016-04-11 00:06:25,1.5,42.219.153.159,175.177.229.79,443,24216,TCP,.AP.SF,0,0,18,17991,background,440,0,385,1
2016-04-11 00:06:25,1.504,175.177.229.79,42.219.153.159,24216,443,TCP,.AP..F,0,40,12,1376,background,17991,0,385,0
2016-04-11 00:06:27,0.0,175.177.229.79,42.219.153.159,26231,80,TCP,....S.,0,42,1,48,background,1376,0,387,2
2016-04-11 00:06:28,1.176,42.219.153.159,175.177.229.79,80,26231,TCP,.AP.SF,0,0,46,61762,background,48,0,388,1
2016-04-11 00:06:29,1.176,175.177.229.79,42.219.153.159,26231,80,TCP,.AP..F,0,40,20,1124,background,61762,0,389,1
2016-04-11 00:06:45,1.072,42.219.153.159,203.200.24.169,80,37675,TCP,.AP.SF,0,0,70,99151,background,1124,0,405,16
2016-04-11 00:06:45,1.2,203.200.24.169,42.219.153.159,37675,80,TCP,.AP.SF,0,72,58,3321,background,99151,0,405,0
2016-04-11 00:06:56,0.2,42.219.153.159,194.233.74.253,80,56464,TCP,.AP.S.,0,0,11,12354,background,3321,0,416,11
2016-04-11 00:06:56,0.256,194.233.74.253,42.219.153.159,56464,80,TCP,.AP.S.,0,0,11,913,background,12354,0,416,0
2016-04-11 00:07:10,0.0,42.219.153.159,194.233.74.253,80,56464,TCP,.A...F,0,0,1,52,background,913,0,430,14
2016-04-11 00:07:10,0.056,194.233.74.253,42.219.153.159,56464,80,TCP,.A...F,0,0,2,104,background,52,0,430,0
2016-04-11 00:07:17,0.0,188.31.65.105,42.219.153.159,30966,80,TCP,....S.,0,26,1,60,background,104,0,437,7
2016-04-11 00:07:18,0.8,188.31.65.105,42.219.153.159,30966,80,TCP,.AP..F,0,24,14,967,background,60,0,438,1
2016-04-11 00:07:18,0.804,42.219.153.159,188.31.65.105,80,30966,TCP,.AP.SF,0,0,13,15110,background,967,0,438,0
2016-04-11 00:08:01,0.0,106.150.228.59,42.219.153.159,21428,443,TCP,....S.,0,42,1,48,background,15110,0,481,43
2016-04-11 00:08:03,0.0,106.150.228.59,42.219.153.159,22471,80,TCP,....S.,0,42,1,48,background,48,0,483,2
2016-04-11 00:08:04,1.0759999999999998,106.150.228.59,42.219.153.159,22471,80,TCP,.AP..F,0,40,10,722,background,48,0,484,1
2016-04-11 00:08:04,1.0759999999999998,42.219.153.159,106.150.228.59,80,22471,TCP,.AP.SF,0,0,14,15062,background,722,0,484,0
2016-04-11 00:08:04,2.664,106.150.228.59,42.219.153.159,21428,443,TCP,.AP..F,0,40,14,1456,background,15062,0,484,0
