te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:02:03,0.016,165.133.210.175,42.219.155.86,44815,80,TCP,.AP.SF,0,64,5,287,background,2,0,123,0
2016-04-11 00:02:03,0.016,42.219.155.86,165.133.210.175,80,44815,TCP,.AP.SF,0,0,5,459,background,287,0,123,0
2016-04-11 00:04:03,0.02,42.219.155.86,165.133.210.175,80,44834,TCP,.AP.SF,0,0,5,459,background,459,0,243,120
2016-04-11 00:04:03,0.024,165.133.210.175,42.219.155.86,44834,80,TCP,.AP.SF,0,64,5,287,background,459,0,243,0
2016-04-11 00:05:13,3.008,42.219.155.86,165.133.210.175,0,771,ICMP,.A....,0,192,6,630,background,287,0,313,70
2016-04-11 00:05:39,7.3679999999999986,152.23.28.227,42.219.155.86,50863,80,TCP,.AP.SF,0,75,12,1403,background,630,0,339,26
2016-04-11 00:05:39,7.3679999999999986,152.23.28.227,42.219.155.86,50864,80,TCP,.AP.SF,0,75,14,3550,background,1403,0,339,0
2016-04-11 00:05:39,7.3679999999999986,42.219.155.86,152.23.28.227,80,50863,TCP,.AP.SF,0,0,40,53832,background,3550,0,339,0
2016-04-11 00:05:39,7.3679999999999986,42.219.155.86,152.23.28.227,80,50864,TCP,.AP.SF,0,0,23,27095,background,53832,0,339,0
2016-04-11 00:05:39,8.248,152.23.28.227,42.219.155.86,50862,80,TCP,.AP.SF,0,75,13,2335,background,27095,0,339,0
2016-04-11 00:05:39,8.248,42.219.155.86,152.23.28.227,80,50862,TCP,.AP.SF,0,0,36,47463,background,2335,0,339,0
2016-04-11 00:05:39,8.292,152.23.28.227,42.219.155.86,50861,80,TCP,.AP.SF,0,75,13,3551,background,47463,0,339,0
2016-04-11 00:05:39,8.292,42.219.155.86,152.23.28.227,80,50861,TCP,.AP.SF,0,0,22,24978,background,3551,0,339,0
2016-04-11 00:05:46,0.0,42.219.155.86,188.31.65.44,80,29213,TCP,.AP...,0,2,1,1326,background,24978,0,346,7
2016-04-11 00:05:46,0.2,42.219.155.86,188.31.65.44,80,29213,TCP,.A..SF,0,0,3,164,background,1326,0,346,0
2016-04-11 00:05:46,0.244,188.31.65.44,42.219.155.86,29213,80,TCP,.AP.SF,0,26,6,962,background,164,0,346,0
2016-04-11 00:05:58,33.352,42.219.155.86,165.133.210.175,0,771,ICMP,.A....,0,192,25,2547,background,962,0,358,12
2016-04-11 00:05:58,47.356,165.133.210.175,42.219.155.86,34921,161,UDP,.A....,0,64,32,2380,background,2547,0,358,0
2016-04-11 00:06:00,1.148,42.219.155.86,152.23.28.227,80,50888,TCP,.A..S.,0,0,2,104,background,2380,0,360,2
2016-04-11 00:06:00,1.4280000000000002,152.23.28.227,42.219.155.86,50888,80,TCP,.A..S.,0,75,3,144,background,104,0,360,0
2016-04-11 00:06:03,0.012,165.133.210.175,42.219.155.86,48149,80,TCP,.AP.SF,0,64,5,287,background,144,0,363,3
2016-04-11 00:06:03,0.016,42.219.155.86,165.133.210.175,80,48149,TCP,.AP.SF,0,0,5,459,background,287,0,363,0
2016-04-11 00:06:09,10.008,152.23.28.227,42.219.155.86,50886,80,TCP,.AP.SF,0,75,9,2948,background,459,0,369,6
2016-04-11 00:06:09,10.008,42.219.155.86,152.23.28.227,80,50886,TCP,.AP.SF,0,0,12,7053,background,2948,0,369,0
2016-04-11 00:06:19,0.0,42.219.155.86,152.23.28.227,80,50888,TCP,.A...F,0,0,1,40,background,7053,0,379,10
2016-04-11 00:06:19,0.28,152.23.28.227,42.219.155.86,50888,80,TCP,.A...F,0,75,2,80,background,40,0,379,0
2016-04-11 00:06:26,0.0,176.116.195.149,42.219.155.86,5185,5074,UDP,.A....,0,40,1,436,background,80,0,386,7
2016-04-11 00:07:59,7.0760000000000005,42.219.155.86,67.212.8.251,80,50224,TCP,.AP.SF,0,0,10,7370,background,436,0,479,93
2016-04-11 00:07:59,7.0760000000000005,67.212.8.251,42.219.155.86,50224,80,TCP,.AP.SF,0,40,12,2512,background,7370,0,479,0
2016-04-11 00:08:02,5.456,42.219.155.86,77.232.69.207,80,5941,TCP,.AP.SF,0,0,9,7318,background,2512,0,482,3
2016-04-11 00:08:03,0.012,165.133.210.175,42.219.155.86,48168,80,TCP,.AP.SF,0,64,5,287,background,7318,0,483,1
2016-04-11 00:08:03,0.016,42.219.155.86,165.133.210.175,80,48168,TCP,.AP.SF,0,0,5,459,background,287,0,483,0
2016-04-11 00:08:03,5.68,77.232.69.207,42.219.155.86,5941,80,TCP,.AP.S.,0,40,9,2328,background,459,0,483,0
2016-04-11 00:09:38,0.0,42.219.155.86,91.71.126.145,80,31159,TCP,.AP...,0,2,2,1664,background,2328,0,578,95
2016-04-11 00:09:38,0.188,42.219.155.86,91.71.126.145,80,31159,TCP,.A..SF,0,0,3,164,background,1664,0,578,0
2016-04-11 00:09:38,0.228,91.71.126.145,42.219.155.86,31159,80,TCP,.AP.SF,0,26,6,776,background,164,0,578,0
2016-04-11 00:10:03,0.012,165.133.210.175,42.219.155.86,49549,80,TCP,.AP.SF,0,64,5,287,background,776,0,603,25
2016-04-11 00:10:03,0.012,42.219.155.86,165.133.210.175,80,49549,TCP,.AP.SF,0,0,5,459,background,287,0,603,0
2016-04-11 00:10:23,0.0,42.219.155.86,188.31.65.59,80,44017,TCP,.AP...,0,2,1,1324,background,459,0,623,20
2016-04-11 00:10:23,0.2,42.219.155.86,188.31.65.59,80,44017,TCP,.A..SF,0,0,3,164,background,1324,0,623,0
2016-04-11 00:10:23,0.244,188.31.65.59,42.219.155.86,44017,80,TCP,.AP.SF,0,26,6,961,background,164,0,623,0
2016-04-11 00:10:28,9.404,219.198.24.246,42.219.155.86,45601,80,TCP,.AP.SF,0,0,28,5128,background,961,0,628,5
2016-04-11 00:10:28,9.404,42.219.155.86,219.198.24.246,80,45601,TCP,.AP.SF,0,0,64,87685,background,5128,0,628,0
2016-04-11 00:10:28,9.536,219.198.24.246,42.219.155.86,45600,80,TCP,.AP.SF,0,0,13,3698,background,87685,0,628,0
2016-04-11 00:10:28,9.536,42.219.155.86,219.198.24.246,80,45600,TCP,.AP.SF,0,0,20,21243,background,3698,0,628,0
2016-04-11 00:10:45,5.16,42.219.155.86,67.212.8.251,80,52099,TCP,.AP.SF,0,0,9,7318,background,21243,0,645,17
2016-04-11 00:10:45,5.228,67.212.8.251,42.219.155.86,52099,80,TCP,.AP.S.,0,40,8,2310,background,7318,0,645,0
2016-04-11 00:11:06,47.348,165.133.210.175,42.219.155.86,34921,161,UDP,.A....,0,64,26,1918,background,2310,0,666,21
2016-04-11 00:11:06,47.348,42.219.155.86,165.133.210.175,0,771,ICMP,.A....,0,192,25,2545,background,1918,0,666,0
2016-04-11 00:11:26,7.44,67.212.8.251,42.219.155.86,52099,80,TCP,.A...F,0,40,6,312,background,2545,0,686,20
2016-04-11 00:11:34,0.0,67.212.8.251,42.219.155.86,52099,80,TCP,.A...F,0,40,1,52,background,312,0,694,8
2016-04-11 00:11:49,0.0,67.212.8.251,42.219.155.86,52099,80,TCP,.A...F,0,40,1,52,background,52,0,709,15
2016-04-11 00:12:03,0.016,165.133.210.175,42.219.155.86,49568,80,TCP,.AP.SF,0,64,5,287,background,52,0,723,14
2016-04-11 00:12:03,0.016,42.219.155.86,165.133.210.175,80,49568,TCP,.AP.SF,0,0,5,459,background,287,0,723,0
2016-04-11 00:12:20,0.0,67.212.8.251,42.219.155.86,52099,80,TCP,.A...F,0,40,1,52,background,459,0,740,17
2016-04-11 00:13:37,0.0,42.219.155.86,188.31.65.127,80,21222,TCP,.AP...,0,2,2,1652,background,52,0,817,77
2016-04-11 00:13:37,0.152,42.219.155.86,188.31.65.127,80,21222,TCP,.A..SF,0,0,3,164,background,1652,0,817,0
2016-04-11 00:13:37,0.196,188.31.65.127,42.219.155.86,21222,80,TCP,.AP.SF,0,26,7,821,background,164,0,817,0
2016-04-11 00:14:03,0.016,165.133.210.175,42.219.155.86,49587,80,TCP,.AP.SF,0,64,5,287,background,821,0,843,26
2016-04-11 00:14:03,0.016,42.219.155.86,165.133.210.175,80,49587,TCP,.AP.SF,0,0,5,459,background,287,0,843,0
2016-04-11 00:14:22,0.0,42.219.155.86,102.216.44.79,80,23657,TCP,.AP...,0,2,1,1333,background,459,0,862,19
2016-04-11 00:14:22,0.124,42.219.155.86,102.216.44.79,80,23657,TCP,.A..SF,0,0,3,164,background,1333,0,862,0
2016-04-11 00:14:22,0.16399999999999998,102.216.44.79,42.219.155.86,23657,80,TCP,.AP.SF,0,2,6,967,background,164,0,862,0
